source_file,province,province_cn,year,variable,value,unit,source,date,original_header,notes
数据模板命名.csv,Beijing,北京,1996,hydro_capacity_10k_kw,66.69,万千瓦,中国电力企业联合会,1996-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,1997,hydro_capacity_10k_kw,106.96,万千瓦,中国电力企业联合会,1997-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,1998,hydro_capacity_10k_kw,106.96,万千瓦,中国电力企业联合会,1998-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,1999,hydro_capacity_10k_kw,105.81,万千瓦,中国电力企业联合会,1999-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2000,hydro_capacity_10k_kw,105.81,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2001,hydro_capacity_10k_kw,105.81,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2002,hydro_capacity_10k_kw,103.85,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2004,hydro_capacity_10k_kw,105.59,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2006,hydro_capacity_10k_kw,105.3,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2007,hydro_capacity_10k_kw,105,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2008,hydro_capacity_10k_kw,105,万千瓦,中国电力企业联合会,2008-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
数据模板命名.csv,Beijing,北京,2009,hydro_capacity_10k_kw,105,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:北京,"frequency=年, 年终12月"
