province,province_cn,year,energy_type,balance_type_cn,item,item_cn,variable,value,unit,source,series_id,original_header
Beijing,北京,1995,coal,煤平衡表,available_total,可供消费的能源总量,coal_available_total,26798.9,千吨,国家统计局,316338701 (CRBAFFP),北京:煤平衡表:可供消费的能源总量
Beijing,北京,1995,coal,煤平衡表,primary_production,可供消费的能源总量:一次能源生产量,coal_primary_production,9954,千吨,国家统计局,316338801 (CRBAFFQ),北京:煤平衡表:可供消费的能源总量:一次能源生产量
Beijing,北京,1995,coal,煤平衡表,thermal_power_input,加工转换投入和产出量:火力发电,coal_thermal_power_input,-5570.1,千吨,国家统计局,316340101 (CRBAFGD),北京:煤平衡表:加工转换投入和产出量:火力发电
Beijing,北京,1995,coal,煤平衡表,terminal,终端消费量,coal_terminal,12706.9,千吨,国家统计局,316341001 (CRBAFGM),北京:煤平衡表:终端消费量
Beijing,北京,1995,coal,煤平衡表,terminal_industry,终端消费量:工业,coal_terminal_industry,5713.8,千吨,国家统计局,316341201 (CRBAFGO),北京:煤平衡表:终端消费量:工业
Tianjin,天津,1995,coal,煤平衡表,available_total,可供消费的能源总量,coal_available_total,24280.6,千吨,国家统计局,316491101 (CRBAFMN),天津:煤平衡表:可供消费的能源总量
Tianjin,天津,1995,coal,煤平衡表,thermal_power_input,加工转换投入和产出量:火力发电,coal_thermal_power_input,-7300.7,千吨,国家统计局,316492501 (CRBAFNB),天津:煤平衡表:加工转换投入和产出量:火力发电
Tianjin,天津,1995,coal,煤平衡表,terminal,终端消费量,coal_terminal,13505.1,千吨,国家统计局,316348601 (CRBAFNK),天津:煤平衡表:终端消费量
Tianjin,天津,1995,coal,煤平衡表,terminal_industry,终端消费量:工业,coal_terminal_industry,8407.3,千吨,国家统计局,316348801 (CRBAFNM),天津:煤平衡表:终端消费量:工业
Hebei,河北,1995,coal,煤平衡表,available_total,可供消费的能源总量,coal_available_total,109834.6,千吨,国家统计局,316566701 (CRBAFTL),河北:煤平衡表:可供消费的能源总量
