province,year,coal_available_total,coal_primary_production,coal_thermal_power_input,coal_terminal,coal_terminal_10k_tce_approx,coal_terminal_industry,oil_available_total,oil_thermal_power_input,oil_terminal_industry,oil_terminal,oil_terminal_10k_tce_approx,lpg_terminal,lpg_terminal_10k_tce_approx,lpg_terminal_industry,electricity_available_total,electricity_primary_production,electricity_thermal_power_input,electricity_terminal,electricity_terminal_10k_tce_approx,electricity_terminal_industry,energy5_terminal_10k_tce_approx,coal_share_energy5_terminal_approx,coal_primary_production_10k_ton,lpg_available_total,oil_primary_production,coal_consumption,coal_consumption_10k_tce_approx,oil_consumption,oil_consumption_10k_tce_approx,lpg_consumption,lpg_consumption_10k_tce_approx,gas_consumption,gas_consumption_10k_tce_approx,gas_terminal,gas_terminal_10k_tce_approx,gas_terminal_industry,electricity_consumption,electricity_consumption_10k_tce_approx,energy5_consumption_10k_tce_approx,coal_share_energy5_consumption_approx,coal_consumption_10k_ton,gas_available_total,gas_thermal_power_input,gas_primary_production,lpg_thermal_power_input,lpg_primary_production
Anhui,1995,49727.4,44440,-16412.7,27321.6,1951.581888,22457.9,2729.1,-83.9,1125.1,2549.3,364.192998,141.9,24.325917,51.5,-794,1139,29776,26424,324.75096,19069,2664.851763,0.7323416316,4444,,,,,,,,,,,,,,,,,,,,,,,
Anhui,1996,52837.1,50855.7,-16931,30793.2,2199.558276,25378,2980.2,-124.5,1044.3,2541,363.00726,151.2,25.920216,49.6,-578,1164,31418,30810,378.6549,22961,2967.140652,0.7413056993,5085.57,-29.9,,,,,,,,,,,,,,,,,,,,,,
Anhui,1997,54236.8,48965.2,-16485.5,33508.6,2393.519298,28107.3,3084.7,-99.6,1147.2,2715.3,387.907758,192.2,32.948846,47,-359,969,31963,31565,387.93385,22896,3202.309752,0.7474352837,4896.52,12,90.1,,,,,,,,,,,,,,,,,,,,,
Anhui,1998,53620.5,45722.3,-14957.7,32366.6,2311.946238,26492.4,3409.2,-18.1,1345.1,3064.3,437.765898,203.1,34.817433,50.4,401,990,30160,30919,379.99451,22055,3164.524079,0.7305826027,4572.23,18,,,,,,,,,,,,,,,,,,,,,,
Anhui,1999,54909.3,46776.8,-15525.1,32974.2,2355.347106,27887.4,3437.9,-25.4,1400.4,3210.5,458.65203,186.3,31.937409,33.3,398,1071,30566,31296,384.62784,22044,3230.564385,0.7290822362,4677.68,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2000,58934.8,47898,-16629.9,35124.5,2508.943035,29208.4,3635.1,-15.7,1322.9,3152.2,450.323292,199.2,34.148856,36.2,-2105,458,36005,33892,416.53268,23826,3409.947863,0.7357716704,4789.8,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2001,63467,53474.9,-18475.1,38168.1,2726.347383,31720.1,3580.6,-10.8,1277.1,3177.7,453.966222,183.9,31.525977,19.9,-4803,627,40765,35962,441.97298,25246,3653.812562,0.746165091,5347.49,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2002,65384.6,61378.4,-20250.5,39434,2816.77062,32309.7,3774.1,-10.9,1303.1,3336.5,476.65239,196.2,33.634566,34.2,-7014,1051,45515,38994,479.23626,27948,3806.293836,0.7400297353,6137.84,,410,,,,,,,,,,,,,,,,,,,,,
Anhui,2003,73315.8,67264.1,-26696.7,40774.8,2912.543964,32917.7,4265.2,,1675.3,3957.7,565.397022,225.7,38.691751,35.7,-10023,1151,54567,44544,547.44576,32743,4064.078497,0.7166554401,6726.41,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2004,77942.3,81420,-29062.4,38746,2767.62678,30706.3,4426,,1724.9,4366.8,623.841048,272.9,46.783247,18.7,-8658,875,60282,51594,634.09026,38499,4074.336335,0.6792828457,8142,,,79040.6,5645.870058,4410.6,630.098316,272.9,46.783247,15,1.995,15,1.995,15,51594,634.09026,6958.836881,0.8113238109,7904.06,,,,,
