uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste,gtfp_level,gml_index,market_index,market_gov_relation,market_npoe_dev,market_product_dev,market_factor_dev,market_legal_env,coal_available_total,coal_thermal_power_input,coal_terminal,coal_terminal_10k_tce_approx,coal_terminal_industry,oil_available_total,oil_primary_production,oil_thermal_power_input,oil_terminal_industry,oil_terminal,oil_terminal_10k_tce_approx,lpg_available_total,lpg_primary_production,lpg_terminal,lpg_terminal_10k_tce_approx,lpg_terminal_industry,gas_available_total,gas_primary_production,gas_terminal,gas_terminal_10k_tce_approx,gas_terminal_industry,electricity_available_total,electricity_thermal_power_input,electricity_terminal,electricity_terminal_10k_tce_approx,electricity_terminal_industry,energy5_terminal_10k_tce_approx,coal_share_energy5_terminal_approx,coal_terminal_kt_per_gdp,coal_terminal_10k_tce_per_gdp_approx,energy5_terminal_10k_tce_per_gdp_approx,post2012,pre_coal_consumption_0811,post2012_x_pre_coal_consumption,pre_coal_terminal_0811,post2012_x_pre_coal_terminal,pre_coal_share_energy5_0811_approx,post2012_x_pre_coal_share_energy5,pre_coal_share_energy5_terminal_0811_approx,post2012_x_pre_coal_share_energy5_terminal,pre_coal_thermal_power_input_0811,post2012_x_pre_coal_thermal_power_input,pre_energy5_terminal_intensity_0811_approx,post2012_x_pre_energy5_terminal_intensity,pre_coal_terminal_intensity_0811_approx,post2012_x_pre_coal_terminal_intensity,coal_consumption,coal_consumption_10k_tce_approx,oil_consumption,oil_consumption_10k_tce_approx,lpg_consumption,lpg_consumption_10k_tce_approx,gas_consumption,gas_consumption_10k_tce_approx,electricity_primary_production,electricity_consumption,electricity_consumption_10k_tce_approx,energy5_consumption_10k_tce_approx,coal_share_energy5_consumption_approx,coal_consumption_10k_ton,coal_consumption_10k_ton_per_gdp,coal_consumption_10k_tce_per_gdp_approx,energy5_consumption_10k_tce_per_gdp_approx,gas_thermal_power_input,coal_primary_production,coal_primary_production_10k_ton,lpg_thermal_power_input
3100,1,Shanghai,2000,71538176,4880.0,2215.8,98,109,0.024,0.067000002,0.12,0.0070000002,0.034000002,0.029999999,6.2119999,0.168,0,8.4929008,18.085741,-0.46754447,-0.47399458,-1.5025125,-1.7578163,-0.29044652,-0.96399641,-1.7872802,-1.7875015,0.29636797,-1.8210794,-0.15998088,-0.34142604,,1609.0,,,,,0,-21,0,0,0,0,0,0,0,0,0.4540574,72446.0,32.68,11.009,1.0,1.0,5.374,7.305,5.224,5.418,4.997,4.747,45020.5,-20889.7,10465.3,747.536379,8726.6,12572.6,289.8,-696.2,4822,11218.2,1602.632052,116.2,28.1,771.1,132.189673,341.1,254,260,217,28.861,42,159,55775,52923,650.42367,36294,3161.642774,0.2364392287,2.144528689,0.1531836842,0.6478776176,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,,,,,,,,,,,,,,,,,,,,,
3101,1,Shanghai,2001,69645920,5348.1001,2413.8,165,202,0.024,0.068999998,0.094999999,0.011,0.037,0.029999999,6.25,0.13600001,0,8.5844965,18.058935,-0.45124996,-0.45159754,-1.5025125,-1.673861,-0.34155726,-0.84272772,-1.5454221,-1.7875015,0.30248857,-1.7446856,-0.13143224,-0.35842323,,1668.33,,,,,0,-20,0,0,0,0,0,0,0,0,0.45133787,68012.0,30.006,50.252,1.03204052,1.03204052,6.659,7.717,7.101,6.779,6.949,9.469,46014,-22219.4,10544.9,753.222207,8809.6,13480,626.3,-470.2,4929.7,12253.7,1750.563582,250.7,37,874.7,149.949821,372.6,330,330,203,26.999,82,1651,57635,56130,689.8377,38164,3370.57231,0.2234701225,1.971709542,0.1408392126,0.6302373267,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,,,,,,,,,,,,,,,,,,,,,
3102,1,Shanghai,2002,80866288,5908.1001,2635.3,272,230,0.025,0.075999998,0.101,0.0099999998,0.037999999,0.035,5.533,0.226,0,8.6840792,18.208307,-0.4252274,-0.44485435,-1.3800464,-1.3800172,-0.32929069,-0.87304491,-1.4648029,-1.3296096,0.18700287,-1.4750526,-0.21552977,-0.36325976,,1712.97,,,,,0,-19,0,0,0,0,0,0,0,0,0.44604865,64857.0,32.492,7.102,1.109751658,1.075298534,8.065,7.976,8.278,6.902,7.699,10.459,46815.9,-23860,10074.6,719.628678,8472.2,15497,522.2,-652.5,5192.3,13830.4,1975.810944,239.7,49,835.1,143.161193,394.1,433,433,273,36.309,94,2972,61598,61186,751.97594,41361,3626.885755,0.1984150389,1.705218231,0.1218037382,0.6138835994,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,,,,,,,,,,,,,,,,,,,,,
3103,1,Shanghai,2003,92319352,6952.5,3239.6001,382,254,0.024,0.079000004,0.116,0.0089999996,0.039999999,0.037,4.8270001,0.19400001,0,8.8468561,18.340765,-0.39847526,-0.43907446,-1.5025125,-1.2540838,-0.29862425,-0.9033621,-1.303564,-1.1464528,0.073288955,-1.3763304,-0.24833897,-0.38620058,0.29955724,1765.84,,,,,0,-18,0,0,0,0,0,0,0,0,0.4659619,61112.0,31.561,6.665,1.30740273,1.178103876,8.853,9.018,8.883,7.533,8.374,10.355,49548.4,-26180,9091.4,649.398702,7768.6,17558.2,435.5,-1161.5,5833.7,15165.7,2166.571902,264.7,55.3,907,155.48701,438.8,497,497,363,48.279,117,5197,69393,70371,864.85959,46474,3884.596204,0.1671727685,1.307644732,0.09340506321,0.5587337223,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,,,,,,,,,,,,,,,,,,,,,
3104,1,Shanghai,2004,108254088,8309.4004,3872.2,451,354,0.025,0.083999999,0.081,0.013,0.039999999,0.039000001,4.3670001,0.19,0,9.0251427,18.499992,-0.38169438,-0.41499162,-1.3800464,-1.0441954,-0.3701793,-0.78209335,-1.303564,-0.96329606,-0.00080228999,-1.2490535,-0.24334203,-0.44671434,0.27748165,1834.98,,,,,0,-17,0,0,0,0,0,0,0,0,0.46600235,56359.0,35.0,7.0,1.345887654,1.029436166,9.414,9.756,9.395,8.616,8.949,10.276,51463,-27795.6,10435.1,745.379193,8346.7,20322.8,386.4,-832,6405.3,18451.4,2635.967004,75.8,67.8,737.9,126.498197,401.6,1070,573,701,93.233,369,11072,71072,77699,954.92071,51067,4555.998104,0.1636039296,1.255818651,0.08970312623,0.5482944478,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,51443.2,3674.587776,20281.7,2897.443662,747.5,128.143925,1069,142.177,10000,82144,1009.54976,7851.902123,0.4679869563,5144.32,0.6190964152,0.4422205694,0.9449420831,,,,
3105,1,Shanghai,2005,115370448,9398.7998,4314.8999,689,474,0.027000001,0.082999997,0.094999999,0.015,0.045000002,0.039000001,3.9230001,0.193,0,9.1483374,18.56366,-0.32381245,-0.38609222,-1.1351144,-1.0861732,-0.34155726,-0.72145903,-0.90046668,-0.96329606,-0.072316445,-1.0881947,-0.23760892,-0.43621019,0.26085868,1890.26,1684.03,0.89089859,,,0,-16,0,0,0,0,0,0,0,0,0.45909053,51097.0,37.5,6.1,1.407190306,1.045548119,9.307,9.796,9.329,9.31,7.825,10.185,53225.7,-28473.1,10564.2,754.600806,8785.5,22003.1,325.6,-822.1,7868.5,21223.9,3032.046354,150.6,72.9,787.8,135.052554,399.9,1874,604,1198,159.334,704,18127,74070,87267,1072.51143,56829,5153.545144,0.1464236336,1.123994576,0.08028693259,0.5483194933,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,53245.2,3803.304636,22003.7,3143.448582,794.1,136.132563,1872,248.976,24,92197,1133.10113,8464.962911,0.449299622,5324.52,0.5665106304,0.4046585433,0.9006429641,-109,,,
3106,1,Shanghai,2006,124628480,10825.4,4929.2002,903,503,0.028000001,0.090999998,0.077,0.015,0.045000002,0.039000001,3.8139999,0.211,0,9.2896509,18.640848,-0.27176738,-0.37910819,-1.0126485,-0.75035155,-0.37835702,-0.72145903,-0.90046668,-0.96329606,-0.089872874,-0.96913815,-0.25069353,-0.4420388,0.22671871,1964.11,1742.16,0.88699716,,,0,-15,0,0,0,0,0,0,0,0,0.45533651,48336.0,37.4,5.7,1.516226679,1.077485165,9.41,9.795,9.462,9.667,7.938,9.958,51449.8,-27444.5,10282.14145,734.453364,8882.041454,26947.7,283.4,-657.5,10760.78816,26296.28816,3756.687727,270.4,68.5,896.1567851,153.6281577,477.6567851,2524,720,1659.311593,220.6884418,939.3115926,26415,72599,93864,1153.58856,60459,6019.04625,0.1220215518,0.949816307,0.06784537883,0.5560114407,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,51430.94145,3673.712148,26980.18816,3854.389681,904.0567851,154.9824547,2525.311593,335.8664418,40,99015,1216.89435,9235.845075,0.3977667575,5143.094145,0.4750950676,0.3393604068,0.8531643242,-320,,,
3107,1,Shanghai,2007,127207432,13179.8,5677.5,1210,646,0.034000002,0.094999999,0.072999999,0.0089999996,0.050999999,0.043000001,3.0739999,0.30000001,0,9.4864407,18.661329,-0.19710456,-0.34466973,-0.27785265,-0.58244067,-0.38653475,-0.9033621,-0.41675046,-0.59698254,-0.20906313,-0.47825721,-0.41063502,-0.40673324,0.22415073,2063.5901,1830.41,0.88700277,20.0373,0.0091843531,0,-14,0,0,0,0,0,0,0,0,0.43077284,47569.531,36.442,4.876,1.668285053,1.100287362,9.472,9.828,9.429,9.783,8.361,10.107,52601.3,-27540.4,10565.07684,754.6634385,8567.076837,28669.2,269.5,-625.8,10812.67386,28536.54086,4076.730227,425.8,62.6,972.5,166.715675,454.2,2777,507,1759.532094,234.0177685,1061.532094,33903,73335,101630,1249.0327,64982,6481.159809,0.1164395665,0.8016113173,0.05725909638,0.4917494809,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,52595.27684,3756.880624,28799.04086,4114.230977,984.3,168.738549,2777.532094,369.4117685,40,107238,1317.95502,9727.216938,0.3862235877,5259.527684,0.3990597493,0.2850483789,0.7380397986,-461,,,
3108,1,Shanghai,2008,133276680,14877.1,6215.5,1433,944,0.032000002,0.098999999,0.082000002,0.012,0.052999999,0.046999998,2.9549999,0.34400001,0,9.6075783,18.707937,-0.14287065,-0.27290288,-0.52278459,-0.41452986,-0.36813486,-0.81241053,-0.25551158,-0.23066932,-0.22823021,-0.36584499,-0.36388636,-0.38402617,0.21872006,2140.6399,1896.61,0.88600141,25.0758,0.0096671591,0,-13,0,0,0,0,0,0,0,0,0.41778976,41871.0,29.8,4.862,1.678749842,1.006272782,9.422,9.855,8.603,8.134,10.946,10.409,54639.5,-29640.4,10578.93848,755.6535756,8912.93848,28817.48,199.902,-516.6,10314.6,28709.47,4101.434884,382.57,53.86,1019.35,174.7471705,529,3000,429,2029.08,269.86764,1081,35300,78522,107868,1325.69772,66759,6627.40099,0.1140195948,0.7110887525,0.05079306959,0.4454766715,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,54639.1094,3902.871584,28825.28949,4117.980857,1023.75,175.5014625,2999.8259,398.9768447,53,113822,1398.87238,9994.203128,0.3905135341,5463.91094,0.367269894,0.2623408853,0.6717843617,-365,,,
3109,1,Shanghai,2009,149620544,16181.4,6184.7998,1731,1313,0.030999999,0.097999997,0.068999998,0.017999999,0.048999999,0.043000001,2.7060001,0.109,0,9.691618,18.823612,-0.070396654,-0.18403722,-0.6452508,-0.45650762,-0.39471248,-0.63050753,-0.57798928,-0.59698254,-0.26833609,-0.63867122,-0.16657721,-0.4594959,0.21026832,2210.28,1958.3101,0.88600087,33.956501,0.011358018,0,-12,0,0,0,0,0,0,0,0,0.3822166,41192.029,23.935,4.477,1.643564076,0.979040495,9.451,9.747,8.132,8.134,11.37,9.106,53079.165,-28602.906,11056.62545,789.774756,9391.562368,29902.92965,158.4409305,-328.2,10681.1523,30294.84752,4327.921917,524.96402,50.3416,1104.11008,189.277591,564.1,3352.1,403,2201.4965,292.7990345,1117,38086,77234,109337.3,1343.755417,64158,6943.528715,0.1137425635,0.6832922646,0.04880756647,0.4291055604,0,56966.37273,0,11117.2268,0,0.3797119447,0,0.1108855632,0,-32282.8265,-0,0.4144529901,0,0.04601474687,0,53051.73145,3789.485178,29904.34752,4272.135087,1111.11008,190.477601,3352.4965,445.8820345,70,115338.3,1417.507707,10115.48761,0.3746220968,5305.173145,0.3278562513,0.2341877203,0.6251305579,-537,,,
