variable,nonmissing,missing,total
coal_available_total,686,58,744
coal_consumption,570,174,744
coal_consumption_10k_tce_approx,570,174,744
coal_consumption_10k_tce_per_gdp_approx,570,174,744
coal_consumption_10k_ton,570,174,744
coal_consumption_10k_ton_per_gdp,570,174,744
coal_primary_production,587,157,744
coal_primary_production_10k_ton,587,157,744
coal_share_energy5_consumption_approx,570,174,744
coal_share_energy5_terminal_approx,686,58,744
coal_terminal,686,58,744
coal_terminal_10k_tce_approx,686,58,744
coal_terminal_10k_tce_per_gdp_approx,686,58,744
coal_terminal_industry,686,58,744
coal_terminal_kt_per_gdp,686,58,744
coal_thermal_power_input,686,58,744
electricity_available_total,686,58,744
electricity_consumption,584,160,744
electricity_consumption_10k_tce_approx,584,160,744
electricity_primary_production,668,76,744
electricity_terminal,686,58,744
electricity_terminal_10k_tce_approx,686,58,744
electricity_terminal_industry,686,58,744
electricity_thermal_power_input,684,60,744
energy5_consumption_10k_tce_approx,585,159,744
energy5_consumption_10k_tce_per_gdp_approx,585,159,744
energy5_terminal_10k_tce_approx,686,58,744
energy5_terminal_10k_tce_per_gdp_approx,686,58,744
gas_available_total,657,87,744
gas_consumption,574,170,744
gas_consumption_10k_tce_approx,574,170,744
gas_primary_production,526,218,744
gas_terminal,659,85,744
gas_terminal_10k_tce_approx,659,85,744
gas_terminal_industry,648,96,744
gas_thermal_power_input,472,272,744
lpg_available_total,656,88,744
lpg_consumption,572,172,744
lpg_consumption_10k_tce_approx,572,172,744
lpg_primary_production,16,728,744
lpg_terminal,681,63,744
lpg_terminal_10k_tce_approx,681,63,744
lpg_terminal_industry,654,90,744
lpg_thermal_power_input,24,720,744
oil_available_total,686,58,744
oil_consumption,570,174,744
oil_consumption_10k_tce_approx,570,174,744
oil_primary_production,465,279,744
oil_terminal,686,58,744
oil_terminal_10k_tce_approx,686,58,744
oil_terminal_industry,686,58,744
oil_thermal_power_input,634,110,744
post2012,744,0,744
post2012_x_pre_coal_consumption,720,24,744
post2012_x_pre_coal_share_energy5,720,24,744
post2012_x_pre_coal_share_energy5_terminal,720,24,744
post2012_x_pre_coal_terminal,720,24,744
post2012_x_pre_coal_terminal_intensity,720,24,744
post2012_x_pre_coal_thermal_power_input,720,24,744
post2012_x_pre_energy5_terminal_intensity,720,24,744
pre_coal_consumption_0811,720,24,744
pre_coal_share_energy5_0811_approx,720,24,744
pre_coal_share_energy5_terminal_0811_approx,720,24,744
pre_coal_terminal_0811,720,24,744
pre_coal_terminal_intensity_0811_approx,720,24,744
pre_coal_thermal_power_input_0811,720,24,744
pre_energy5_terminal_intensity_0811_approx,720,24,744
