variable,nonmissing,missing,total,provinces,min_year,max_year
cap_solar,201,543,744,31,2014,2023
cap_thermal,683,61,744,31,2000,2023
cap_total,744,0,744,31,2000,2023
cap_wind,307,437,744,31,2005,2023
coalexp_post,720,24,744,30,2000,2023
coalexp_pre,720,24,744,30,2000,2023
coalshare5,686,58,744,30,2000,2022
coalterm_int,686,58,744,30,2000,2022
ddd_nontherm,720,24,744,30,2000,2023
ddd_windcap,720,24,744,30,2000,2023
ddd_windgen,720,24,744,30,2000,2023
early_wind_cap,744,0,744,31,2000,2023
early_wind_capacity_share_1316,744,0,744,31,2000,2023
early_wind_gen,744,0,744,31,2000,2023
early_wind_generation_share_1316,744,0,744,31,2000,2023
energy5_int,686,58,744,30,2000,2022
gen_solar,250,494,744,31,2015,2023
gen_thermal,743,1,744,31,2000,2023
gen_total,744,0,744,31,2000,2023
gen_wind,342,402,744,31,2011,2023
hydro_capacity_10k_kw,660,84,744,30,2000,2023
hydro_capacity_share,660,84,744,30,2000,2023
industrial_nox_10k_ton,62,682,744,6,2008,2023
nontherm_cap_sh,683,61,744,31,2000,2023
nontherm_gen_sh,735,9,744,31,2000,2023
nonthermal_capacity_share,683,61,744,31,2000,2023
nonthermal_generation_share,735,9,744,31,2000,2023
nox_ind,62,682,744,6,2008,2023
nox_total,348,396,744,29,2011,2023
pm_total,154,590,744,14,2011,2023
post2012_x_pre_coal_share_terminal_x_early_wind_capacity,720,24,744,30,2000,2023
post2012_x_pre_coal_share_terminal_x_early_wind_generation,720,24,744,30,2000,2023
post2012_x_pre_coal_share_terminal_x_pre_nonthermal_capacity,720,24,744,30,2000,2023
pre_nontherm_cap,744,0,744,31,2000,2023
pre_nonthermal_capacity_share_0811,744,0,744,31,2000,2023
solar_cap_sh,201,543,744,31,2014,2023
solar_capacity_10k_kw,201,543,744,31,2014,2023
solar_capacity_addition_from_stock_10k_kw,170,574,744,31,2015,2023
solar_capacity_share,201,543,744,31,2014,2023
solar_gen_sh,250,494,744,31,2015,2023
solar_generation_addition_billion_kwh,219,525,744,31,2016,2023
solar_generation_billion_kwh,250,494,744,31,2015,2023
solar_generation_share,250,494,744,31,2015,2023
therm_cap_sh,683,61,744,31,2000,2023
therm_gen_sh,735,9,744,31,2000,2023
thermal_capacity_10k_kw,683,61,744,31,2000,2023
thermal_capacity_share,683,61,744,31,2000,2023
thermal_generation_billion_kwh,743,1,744,31,2000,2023
thermal_generation_share,735,9,744,31,2000,2023
thermal_generation_share_flag,8,736,744,6,2002,2008
total_capacity_10k_kw,744,0,744,31,2000,2023
total_generation_billion_kwh,744,0,744,31,2000,2023
total_nox_10k_ton,348,396,744,29,2011,2023
total_pm_10k_ton,154,590,744,14,2011,2023
wind_cap_sh,307,437,744,31,2005,2023
wind_capacity_10k_kw,307,437,744,31,2005,2023
wind_capacity_addition_10k_kw,124,620,744,31,2020,2023
wind_capacity_addition_from_stock_10k_kw,276,468,744,31,2006,2023
wind_capacity_share,307,437,744,31,2005,2023
wind_coal_share_energy_consumption_pct,38,706,744,2,2000,2023
wind_gen_sh,342,402,744,31,2011,2023
wind_generation_addition_billion_kwh,311,433,744,31,2012,2023
wind_generation_billion_kwh,342,402,744,31,2011,2023
wind_generation_share,342,402,744,31,2011,2023
wind_industrial_energy_consumption_10k_tce,138,606,744,7,2000,2023
wind_solar_capacity_share,307,437,744,31,2005,2023
wind_solar_generation_share,342,402,744,31,2011,2023
wind_total_energy_consumption_10k_tce,36,708,744,2,2000,2023
windsolar_cap_sh,307,437,744,31,2005,2023
windsolar_gen_sh,342,402,744,31,2011,2023
