province,gem_pre_coal_additions_0011_mw,gem_pre_coal_additions_0811_mw,gem_post_coal_additions_1223_mw,gem_pre_coal_additions_mean_0811_mw,gem_post_to_pre_coal_additions_ratio
Anhui,23925,12990,26950,3247.5,1.1264367816091954
Beijing,0,0,0,0.0,
Chongqing,4040,590,9794,147.5,2.4242574257425744
Fujian,16836,7510,11130,1877.5,0.6610833927298646
Gansu,12700,7020,9460,1755.0,0.7448818897637796
Guangdong,36289,20506,30582,5126.5,0.8427347129984293
Guangxi,10219,3055,13543,763.75,1.3252764458361874
Guizhou,17990,4600,15560,1150.0,0.8649249583101724
Hainan,1798,700,1400,175.0,0.778642936596218
Hebei,25451,11210,17553,2802.5,0.6896782051785785
Heilongjiang,8480,4300,5956,1075.0,0.7023584905660377
Henan,42230,17870,26260,4467.5,0.6218328202699502
Hubei,10805,4910,18565,1227.5,1.7181860249884313
Hunan,13600,3480,10000,870.0,0.7352941176470589
Jiangsu,47709,18937,25885,4734.25,0.5425601039636128
Jiangxi,11275,5750,13489,1437.5,1.1963636363636363
Jilin,11501,7390,3580,1847.5,0.3112772802365012
Liaoning,18170,10880,10000,2720.0,0.550357732526142
Neimenggu,49750,18870,60052,4717.5,1.207075376884422
Ningxia,15040,9680,14830,2420.0,0.9860372340425532
Qinghai,1390,0,2020,0.0,1.4532374100719425
Shaanxi,19945,11265,28385,2816.25,1.4231637001754827
Shandong,43559,14490,56107,3622.5,1.2880690557634473
Shanghai,9120,6020,1300,1505.0,0.1425438596491228
Shanxi,37261,16891,34771,4222.75,0.9331740962400366
Sichuan,9894,2700,3695,675.0,0.37345866181524157
Tianjin,6887,4160,3810,1040.0,0.5532162044431538
Xinjiang,12305,9365,59480,2341.25,4.833807395367737
Xizang,0,0,0,0.0,
Yunnan,9435,3000,2100,750.0,0.22257551669316375
Zhejiang,29841,12605,13082,3151.25,0.4383901343788747
