province,asset,gem_id,capacity_mw,status,start_year,retired_year
Xinjiang,coal,G100000115918,660.0,shelved,2025.0,
Xinjiang,coal,G100000115919,660.0,shelved,2025.0,
Xinjiang,coal,G100000100098,350.0,operating,2016.0,
Xinjiang,coal,G100000100099,350.0,operating,2017.0,
Xinjiang,coal,G100000100108,200.0,operating,2011.0,
Xinjiang,coal,G100000100109,200.0,operating,2011.0,
Xinjiang,coal,G100001071574,660.0,announced,,
Xinjiang,coal,G100001071575,660.0,announced,,
Xinjiang,coal,G100001089986,660.0,announced,,
Xinjiang,coal,G100001089990,660.0,announced,,
Heilongjiang,coal,G100000113040,50.0,operating,2014.0,
Heilongjiang,coal,G100000113041,50.0,operating,2014.0,
Anhui,coal,G100000100236,660.0,operating,2018.0,
Anhui,coal,G100000100237,660.0,operating,2018.0,
Anhui,coal,G100000100238,630.0,operating,2008.0,
Anhui,coal,G100000100239,630.0,operating,2009.0,
Anhui,coal,G100000115310,660.0,operating,2025.0,
Anhui,coal,G100000115311,660.0,operating,2025.0,
Anhui,coal,G100000113322,660.0,operating,2022.0,
Anhui,coal,G100000113323,660.0,operating,2023.0,
Anhui,coal,G100000114000,350.0,cancelled,,
Anhui,coal,G100000114001,350.0,cancelled,,
Anhui,coal,G100000101996,120.0,retired,1972.0,2007.0
Anhui,coal,G100000102072,1000.0,shelved,,
Anhui,coal,G100000102073,1000.0,shelved,,
Anhui,coal,G100000101997,120.0,retired,1972.0,2007.0
Anhui,coal,G100000101998,137.5,retired,1977.0,2007.0
Anhui,coal,G100000101999,137.5,retired,1977.0,2007.0
Anhui,coal,G100000102000,320.0,operating,1996.0,
Anhui,coal,G100000102001,320.0,operating,2005.0,
Anhui,coal,G100000115509,30.0,operating,2024.0,
Anhui,coal,G100000115510,30.0,operating,2024.0,
Anhui,coal,G100000113355,300.0,cancelled,,
Anhui,coal,G100000113356,300.0,cancelled,,
Anhui,coal,G100000113357,300.0,cancelled,,
Anhui,coal,G100000100240,300.0,operating,2012.0,
Anhui,coal,G100000100241,300.0,operating,2012.0,
Anhui,coal,G100000113391,600.0,cancelled,,
Anhui,coal,G100000113392,600.0,cancelled,,
Anhui,coal,G100000114217,30.0,retired,1989.0,2025.0
Anhui,coal,G100000100243,660.0,permitted,,
Anhui,coal,G100000100244,660.0,permitted,,
Anhui,coal,G100000100245,660.0,operating,2008.0,
Anhui,coal,G100000100242,660.0,operating,2015.0,
Guizhou,coal,G100000100251,350.0,pre-permit,,
Guizhou,coal,G100000100252,350.0,pre-permit,,
Hubei,coal,G100000103247,660.0,cancelled,,
Hubei,coal,G100000103248,660.0,cancelled,,
Anhui,coal,G100000115312,1000.0,construction,,
Anhui,coal,G100000115313,1000.0,construction,,
Anhui,coal,G100000100234,1000.0,operating,2015.0,
Anhui,coal,G100000100235,1000.0,operating,2015.0,
Anhui,coal,G100000109122,320.0,operating,2005.0,
Anhui,coal,G100000109123,320.0,operating,2005.0,
Liaoning,coal,G100000114012,350.0,cancelled,,
Liaoning,coal,G100000114013,350.0,cancelled,,
Liaoning,coal,G100000100264,300.0,cancelled,,
Liaoning,coal,G100000100265,300.0,cancelled,,
Liaoning,coal,G100000100266,300.0,cancelled,,
Liaoning,coal,G100000100267,300.0,cancelled,,
Liaoning,coal,G100000100268,300.0,cancelled,,
Liaoning,coal,G100000100269,300.0,cancelled,,
Liaoning,coal,G100000100270,300.0,cancelled,,
Liaoning,coal,G100000100271,300.0,cancelled,,
Liaoning,coal,G100000112155,110.0,retired,1973.0,2020.0
Liaoning,coal,G100000112156,110.0,retired,1973.0,2020.0
Liaoning,coal,G100000112157,125.0,operating,1973.0,
Guizhou,coal,G100000103995,660.0,cancelled,,
Guizhou,coal,G100000103996,660.0,cancelled,,
Guizhou,coal,G100000100272,350.0,cancelled,,
Guizhou,coal,G100000100273,350.0,cancelled,,
Guizhou,coal,G100000103253,660.0,cancelled,,
Guizhou,coal,G100000103254,660.0,cancelled,,
Guizhou,coal,G100000103251,300.0,operating,2003.0,
Guizhou,coal,G100000103252,300.0,operating,2003.0,
Guizhou,coal,G100000103249,300.0,operating,1998.0,
Guizhou,coal,G100000103250,300.0,operating,1998.0,
Shanxi,coal,G100000100274,350.0,operating,2025.0,
Shanxi,coal,G100000100275,350.0,operating,2025.0,
Chongqing,coal,G100000100286,660.0,operating,2016.0,
Chongqing,coal,G100000100287,660.0,operating,2017.0,
Chongqing,coal,G100000100284,150.0,retired,2006.0,2020.0
Chongqing,coal,G100000100285,150.0,retired,2006.0,2020.0
Henan,coal,G100000102004,300.0,operating,2008.0,
Henan,coal,G100000102003,320.0,operating,1998.0,
Henan,coal,G100000102005,300.0,operating,2008.0,
Henan,coal,G100000113473,50.0,retired,1977.0,2005.0
Henan,coal,G100000113474,50.0,retired,1977.0,2009.0
Henan,coal,G100000113475,100.0,retired,1977.0,2007.0
Henan,coal,G100000113476,100.0,retired,1978.0,2007.0
Henan,coal,G100000102002,320.0,operating,1997.0,
Jiangxi,coal,G100001090369,1000.0,announced,,
Jiangxi,coal,G100001090370,1000.0,announced,,
Jiangxi,coal,G100000104251,125.0,retired,1992.0,2012.0
Jiangxi,coal,G100000104252,135.0,retired,1993.0,2012.0
Jiangxi,coal,G100000104253,660.0,operating,2015.0,
Jiangxi,coal,G100000104254,660.0,operating,2015.0,
Shaanxi,coal,G100000113547,50.0,operating,2012.0,
Shaanxi,coal,G100000113548,50.0,operating,2012.0,
Jiangsu,coal,G100000103079,50.0,retired,1998.0,2023.0
Jiangsu,coal,G100000103080,50.0,retired,1999.0,2023.0
Jiangsu,coal,G100000112835,100.0,retired,2009.0,2023.0
Jiangsu,coal,G100000100300,50.0,operating,1998.0,
Jiangsu,coal,G100000100299,80.0,operating,1998.0,
Jiangsu,coal,G100000100298,80.0,operating,1999.0,
Jiangsu,coal,G100000112758,80.0,operating,2005.0,
Xinjiang,coal,G100000111161,350.0,operating,2014.0,
Xinjiang,coal,G100000111162,350.0,operating,2014.0,
Xinjiang,coal,G100000113080,50.0,operating,2008.0,
Xinjiang,coal,G100000100305,50.0,operating,2008.0,
Xinjiang,coal,G100000100345,2000.0,cancelled,,
Shandong,coal,G100000115274,35.0,retired,2001.0,2023.0
Shandong,coal,G100001018162,92.4,retired,2010.0,2023.0
