province,gem2026_coal_announced_project_count,gem2026_coal_cancelled_project_count,gem2026_coal_construction_project_count,gem2026_coal_operating_project_count,gem2026_coal_permitted_project_count,gem2026_coal_pre-permit_project_count,gem2026_coal_retired_project_count,gem2026_coal_shelved_project_count,gem2026_solar_announced_project_count,gem2026_solar_cancelled_project_count,gem2026_solar_cancelled - inferred 4 y_project_count,gem2026_solar_construction_project_count,gem2026_solar_operating_project_count,gem2026_solar_pre-construction_project_count,gem2026_solar_retired_project_count,gem2026_solar_shelved - inferred 2 y_project_count,gem2026_wind_announced_project_count,gem2026_wind_cancelled_project_count,gem2026_wind_cancelled - inferred 4 y_project_count,gem2026_wind_construction_project_count,gem2026_wind_operating_project_count,gem2026_wind_pre-construction_project_count,gem2026_wind_shelved_project_count,gem2026_wind_shelved - inferred 2 y_project_count,gem2026_coal_mothballed_project_count,gem2026_solar_shelved_project_count,gem2026_solar_mothballed_project_count,gem2026_wind_retired_project_count,gem2026_wind_mothballed_project_count,gem2026_coal_announced_capacity_mw,gem2026_coal_cancelled_capacity_mw,gem2026_coal_construction_capacity_mw,gem2026_coal_operating_capacity_mw,gem2026_coal_permitted_capacity_mw,gem2026_coal_pre-permit_capacity_mw,gem2026_coal_retired_capacity_mw,gem2026_coal_shelved_capacity_mw,gem2026_solar_announced_capacity_mw,gem2026_solar_cancelled_capacity_mw,gem2026_solar_cancelled - inferred 4 y_capacity_mw,gem2026_solar_construction_capacity_mw,gem2026_solar_operating_capacity_mw,gem2026_solar_pre-construction_capacity_mw,gem2026_solar_retired_capacity_mw,gem2026_solar_shelved - inferred 2 y_capacity_mw,gem2026_wind_announced_capacity_mw,gem2026_wind_cancelled_capacity_mw,gem2026_wind_cancelled - inferred 4 y_capacity_mw,gem2026_wind_construction_capacity_mw,gem2026_wind_operating_capacity_mw,gem2026_wind_pre-construction_capacity_mw,gem2026_wind_shelved_capacity_mw,gem2026_wind_shelved - inferred 2 y_capacity_mw,gem2026_coal_mothballed_capacity_mw,gem2026_solar_shelved_capacity_mw,gem2026_solar_mothballed_capacity_mw,gem2026_wind_retired_capacity_mw,gem2026_wind_mothballed_capacity_mw
Anhui,14.0,27.0,13.0,118.0,4.0,4.0,35.0,20.0,29.0,12.0,1.0,17.0,667.0,91.0,1.0,11.0,23.0,9.0,7.0,11.0,137.0,80.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,12640.0,16280.0,10620.0,58725.0,3320.0,4000.0,5075.0,12200.0,2805.0,873.6,45.8,1720.3,15576.0,11420.3,60.0,1018.7,2780.0,416.0,303.2,1355.5,8571.3,7385.8,10.6,485.6,0.0,0.0,0.0,0.0,0.0
Beijing,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,0.0,0.0,0.0,0.0,0.0,265.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,235.5,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0
Chongqing,5.0,19.0,4.0,49.0,0.0,2.0,13.0,0.0,7.0,0.0,0.0,20.0,57.0,22.0,0.0,2.0,2.0,0.0,0.0,25.0,35.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,4770.0,4100.0,14854.0,0.0,2000.0,1430.0,0.0,1232.5,0.0,0.0,2400.5,1477.4,3184.7999999999997,0.0,450.0,110.0,0.0,0.0,1807.2,2171.2,3693.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fujian,3.0,12.0,6.0,83.0,7.0,2.0,16.0,2.0,12.0,0.0,0.0,22.0,260.0,43.0,0.0,6.0,3.0,0.0,0.0,7.0,111.0,18.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2700.0,9270.0,2790.0,33701.0,3710.0,1320.0,1590.0,100.0,1683.0,0.0,0.0,2372.7,2290.0,5749.4,0.0,516.0,900.0,0.0,0.0,2970.0,7881.1,9125.7,0.0,301.0,700.0,200.0,0.0,0.0,0.0
Gansu,8.0,37.0,9.0,72.0,8.0,2.0,16.0,6.0,13.0,0.0,1.0,56.0,497.0,81.0,0.0,2.0,19.0,0.0,0.0,70.0,262.0,147.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,5438.0,30790.0,6370.0,31980.0,6120.0,2000.0,1369.0,4700.0,12630.0,0.0,50.0,11683.7,33875.1,17293.7,0.0,200.0,11685.0,0.0,0.0,14760.0,36507.7,24662.1,350.0,0.0,0.0,175.0,0.0,0.0,0.0
Guangdong,21.0,36.0,20.0,157.0,4.0,0.0,66.0,12.0,14.0,1.0,18.0,65.0,311.0,106.0,0.0,24.0,9.0,12.0,7.0,14.0,150.0,59.0,0.0,29.0,3.0,0.0,2.0,1.0,0.0,19640.0,24920.0,19872.0,76709.2,2860.0,0.0,10322.0,11200.0,3725.0,30.0,1378.0,8772.1,19451.6,12878.9,0.0,5196.0,7825.0,648.8,349.2,9223.0,17385.1,25451.5,0.0,8682.9,335.0,0.0,100.0,17.2,0.0
Guangxi,4.0,21.0,4.0,79.0,5.0,1.0,11.0,9.0,82.0,4.0,6.0,58.0,199.0,132.0,0.0,7.0,43.0,4.0,3.0,79.0,207.0,293.0,0.0,72.0,0.0,2.0,0.0,0.0,0.0,1420.0,7910.0,2640.0,29327.8,1470.0,35.0,1444.0,5240.0,12499.0,230.0,600.0,9652.4,13505.3,16364.0,0.0,1240.5,6048.0,186.0,170.0,9516.7,17826.9,35896.0,0.0,7312.0,0.0,155.0,0.0,0.0,0.0
Guizhou,10.0,97.0,11.0,88.0,13.0,5.0,35.0,21.0,57.0,10.0,4.0,65.0,280.0,56.0,0.0,17.0,117.0,42.0,0.0,91.0,159.0,291.0,2.0,9.0,0.0,34.0,0.0,1.0,0.0,5980.0,40430.0,5420.0,37420.0,5500.0,2070.0,4223.0,9000.0,5990.0,1230.0,460.0,7792.0,26212.3,6441.4,0.0,1980.0,9758.7,2856.0,0.0,6996.8,8713.0,24676.1,110.0,814.4,0.0,2867.0,0.0,14.0,0.0
Hainan,0.0,4.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,68.0,5.0,0.0,1.0,1.0,0.0,0.0,7.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2020.0,0.0,3060.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,700.0,3683.1,490.0,0.0,96.0,900.0,0.0,0.0,3404.0,3218.0,2100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Hebei,9.0,22.0,18.0,145.0,6.0,2.0,63.0,3.0,13.0,18.0,0.0,64.0,659.0,207.0,0.0,26.0,26.0,0.0,0.0,60.0,363.0,230.0,1.0,12.0,7.0,2.0,0.0,0.0,2.0,5690.0,10320.0,10390.0,49669.0,3060.0,1320.0,6905.0,450.0,2591.1,2840.0,0.0,11934.8,28795.5,30006.2,0.0,3407.0,4575.0,0.0,0.0,9165.0,31899.4,24325.1,100.0,1019.0,1325.0,70.0,0.0,0.0,250.0
