province,year,gem_new_capacity_mw_coal,gem_new_capacity_mw_solar,gem_new_capacity_mw_wind,gem_new_project_count_coal,gem_new_project_count_solar,gem_new_project_count_wind,gem_retired_capacity_mw_coal,gem_retired_capacity_mw_solar,gem_retired_capacity_mw_wind,gem_retired_project_count_coal,gem_retired_project_count_solar,gem_retired_project_count_wind,gem_reconstructed_stock_mw_coal,gem_reconstructed_stock_mw_solar,gem_reconstructed_stock_mw_wind,gem_reconstructed_stock_count_coal,gem_reconstructed_stock_count_solar,gem_reconstructed_stock_count_wind,gem_new_capacity_mw_windsolar,gem_new_project_count_windsolar,gem_retired_capacity_mw_windsolar,gem_retired_project_count_windsolar,gem_reconstructed_stock_mw_windsolar,gem_reconstructed_stock_count_windsolar,gem_coal_new_mw,gem_wind_new_mw,gem_solar_new_mw,gem_ws_new_mw,gem_coal_retired_mw,gem_coal_stock_mw,gem_wind_stock_mw,gem_solar_stock_mw,gem_ws_stock_mw
Anhui,2000,640.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7885.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,7885.0,0.0,0.0,0.0
Anhui,2001,700.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,0.0
Anhui,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,0.0
Anhui,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,0.0
Anhui,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585.0,0.0,0.0,0.0
Anhui,2005,1810.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10395.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.0,0.0,0.0,0.0,0.0,10395.0,0.0,0.0,0.0
Anhui,2006,2590.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12985.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590.0,0.0,0.0,0.0,0.0,12985.0,0.0,0.0,0.0
Anhui,2007,5195.0,0.0,0.0,9.0,0.0,0.0,1740.0,0.0,0.0,15.0,0.0,0.0,16440.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5195.0,0.0,0.0,0.0,1740.0,16440.0,0.0,0.0,0.0
Anhui,2008,8750.0,0.0,0.0,19.0,0.0,0.0,650.0,0.0,0.0,4.0,0.0,0.0,24540.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.0,0.0,0.0,0.0,650.0,24540.0,0.0,0.0,0.0
Anhui,2009,1260.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25800.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,0.0,25800.0,0.0,0.0,0.0
Anhui,2010,660.0,2.0,0.0,1.0,1.0,0.0,375.0,0.0,0.0,3.0,0.0,0.0,26085.0,2.0,0.0,68.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,660.0,0.0,2.0,2.0,375.0,26085.0,0.0,2.0,2.0
Anhui,2011,2320.0,0.0,250.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28405.0,2.0,250.0,72.0,1.0,5.0,250.0,5.0,0.0,0.0,252.0,6.0,2320.0,250.0,0.0,250.0,0.0,28405.0,250.0,2.0,252.0
Anhui,2012,2620.0,0.0,148.0,6.0,0.0,3.0,135.0,0.0,0.0,1.0,0.0,0.0,30890.0,2.0,398.0,77.0,1.0,8.0,148.0,3.0,0.0,0.0,400.0,9.0,2620.0,148.0,0.0,148.0,135.0,30890.0,398.0,2.0,400.0
Anhui,2013,3980.0,0.0,182.5,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,34870.0,2.0,580.5,85.0,1.0,12.0,182.5,4.0,0.0,0.0,582.5,13.0,3980.0,182.5,0.0,182.5,0.0,34870.0,580.5,2.0,582.5
Anhui,2014,2640.0,250.0,380.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,37510.0,252.0,960.5,89.0,3.0,20.0,630.0,10.0,0.0,0.0,1212.5,23.0,2640.0,380.0,250.0,630.0,0.0,37510.0,960.5,252.0,1212.5
Anhui,2015,5320.0,482.8,478.0,6.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,42830.0,734.8000000000001,1438.5,95.0,15.0,30.0,960.8,22.0,0.0,0.0,2173.3,45.0,5320.0,478.0,482.8,960.8,0.0,42830.0,1438.5,734.8000000000001,2173.3
Anhui,2016,2660.0,1781.7,388.0,3.0,80.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,45490.0,2516.5,1826.5,98.0,95.0,39.0,2169.7,89.0,0.0,0.0,4343.0,134.0,2660.0,388.0,1781.7,2169.7,0.0,45490.0,1826.5,2516.5,4343.0
Anhui,2017,1000.0,3140.4000000000005,278.0,1.0,260.0,6.0,405.0,0.0,0.0,3.0,0.0,0.0,46085.0,5656.900000000001,2104.5,96.0,355.0,45.0,3418.4000000000005,266.0,0.0,0.0,7761.400000000001,400.0,1000.0,278.0,3140.4000000000005,3418.4000000000005,405.0,46085.0,2104.5,5656.900000000001,7761.400000000001
Anhui,2018,4340.0,766.7,217.0,7.0,35.0,5.0,320.0,0.0,0.0,1.0,0.0,0.0,50105.0,6423.6,2321.5,102.0,390.0,50.0,983.7,40.0,0.0,0.0,8745.1,440.0,4340.0,217.0,766.7,983.7,320.0,50105.0,2321.5,6423.6,8745.1
Anhui,2019,230.0,874.3999999999999,330.0,5.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50335.0,7298.0,2651.5,107.0,436.0,55.0,1204.3999999999999,51.0,0.0,0.0,9949.5,491.0,230.0,330.0,874.3999999999999,1204.3999999999999,0.0,50335.0,2651.5,7298.0,9949.5
Anhui,2020,100.0,572.5,1090.0,2.0,10.0,21.0,210.0,0.0,0.0,1.0,0.0,0.0,50225.0,7870.500000000001,3741.5,108.0,446.0,76.0,1662.5,31.0,0.0,0.0,11612.0,522.0,100.0,1090.0,572.5,1662.5,210.0,50225.0,3741.5,7870.500000000001,11612.0
Anhui,2021,0.0,680.0,393.5,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,50225.0,8550.5,4135.0,108.0,457.0,85.0,1073.5,20.0,0.0,0.0,12685.5,542.0,0.0,393.5,680.0,1073.5,0.0,50225.0,4135.0,8550.5,12685.5
Anhui,2022,2670.0,1810.0,692.8,3.0,18.0,12.0,300.0,0.0,0.0,2.0,0.0,0.0,52595.0,10360.5,4827.8,109.0,475.0,97.0,2502.8,30.0,0.0,0.0,15188.3,572.0,2670.0,692.8,1810.0,2502.8,300.0,52595.0,4827.8,10360.5,15188.3
Anhui,2023,1390.0,1589.0,1041.1,4.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,53985.0,11949.5,5868.9,113.0,489.0,110.0,2630.1,27.0,0.0,0.0,17818.4,599.0,1390.0,1041.1,1589.0,2630.1,0.0,53985.0,5868.9,11949.5,17818.4
