province,coal_announced_mw,coal_prepermit_mw,coal_permitted_mw,coal_construction_mw,coal_shelved_mw,coal_cancelled_mw,coal_operating_mw,coal_mothballed_mw,coal_retired_mw,wind_operating_mw,wind_construction_mw,wind_preconstruction_mw,wind_announced_mw,wind_cancelled_mw,wind_shelved_mw,wind_retired_mw,wind_mothballed_mw,solar_operating_mw,solar_construction_mw,solar_preconstruction_mw,solar_announced_mw,solar_shelved_mw,solar_mothballed_mw,solar_retired_mw,solar_cancelled_mw,coal_development_mw,wind_development_mw,solar_development_mw,windsolar_operating_mw,windsolar_development_mw,clean_share_of_power_pipeline,coal_development_to_operating,windsolar_development_to_operating,snapshot_date,coal_release,wind_release,solar_release,usage_note
Anhui,12640,4000,3320,10620,12200,16280,58725,0,5075,8571,1356,7386,2780,719,496,0,0,13990,1561,10462,2574,933,0,52,841,30580,11522,14597,22561,26119,0.46066068184624065,0.5207322264793529,1.1577057754532156,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Beijing,0,0,0,0,0,0,0,770,2025,236,0,0,0,0,0,0,0,244,0,18,0,0,0,0,0,0,0,18,480,18,1.0,,0.0375,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Chongqing,3550,2000,0,4100,0,4770,14854,0,1430,2171,1807,3694,110,0,0,0,0,1344,2279,2995,1136,413,0,0,0,9650,5611,6410,3515,12021,0.5547044437266393,0.6496566581392218,3.419914651493599,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Fujian,2700,1320,3710,2790,100,9270,33701,700,1590,7881,2970,9126,900,0,301,0,0,2129,2260,5378,1546,652,0,0,0,10520,12996,9184,10010,22180,0.6782874617737003,0.31215690929052553,2.2157842157842156,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Gansu,5438,2000,6120,6370,4700,30790,31980,0,1369,36508,14760,24662,11685,0,350,0,0,31734,11092,16821,11640,349,0,0,50,19928,51107,39553,68242,90660,0.819799616594929,0.6231394621638524,1.3285073708273498,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Guangdong,19640,0,2860,19872,11200,24920,76709,335,10322,17385,9223,25452,7825,998,8683,17,0,17451,8060,11777,3370,4770,89,0,1286,42372,42500,23207,34836,65707,0.6079534414641142,0.5523732547680194,1.8861809622229877,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Guangxi,1420,35,1470,2640,5240,7910,29328,0,1444,17827,9517,35896,6048,356,7312,0,0,12380,8868,15167,11429,1275,0,0,764,5565,51461,35464,30207,86925,0.9398313331170938,0.18975040916530278,2.8776442546429637,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Guizhou,5980,2070,5500,5420,9000,40430,37420,0,4223,8713,6997,24676,9759,2856,924,14,0,23731,7259,5959,5503,4471,0,0,1540,18970,41432,18721,32444,60153,0.76024670449806,0.5069481560662747,1.8540562199482185,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Hainan,0,0,0,0,0,2020,3060,0,652,3218,3404,2100,900,0,0,50,0,3431,646,482,0,84,0,0,0,0,6404,1128,6649,7532,1.0,0.0,1.1328019251015191,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
Hebei,5690,1320,3060,10390,450,10320,49669,1325,6905,31899,9165,24325,4575,0,1119,0,250,26281,10968,27622,2382,3157,0,0,2613,20460,38065,40972,58180,79037,0.7943656592661086,0.41192695645171035,1.3584908903403232,2026-02,"Global Coal Plant Tracker, January 2026","Global Wind Power Tracker, February 2026","Global Solar Power Tracker, February 2026",Post-sample descriptive pipeline snapshot; do not use as a pre-treatment regressor
