year,green_credit_high_energy_interest_share_national,green_credit_proxy_national
2005,0.486168013097919,0.513831986902081
2006,0.502831760133259,0.49716823986674097
2007,0.506978822139115,0.49302117786088495
2008,0.514510536425525,0.485489463574475
2009,0.516160969075767,0.48383903092423297
2010,0.515388416053043,0.484611583946957
2011,0.48813050152966,0.51186949847034
2012,0.479107386153228,0.520892613846772
2013,0.47382314300479,0.52617685699521
2014,0.476376778397838,0.523623221602162
2015,0.467881627994968,0.532118372005032
2016,0.449652702808605,0.550347297191395
2017,0.456838792322991,0.5431612076770089
2018,0.464140226992688,0.535859773007312
2019,0.46479283097425,0.53520716902575
2020,0.479395202475771,0.520604797524229
2021,0.483127572726128,0.5168724272738721
2022,0.48426716262018,0.51573283737982
