province_cn,year,bank_category,assets,outlets,category_reported,province_year_present,province
上海市,2005,policy,1104.8,,1.0,1.0,Shanghai
上海市,2005,large,13301.08,,1.0,1.0,Shanghai
上海市,2005,joint_stock,6732.33,,1.0,1.0,Shanghai
上海市,2005,postal,509.27,,1.0,1.0,Shanghai
上海市,2005,city,2304.45,,1.0,1.0,Shanghai
上海市,2005,rural,1267.19,,1.0,1.0,Shanghai
上海市,2005,foreign,3908.66,,1.0,1.0,Shanghai
上海市,2006,policy,1197.0,,1.0,1.0,Shanghai
上海市,2006,large,16113.0,,1.0,1.0,Shanghai
上海市,2006,joint_stock,8172.0,,1.0,1.0,Shanghai
上海市,2006,postal,522.0,,1.0,1.0,Shanghai
上海市,2006,city,2599.0,,2.0,1.0,Shanghai
上海市,2006,rural,1358.0,,1.0,1.0,Shanghai
上海市,2006,foreign,5094.0,,1.0,1.0,Shanghai
上海市,2007,policy,1477.0,14.0,1.0,1.0,Shanghai
上海市,2007,large,20327.0,1464.0,1.0,1.0,Shanghai
上海市,2007,joint_stock,16141.0,452.0,1.0,1.0,Shanghai
上海市,2007,postal,539.0,444.0,1.0,1.0,Shanghai
上海市,2007,city,2997.0,211.0,1.0,1.0,Shanghai
上海市,2007,rural,1534.0,330.0,1.0,1.0,Shanghai
上海市,2007,foreign,7567.0,131.0,1.0,1.0,Shanghai
上海市,2008,policy,2116.0,14.0,1.0,1.0,Shanghai
上海市,2008,large,21471.0,1476.0,1.0,1.0,Shanghai
上海市,2008,joint_stock,13670.0,482.0,1.0,1.0,Shanghai
上海市,2008,postal,651.0,447.0,1.0,1.0,Shanghai
上海市,2008,city,3851.0,223.0,1.0,1.0,Shanghai
上海市,2008,rural,1710.0,333.0,2.0,1.0,Shanghai
上海市,2008,foreign,8567.0,157.0,1.0,1.0,Shanghai
上海市,2009,policy,2269.0,14.0,1.0,1.0,Shanghai
上海市,2009,large,25904.0,1484.0,1.0,1.0,Shanghai
上海市,2009,joint_stock,16980.0,510.0,1.0,1.0,Shanghai
上海市,2009,postal,766.0,452.0,1.0,1.0,Shanghai
上海市,2009,city,5234.0,237.0,1.0,1.0,Shanghai
上海市,2009,rural,2158.0,351.0,2.0,1.0,Shanghai
上海市,2009,foreign,7293.0,174.5,1.0,1.0,Shanghai
上海市,2010,policy,2677.9,14.0,1.0,1.0,Shanghai
上海市,2010,large,30842.7,1496.0,1.0,1.0,Shanghai
上海市,2010,joint_stock,14633.1,552.0,1.0,1.0,Shanghai
上海市,2010,postal,924.5,453.0,1.0,1.0,Shanghai
上海市,2010,city,6245.5,264.0,1.0,1.0,Shanghai
上海市,2010,rural,2597.4,332.0,2.0,1.0,Shanghai
上海市,2010,foreign,8657.3,192.0,1.0,1.0,Shanghai
上海市,2011,policy,2781.0,14.0,1.0,1.0,Shanghai
上海市,2011,large,29905.0,1510.0,1.0,1.0,Shanghai
上海市,2011,joint_stock,28516.0,571.0,1.0,1.0,Shanghai
上海市,2011,postal,1113.0,456.0,1.0,1.0,Shanghai
上海市,2011,city,7449.0,284.0,1.0,1.0,Shanghai
上海市,2011,rural,3236.0,353.0,2.0,1.0,Shanghai
上海市,2011,foreign,10020.0,201.0,1.0,1.0,Shanghai
上海市,2012,policy,2940.0,14.0,1.0,1.0,Shanghai
上海市,2012,large,32815.0,1548.0,1.0,1.0,Shanghai
上海市,2012,joint_stock,24696.0,619.0,1.0,1.0,Shanghai
上海市,2012,postal,1320.0,460.0,1.0,1.0,Shanghai
上海市,2012,city,9169.0,307.0,1.0,1.0,Shanghai
上海市,2012,rural,3696.0,379.0,2.0,1.0,Shanghai
上海市,2012,foreign,10860.0,200.0,1.0,1.0,Shanghai
上海市,2013,policy,3249.0,14.0,1.0,1.0,Shanghai
上海市,2013,large,34360.0,1559.0,1.0,1.0,Shanghai
上海市,2013,joint_stock,26047.0,650.0,1.0,1.0,Shanghai
上海市,2013,postal,1476.0,471.0,1.0,1.0,Shanghai
上海市,2013,city,10771.0,335.0,1.0,1.0,Shanghai
上海市,2013,rural,4219.0,397.0,2.0,1.0,Shanghai
上海市,2013,foreign,11897.0,215.0,1.0,1.0,Shanghai
上海市,2014,policy,3425.0,14.0,1.0,1.0,Shanghai
上海市,2014,large,42973.0,1713.0,1.0,1.0,Shanghai
上海市,2014,joint_stock,25315.0,864.0,1.0,1.0,Shanghai
上海市,2014,postal,1566.0,466.0,1.0,1.0,Shanghai
上海市,2014,city,14055.0,366.0,1.0,1.0,Shanghai
上海市,2014,rural,4830.0,409.0,2.0,1.0,Shanghai
上海市,2014,foreign,13215.0,219.0,1.0,1.0,Shanghai
上海市,2015,policy,3995.0,14.0,1.0,1.0,Shanghai
上海市,2015,large,53653.0,1703.0,1.0,1.0,Shanghai
上海市,2015,joint_stock,29906.0,638.0,1.0,1.0,Shanghai
上海市,2015,postal,1664.0,483.0,1.0,1.0,Shanghai
上海市,2015,city,17300.0,374.0,1.0,1.0,Shanghai
上海市,2015,rural,5807.0,428.0,2.0,1.0,Shanghai
上海市,2015,foreign,12653.0,212.0,1.0,1.0,Shanghai
上海市,2016,policy,4192.0,14.0,1.0,1.0,Shanghai
上海市,2016,large,50522.0,1702.0,1.0,1.0,Shanghai
上海市,2016,joint_stock,34742.0,731.0,1.0,1.0,Shanghai
上海市,2016,postal,1893.0,484.0,1.0,1.0,Shanghai
上海市,2016,city,20484.0,383.0,1.0,1.0,Shanghai
上海市,2016,rural,7044.0,415.0,2.0,1.0,Shanghai
上海市,2016,foreign,13824.0,213.0,1.0,1.0,Shanghai
上海市,2017,policy,4816.0,14.0,1.0,1.0,Shanghai
