province,base_share_chemical,base_share_petroleum,base_share_power_heat,base_share_ferrous,base_share_nonferrous,base_share_nonmetal,base_high_energy_share
Anhui,0.05402867264211503,0.013646846247117282,0.1850051116235943,0.07879032833265971,0.06095908323625211,0.05886688381160696,0.45129692589334536
Beijing,0.031087527469582456,0.03750156330957103,0.4341534008683068,0.06530167408122062,0.005556448875310428,0.029461685515713498,0.603062300119705
Chongqing,0.06891735696397612,0.0033712194182238496,0.26252167212483146,0.06142843382777885,0.049701406280100176,0.0804758235407436,0.5264159121556541
Fujian,0.04878862340030465,0.034712416193197614,0.24383193053069305,0.052958116056438256,0.027051668352994804,0.06339852566739679,0.4707412802010252
Gansu,0.029573730369161735,0.022551790448996238,0.3706768450802715,0.16864310480463854,0.16322368229363945,0.03991725182832667,0.7945864048250342
Guangdong,0.04611136273979809,0.023177437186174384,0.27317621962801164,0.051156923766248315,0.02958179312225745,0.037827097000423714,0.46103083344291357
Guangxi,0.046119065561416726,0.009696056267269531,0.3722515280917693,0.0879343548522147,0.10484802813363477,0.038533031901532275,0.6593820648078373
Guizhou,0.09598326963294153,0.005408523833561694,0.5678709646402731,0.031754044373933324,0.03487896925554674,0.027451263190788684,0.7633470349270451
Hainan,0.03101030024106947,0.19767696690773612,0.2798597413982029,0.0050405435020819634,0.00032873109796186715,0.03572211264518956,0.5496383957922418
Hebei,0.049609148413114944,0.042586249758307326,0.17496478192414994,0.2727467336961026,0.010634477805706711,0.05665966908819711,0.6072010606855786
Heilongjiang,0.03455021352803417,0.0678605868576939,0.37509298801487806,0.0508334481333517,0.006832897093263535,0.024383523901363825,0.5595536575285851
Henan,0.05129663543574326,0.01746348232088055,0.21912482577144965,0.04709639917245346,0.10604346494490316,0.07649805301548213,0.5175228606609121
Hubei,0.07433625097810856,0.011573526468072718,0.32704310956635674,0.13013848197550634,0.020408348952741434,0.05110730988299093,0.6146070278237767
Hunan,0.06187679769894536,0.017988974113135187,0.2984779482262704,0.10425455417066157,0.06718600191754555,0.046800095877277084,0.5965843720038351
Jiangsu,0.10286914540831273,0.008316830522973084,0.12157688747231629,0.11008448657706324,0.027056797009573582,0.03594487866040146,0.4058490256506404
Jiangxi,0.05559624475664159,0.033180193976518634,0.2202987327163371,0.09472446012828195,0.1312337705572941,0.06937878686996471,0.604412189005038
Jilin,0.054346076458752515,0.006659959758551308,0.2035010060362173,0.07191146881287727,0.026680080482897384,0.0700804828973843,0.43317907444668013
Liaoning,0.06212024179566079,0.042946845566298554,0.15148154511800815,0.21164149263522905,0.05046781524812171,0.05281860639477671,0.571476546758095
Neimenggu,0.04990336431076186,0.026757091439350976,0.4148043561285544,0.09036304928998809,0.06523777008807156,0.03490457949008761,0.6819702107468144
Ningxia,0.06789423160834279,0.053800506152369316,0.33296971812549087,0.03050004363382494,0.14569334147831398,0.041364866044157435,0.6722227070424993
Qinghai,0.12331606217616581,0.011968911917098446,0.48487046632124353,0.09000000000000001,0.1273575129533679,0.019378238341968914,0.8568911917098445
Shaanxi,0.053031399218636956,0.06520402257271017,0.30957893213717264,0.028957459123137026,0.04046085949934887,0.03908623932860657,0.5363189118796122
Shandong,0.09690040679643491,0.04815675759650626,0.11583629176568064,0.08118379488713844,0.03715829387158581,0.0558525175923635,0.43508806250970955
Shanghai,0.13266237287238966,0.034412071998201364,0.11550923782947377,0.14092814727626202,0.023699628370782804,0.028487164905505666,0.4756986232526153
Shanxi,0.05759930490663781,0.13633010377219298,0.1852571353628748,0.11790357218970803,0.046820439679339,0.02638567845374514,0.5702962343644978
Sichuan,0.07244625313437746,0.01555473342376783,0.31149751305134216,0.07863690549595101,0.02863485016648169,0.06045135035146135,0.5672216056233815
Tianjin,0.07891692645530655,0.05489873144716978,0.13307060368997903,0.3030606042781797,0.021037978158147563,0.02252808658314217,0.6135129306119248
Xinjiang,0.11934757084377876,0.036873671183321174,0.29717894202392664,0.0851077333164091,0.009551613619775965,0.06616317075492655,0.6142227017421381
Xizang,0.05213270142180095,0.0,-0.028436018957345974,0.0,0.0,0.32701421800947866,0.35071090047393366
Yunnan,0.09669767954988416,0.03263707571801566,0.38316846247195974,0.060493509359026226,0.1698231162431508,0.041628360239767584,0.7844482035818042
Zhejiang,0.07131126794554091,0.005600715761467783,0.11119613394628258,0.03320109012355126,0.023756688190524403,0.04066184390984702,0.28572773987721395
