province,year,total_interest,chemical,petroleum,power_heat,ferrous,nonferrous,nonmetal
Anhui,2007,95.49,4.66,2.25,14.62,9.84,6.55,6.36
Anhui,2008,155.93,6.51,2.77,30.08,16.19,9.79,8.46
Anhui,2009,143.2,9.26,1.56,32.1,10.71,6.93,8.32
Anhui,2010,182.58,10.86,1.99,35.78,11.41,11.34,11.15
Anhui,2011,264.02,14.16,2.91,43.05,18.13,16.67,15.23
Anhui,2012,362.77,15.64,1.94,56.06,24.59,22.16,18.76
Anhui,2013,383.96,23.6,4.02,53.95,23.14,22.1,20.94
Anhui,2014,429.89,28.57,3.51,50.45,24.72,23.3,22.52
Anhui,2015,429.47,26.28,3.64,49.05,18.61,23.83,22.2
Anhui,2016,397.58,23.72,2.65,41.67,16.44,20.69,20.2
Anhui,2017,389.03,25.29,2.14,45.64,15.12,16.43,20.1
Anhui,2018,380.47,26.86,1.63,49.61,13.79,12.17,19.99
Anhui,2019,346.78,26.1,2.41,61.32,11.65,12.62,20.16
Anhui,2020,341.18,27.15,2.68,57.99,11.86,21.58,21.89
Anhui,2021,345.26,24.97,2.39,57.01,9.33,24.42,23.79
Anhui,2022,360.09,28.33,1.81,63.55,11.49,10.9,25.02
Beijing,2007,70.3,2.5,3.25,17.96,10.35,0.46,2.57
Beijing,2008,104.71,2.92,6.07,40.47,11.41,0.61,4.1
Beijing,2009,104.7,4.1,4.03,54.07,8.61,0.49,2.95
Beijing,2010,107.64,2.98,3.25,58.26,3.4,0.39,2.17
Beijing,2011,172.36,4.9,4.39,72.24,2.78,1.16,4.7
Beijing,2012,223.91,6.04,4.06,99.64,2.77,0.53,6.29
Beijing,2013,243.48,5.43,2.85,108.3,2.55,0.66,7.83
Beijing,2014,264.34,6.29,2.9,98.19,2.82,0.56,7.76
Beijing,2015,178.65,4.93,2.55,31.58,1.7,0.52,6.97
Beijing,2016,224.24,4.82,1.91,60.79,1.54,0.47,6.87
Beijing,2017,259.6,3.87,1.67,51.04,1.45,0.43,16.18
Beijing,2018,294.96,2.92,1.44,41.29,1.36,0.39,25.49
Beijing,2019,283.88,2.02,2.05,42.4,1.32,0.19,6.43
Beijing,2020,309.47,1.6,2.35,74.71,1.21,0.22,7.88
Beijing,2021,326.95,1.11,1.62,133.47,0.97,0.41,4.94
Beijing,2022,345.59,0.87,1.95,159.52,0.72,0.51,5.47
Chongqing,2007,52.25,3.01,0.16,16.2,2.71,3.17,4.01
Chongqing,2008,78.23,5.45,0.26,22.73,3.21,4.17,6.41
Chongqing,2009,69.66,6.54,0.34,20.83,2.4,3.43,5.43
Chongqing,2010,87.19,9.82,0.26,20.53,6.36,4.07,7.09
