province,large_bank_networks_2011,total_networks_2011,large_bank_share_2011
上海市,1510.0,3417.0,0.44190810652619256
云南省,1566.0,5174.0,0.302667182064167
内蒙古自治区,1593.0,4688.0,0.3398037542662116
北京市,1662.0,3672.0,0.4526143790849673
吉林省,1499.0,4533.0,0.33068607985881315
四川省,3212.0,12934.0,0.24833771455079634
天津市,1102.0,2687.0,0.4101228135467064
宁夏回族自治区,468.0,1136.0,0.4119718309859155
安徽省,2243.0,7690.0,0.2916775032509753
山东省,4286.0,13565.0,0.3159601916697383
山西省,1656.0,6212.0,0.26658081133290407
广东省,6505.0,16820.0,0.3867419738406659
广西壮族自治区,1951.0,5477.0,0.35621690706591197
新疆维吾尔自治区,1294.0,3416.0,0.3788056206088993
江苏省,4641.0,11711.0,0.3962940824865511
江西省,1825.0,6285.0,0.2903739061256961
河北省,3107.0,9985.0,0.3111667501251878
河南省,3157.0,11854.0,0.26632360384680276
浙江省,3806.0,10940.0,0.3478976234003656
海南省,487.0,1285.0,0.378988326848249
湖北省,2718.0,6953.0,0.3909103983891845
湖南省,2384.0,9082.0,0.2624972473023563
甘肃省,1384.0,4488.0,0.3083778966131907
福建省,2113.0,5495.0,0.3845313921747043
西藏自治区,554.0,631.0,0.8779714738510301
贵州省,1034.0,4289.0,0.24108183725810212
辽宁省,3120.0,8737.0,0.3571019800846973
重庆市,1266.0,5111.0,0.24770103697906476
陕西省,1851.0,6446.0,0.2871548246974868
青海省,405.0,1012.0,0.40019762845849804
黑龙江省,2045.0,6154.0,0.3323041923951901
