year,province,city,gdp,mining_emp,so2,urban_unit_emp,pilot_city,post2017,pilot_post2017,resource_share_2016,resource_share_2016_z,post_resource,pilot_resource,pilot_post_resource,ln_so2,ln_gdp,so2_per_gdp,ln_so2_per_gdp,city_id,province_id,province_year_id
2005,广东,东莞,2231.5,,177000.0,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,12.083910661257521,7.710429284069325,79.31884382702218,4.386004261255929,28,2,19
2006,广东,东莞,2627.98,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,7.873970769225466,,,28,2,20
2007,广东,东莞,3160.05,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.058343129240589,,,28,2,21
2008,广东,东莞,3703.6,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.217060598573893,,,28,2,22
2009,广东,东莞,3763.91,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.233213589686141,,,28,2,23
2010,广东,东莞,4431.19,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.396423449991307,,,28,2,24
2011,广东,东莞,4735.39,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.462819367592648,,,28,2,25
2012,广东,东莞,5010.17,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.519225125638958,,,28,2,26
2013,广东,东莞,5740.44,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.655291141428028,,,28,2,27
2014,广东,东莞,6308.28,,,,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.749618335176438,,,28,2,28
2015,广东,东莞,6769.32,,,232.27530000000002,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.820155917730109,,,28,2,29
2016,广东,东莞,7380.62,0.0,,231.23870000000002,0,0,0,0.0,-0.22858884560791237,-0.0,-0.0,-0.0,,8.906612924905913,,,28,2,30
2017,广东,东莞,8228.18,0.0,,242.39880000000002,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,,9.015320127052764,,,28,2,31
2018,广东,东莞,9021.55,0.0,,242.41500000000002,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,,9.107371438648574,,,28,2,32
2019,广东,东莞,9736.84,0.0,7216.26,287.3275,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,8.884230658472957,9.183671908677782,0.7411295656496358,0.5545340782637781,28,2,33
2020,广东,东莞,10079.94,,,286.30561800000004,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,,9.218302589226692,,,28,2,34
2021,广东,东莞,11272.57,,,287.29,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,,9.330127620078576,,,28,2,35
2022,广东,东莞,11742.94,,,,0,1,0,0.0,-0.22858884560791237,-0.22858884560791237,-0.0,-0.0,,9.371007487925135,,,28,2,36
2005,广东,中山,908.32,,32000.0,,0,0,0,,,,,,10.373522431293592,6.811596739422416,35.22987493394398,3.5898840528983773,29,2,19
2006,广东,中山,1053.61,,,,0,0,0,,,,,,,6.9599776416520625,,,29,2,20
2007,广东,中山,1268.04,,,,0,0,0,,,,,,,7.145227680240939,,,29,2,21
2008,广东,中山,1457.01,,,,0,0,0,,,,,,,7.2841416695896335,,,29,2,22
2009,广东,中山,1566.41,,,,0,0,0,,,,,,,7.356541655821241,,,29,2,23
2010,广东,中山,1835.97,,,,0,0,0,,,,,,,7.515328231177658,,,29,2,24
2011,广东,中山,2193.2,,,,0,0,0,,,,,,,7.693116943529893,,,29,2,25
2012,广东,中山,2441.04,,,,0,0,0,,,,,,,7.80017945698545,,,29,2,26
2013,广东,中山,2470.06,,,,0,0,0,,,,,,,7.811997720824965,,,29,2,27
2014,广东,中山,2620.58,,,,0,0,0,,,,,,,7.871150946301325,,,29,2,28
2015,广东,中山,2745.9,,,82.93820000000001,0,0,0,,,,,,,7.917864169058843,,,29,2,29
2016,广东,中山,2868.25,,,80.9462,0,0,0,,,,,,,7.9614573666792525,,,29,2,30
2017,广东,中山,2978.39,,,77.8995,0,1,0,,,,,,,7.999138165045484,,,29,2,31
2018,广东,中山,3113.03,,,76.3362,0,1,0,,,,,,,8.043351807401276,,,29,2,32
2019,广东,中山,3202.81,,2222.17,76.4244,0,1,0,,,,,,7.706689384274636,8.07178382846162,0.6938188653089007,0.5269856633043,29,2,33
2020,广东,中山,3311.24,,,75.33539,0,1,0,,,,,,,8.105078020574169,,,29,2,34
2021,广东,中山,3705.22,,,78.66000000000001,0,1,0,,,,,,,8.217497915184586,,,29,2,35
2022,广东,中山,3794.55,,,,0,1,0,,,,,,,8.241321105723815,,,29,2,36
2005,广东,云浮,205.33,,24000.0,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,10.085850775128717,5.3246184409674076,116.88501436711634,4.769709694860239,32,2,19
2006,广东,云浮,230.63,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,5.440814694776582,,,32,2,20
2007,广东,云浮,275.55,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,5.618769100329245,,,32,2,21
2008,广东,云浮,324.55,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,5.7824396074794775,,,32,2,22
2009,广东,云浮,344.51,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,5.842123117608619,,,32,2,23
2010,广东,云浮,402.03,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,5.996526712700247,,,32,2,24
2011,广东,云浮,481.37,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.176636205168639,,,32,2,25
2012,广东,云浮,530.29,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.273424026714671,,,32,2,26
2013,广东,云浮,596.67,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.391364196743265,,,32,2,27
2014,广东,云浮,655.5,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.4853983032037545,,,32,2,28
2015,广东,云浮,708.88,,,,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.563686259739047,,,32,2,29
2016,广东,云浮,773.2,0.3,,21.81,0,0,0,0.01375515818431912,-0.044833808582512236,-0.0,-0.0,-0.0,,6.650537747334176,,,32,2,30
2017,广东,云浮,827.78,0.25,,19.43,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,,6.718747418597541,,,32,2,31
2018,广东,云浮,884.36,0.22,,18.36,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,,6.784864219557019,,,32,2,32
2019,广东,云浮,975.62,0.22,5182.49,19.13,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,8.553233853562888,6.883073166336641,5.311996474037023,1.842452024930778,32,2,33
2020,广东,云浮,1061.31,,,,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,,6.967259273129868,,,32,2,34
2021,广东,云浮,1171.39,,,,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,,7.065946356825663,,,32,2,35
2022,广东,云浮,1211.91,,,,0,1,0,0.01375515818431912,-0.044833808582512236,-0.044833808582512236,-0.0,-0.0,,7.0999529064462985,,,32,2,36
2005,广东,佛山,2478.94,,149000.0,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,11.91170829631447,7.815586328434501,60.10633577254794,4.112615555933298,17,2,19
2006,广东,佛山,2983.9,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.000986448697766,,,17,2,20
2007,广东,佛山,3660.18,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.205267605513969,,,17,2,21
2008,广东,佛山,4378.3,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.3844158001755,,,17,2,22
2009,广东,佛山,4820.9,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.480715911605966,,,17,2,23
2010,广东,佛山,5756.94,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.658161362526657,,,17,2,24
2011,广东,佛山,6210.23,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.733953211278708,,,17,2,25
2012,广东,佛山,6613.02,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.796795712016074,,,17,2,26
2013,广东,佛山,7064.3,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.862809210238192,,,17,2,27
2014,广东,佛山,7639.93,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,8.941143719814928,,,17,2,28
2015,广东,佛山,8203.07,,,,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,9.012263753429707,,,17,2,29
2016,广东,佛山,8871.82,0.04,,171.72,0,0,0,0.00023293733985557886,-0.22547703773655278,-0.0,-0.0,-0.0,,9.090635240276146,,,17,2,30
2017,广东,佛山,9507.08,0.04,,165.16,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,,9.15979206317584,,,17,2,31
2018,广东,佛山,10150.88,0.01,,163.33,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,,9.225315680219138,,,17,2,32
2019,广东,佛山,10975.06,0.01,7436.7,151.64,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,8.914316940248638,9.303380704898816,0.6775999402281172,0.5173641649761717,17,2,33
2020,广东,佛山,10873.04,,,,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,,9.29404160982847,,,17,2,34
2021,广东,佛山,12349.22,,,,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,,9.421348182166842,,,17,2,35
2022,广东,佛山,12823.31,,,,0,1,0,0.00023293733985557886,-0.22547703773655278,-0.22547703773655278,-0.0,-0.0,,9.459019887476888,,,17,2,36
2005,广东,广州,5154.23,,149000.0,,1,0,0,,,,,,11.91170829631447,8.547573015750187,28.9082947404365,3.398135857992029,12,2,19
2006,广东,广州,6081.86,,,,1,0,0,,,,,,,8.71306584922854,,,12,2,20
