province,city,metric,code,name,source,unit,update_date,n_years,first_year,last_year
广东,东莞,gdp,M0058325,广东:东莞:GDP,广东省统计局,亿元,20260204,18,2005,2022
广东,东莞,mining_emp,Q9558373,广东:东莞:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,东莞,so2,W3859304,广东:东莞:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,东莞,urban_unit_emp,M6022778,广东:东莞:就业人员数:城镇单位,广东省统计局,人,20221104,7,2015,2021
广东,中山,gdp,M0058326,广东:中山:GDP,广东省统计局,亿元,20260203,18,2005,2022
广东,中山,so2,L9854140,广东:中山:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,中山,urban_unit_emp,M6022779,广东:中山:就业人员数:城镇单位,广东省统计局,人,20221104,7,2015,2021
广东,云浮,gdp,M0058329,广东:云浮:GDP,广东省统计局,亿元,20260130,18,2005,2022
广东,云浮,mining_emp,C5775102,广东:云浮:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,云浮,so2,D4910351,广东:云浮:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,云浮,urban_unit_emp,R9270316,广东:云浮:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,佛山,gdp,M0058314,广东:佛山:GDP,广东省统计局,亿元,20260206,18,2005,2022
广东,佛山,mining_emp,U3511483,广东:佛山:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,佛山,so2,W0785239,广东:佛山:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,佛山,urban_unit_emp,Y1832086,广东:佛山:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,广州,gdp,M0027241,广东:广州:GDP,国家统计局,亿元,20260204,18,2005,2022
广东,广州,mining_emp,R8667297,广州:就业人员数:城镇非私营单位:采矿业,广州市统计局,人,20240531,6,2013,2022
广东,广州,so2,L1499467,广东:广州:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,广州,urban_unit_emp,N9444254,广东:广州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,惠州,gdp,M0058319,广东:惠州:GDP,广东省统计局,亿元,20260514,18,2005,2022
广东,惠州,mining_emp,R0068118,广东:惠州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
广东,惠州,so2,H9105012,广东:惠州:二氧化硫排放量,惠州市统计局,吨,20260602,18,2005,2022
广东,惠州,urban_unit_emp,D6771630,广东:惠州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
广东,揭阳,gdp,M0058328,广东:揭阳:GDP,广东省统计局,亿元,20260203,18,2005,2022
广东,揭阳,mining_emp,R1107461,广东:揭阳:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,1,2019,2019
广东,揭阳,so2,R6799979,广东:揭阳:二氧化硫排放量,广东省统计局,吨,20230110,2,2005,2019
广东,揭阳,urban_unit_emp,P9384320,广东:揭阳:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
