province,province_en,year,event_type,leader_position,event_label,note,appendix_flag
山西,Shanxi,2010,party_secretary_turnover,party_secretary,Yuan Chunqing became party secretary,Pre-2012 transition narrative and transformation discourse,1
山西,Shanxi,2013,governor_turnover,governor,Li Xiaopeng became governor,Acting governor in Dec 2012 and formally elected in Jan 2013,1
山西,Shanxi,2014,party_secretary_turnover,party_secretary,Wang Rulin became party secretary,Key governance shock related to anti-corruption and coal governance,1
山西,Shanxi,2016,joint_turnover,party_secretary_governor,Luo Huining became party secretary; Lou Yangsheng became governor,Party and government leadership reorganization year,1
山西,Shanxi,2019,party_secretary_turnover,party_secretary,Lou Yangsheng became party secretary,Party secretary changed in Nov 2019,1
山西,Shanxi,2020,governor_turnover,governor,Lin Wu became governor,Government leadership change in Jan 2020,1
山西,Shanxi,2021,joint_turnover,party_secretary_governor,Lin Wu became party secretary; Lan Foan became governor,Leadership transition connected to later environmental-governance narrative,1
山西,Shanxi,2022,joint_turnover,party_secretary_governor,Lan Foan became party secretary; Jin Xiangjun became acting governor,Late-sample leadership change,1
山西,Shanxi,2023,joint_turnover,party_secretary_governor,Jin Xiangjun elected governor; Tang Dengjie became party secretary,Late-sample leadership adjustment,1
内蒙古,Neimenggu,2009,joint_turnover,party_secretary_governor,Hu Chunhua became party secretary; Bater became chairman,Pre-2012 regional leadership baseline,1
内蒙古,Neimenggu,2012,party_secretary_turnover,party_secretary,Wang Jun became party secretary,Leadership change coinciding with the 2012 green-credit policy year,1
内蒙古,Neimenggu,2016,joint_turnover,party_secretary_governor,Li Jiheng became party secretary; Bu Xiaolin became chairwoman,Party and government leadership reorganization year,1
内蒙古,Neimenggu,2019,party_secretary_turnover,party_secretary,Shi Taifeng became party secretary,Important prelude to coal-corruption retrospective governance,1
内蒙古,Neimenggu,2021,governor_turnover,governor,Wang Lixia became chairwoman,Government leadership change during later transition phase,1
内蒙古,Neimenggu,2022,party_secretary_turnover,party_secretary,Sun Shaocheng became party secretary,Leadership change around environmental-inspection and energy-base narratives,1
