province,province_cn,year,month,technology,generation_ytd_100m_kwh,generation_monthly_100m_kwh,combined_jan_feb_flag,negative_increment_flag,wind_code,wind_name,wind_source
Anhui,安徽,2000,1,hydro,0.18,0.18,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,2,hydro,0.35,0.16999999999999998,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,3,hydro,0.86,0.51,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,4,hydro,1.56,0.7000000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,5,hydro,1.96,0.3999999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,6,hydro,2.96,1.0,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,7,hydro,3.33,0.3700000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,8,hydro,3.62,0.29000000000000004,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,9,hydro,3.78,0.1599999999999997,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,10,hydro,4.17,0.3900000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,11,hydro,4.54,0.3700000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2000,12,hydro,4.58,0.040000000000000036,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,1,hydro,0.2,0.2,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,2,hydro,0.75,0.55,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,3,hydro,1.23,0.48,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,4,hydro,1.78,0.55,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,5,hydro,2.87,1.09,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,6,hydro,3.52,0.6499999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,7,hydro,4.51,0.9899999999999998,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,8,hydro,5.06,0.5499999999999998,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,9,hydro,5.48,0.4200000000000008,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,10,hydro,5.83,0.34999999999999964,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,11,hydro,6.1,0.2699999999999996,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2001,12,hydro,6.27,0.16999999999999993,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2002,1,hydro,0.25,0.25,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2002,2,hydro,0.49,0.24,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2002,3,hydro,0.7,0.20999999999999996,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2002,4,hydro,1.51,0.81,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
