province,province_cn,year,month,hydro_generation_monthly_100m_kwh,nuclear_generation_monthly_100m_kwh,solar_generation_monthly_100m_kwh,thermal_generation_monthly_100m_kwh,wind_generation_monthly_100m_kwh,windsolar_generation_monthly_100m_kwh,observed_source_generation_monthly_100m_kwh
Anhui,安徽,2000,1,0.18,,,25.32,,,25.5
Anhui,安徽,2000,2,0.16999999999999998,,,22.119999999999997,,,22.29
Anhui,安徽,2000,3,0.51,,,28.320000000000007,,,28.83000000000001
Anhui,安徽,2000,4,0.7000000000000001,,,32.709999999999994,,,33.41
Anhui,安徽,2000,5,0.3999999999999999,,,28.930000000000007,,,29.330000000000005
Anhui,安徽,2000,6,1.0,,,27.349999999999994,,,28.349999999999994
Anhui,安徽,2000,7,0.3700000000000001,,,34.91999999999999,,,35.289999999999985
Anhui,安徽,2000,8,0.29000000000000004,,,34.920000000000016,,,35.210000000000015
Anhui,安徽,2000,9,0.1599999999999997,,,27.48999999999998,,,27.64999999999998
Anhui,安徽,2000,10,0.3900000000000001,,,29.04000000000002,,,29.43000000000002
Anhui,安徽,2000,11,0.3700000000000001,,,29.920000000000016,,,30.290000000000017
Anhui,安徽,2000,12,0.040000000000000036,,,29.829999999999984,,,29.869999999999983
Anhui,安徽,2001,1,0.2,,,28.3,,,28.5
Anhui,安徽,2001,2,0.55,,,26.81,,,27.36
Anhui,安徽,2001,3,0.48,,,29.590000000000003,,,30.070000000000004
Anhui,安徽,2001,4,0.55,,,27.86999999999999,,,28.41999999999999
Anhui,安徽,2001,5,1.09,,,31.75,,,32.84
Anhui,安徽,2001,6,0.6499999999999999,,,31.629999999999995,,,32.279999999999994
Anhui,安徽,2001,7,0.9899999999999998,,,40.400000000000006,,,41.39000000000001
Anhui,安徽,2001,8,0.5499999999999998,,,37.0,,,37.55
Anhui,安徽,2001,9,0.4200000000000008,,,30.78,,,31.200000000000003
Anhui,安徽,2001,10,0.34999999999999964,,,33.360000000000014,,,33.710000000000015
Anhui,安徽,2001,11,0.2699999999999996,,,29.71999999999997,,,29.98999999999997
Anhui,安徽,2001,12,0.16999999999999993,,,34.01000000000005,,,34.18000000000005
Anhui,安徽,2002,1,0.25,,,35.64,,,35.89
Anhui,安徽,2002,2,0.24,,,27.450000000000003,,,27.69
Anhui,安徽,2002,3,0.20999999999999996,,,36.11999999999999,,,36.32999999999999
Anhui,安徽,2002,4,0.81,,,32.41000000000001,,,33.22000000000001
Anhui,安徽,2002,5,1.8499999999999999,,,29.97,,,31.82
Anhui,安徽,2002,6,2.0000000000000004,,,37.400000000000006,,,39.400000000000006
Anhui,安徽,2002,7,1.0499999999999998,,,46.44,,,47.489999999999995
Anhui,安徽,2002,8,1.2599999999999998,,,46.24000000000001,,,47.50000000000001
Anhui,安徽,2002,9,1.0700000000000003,,,41.72999999999996,,,42.79999999999996
Anhui,安徽,2002,10,0.7200000000000006,,,37.99000000000001,,,38.71000000000001
Anhui,安徽,2002,11,0.35999999999999943,,,38.81999999999999,,,39.17999999999999
Anhui,安徽,2002,12,0.6899999999999995,,,44.94,,,45.629999999999995
Anhui,安徽,2003,1,0.35,,,44.78,,,45.13
Anhui,安徽,2003,2,0.36,,,33.849999999999994,,,34.209999999999994
Anhui,安徽,2003,3,0.9299999999999999,,,43.03,,,43.96
Anhui,安徽,2003,4,1.5800000000000003,,,42.56,,,44.14
Anhui,安徽,2003,5,2.4099999999999997,,,37.69,,,40.099999999999994
Anhui,安徽,2003,6,1.2999999999999998,,,43.56999999999999,,,44.86999999999999
Anhui,安徽,2003,7,1.540000000000001,,,51.41,,,52.949999999999996
Anhui,安徽,2003,8,1.3099999999999987,,,52.379999999999995,,,53.69
Anhui,安徽,2003,9,1.0099999999999998,,,48.48000000000002,,,49.490000000000016
Anhui,安徽,2003,10,0.3500000000000014,,,42.94999999999999,,,43.29999999999999
Anhui,安徽,2003,11,0.379999999999999,,,47.06,,,47.44
Anhui,安徽,2003,12,,,,48.57000000000005,,,48.57000000000005
Anhui,安徽,2004,1,0.38,,,45.49,,,45.870000000000005
Anhui,安徽,2004,2,0.36,,,45.279999999999994,,,45.63999999999999
Anhui,安徽,2004,3,0.41999999999999993,,,50.290000000000006,,,50.71000000000001
Anhui,安徽,2004,4,0.42000000000000015,,,47.579999999999984,,,47.999999999999986
Anhui,安徽,2004,5,1.62,,,46.31,,,47.93
Anhui,安徽,2004,6,1.04,,,49.78000000000003,,,50.82000000000003
Anhui,安徽,2004,7,1.2999999999999998,,,55.26999999999998,,,56.56999999999998
Anhui,安徽,2004,8,1.2999999999999998,,,51.47000000000003,,,52.770000000000024
Anhui,安徽,2004,9,0.75,,,48.75,,,49.5
Anhui,安徽,2004,10,0.6600000000000001,,,58.589999999999975,,,59.24999999999997
Anhui,安徽,2004,11,0.3699999999999992,,,47.96999999999997,,,48.33999999999997
Anhui,安徽,2004,12,0.13000000000000078,,,51.33000000000004,,,51.46000000000004
Anhui,安徽,2005,1,0.46,,,53.12,,,53.58
Anhui,安徽,2005,2,0.3,,,40.98,,,41.279999999999994
Anhui,安徽,2005,3,1.07,,,51.80000000000001,,,52.87000000000001
Anhui,安徽,2005,4,0.98,,,49.18000000000001,,,50.160000000000004
Anhui,安徽,2005,5,1.1,,,49.73999999999998,,,50.83999999999998
Anhui,安徽,2005,6,1.2999999999999998,,,56.98000000000002,,,58.280000000000015
Anhui,安徽,2005,7,0.7700000000000005,,,60.589999999999975,,,61.35999999999998
Anhui,安徽,2005,8,0.9299999999999997,,,58.54000000000002,,,59.47000000000002
Anhui,安徽,2005,9,1.1099999999999994,,,50.79000000000002,,,51.90000000000002
Anhui,安徽,2005,10,0.9100000000000001,,,51.22000000000003,,,52.130000000000024
Anhui,安徽,2005,11,0.9199999999999999,,,50.059999999999945,,,50.97999999999995
Anhui,安徽,2005,12,1.0199999999999996,,,61.860000000000014,,,62.88000000000001
Anhui,安徽,2006,1,0.61,,,55.62,,,56.23
Anhui,安徽,2006,2,0.7300000000000001,,,49.06000000000001,,,49.790000000000006
Anhui,安徽,2006,3,0.9999999999999998,,,56.25,,,57.25
Anhui,安徽,2006,4,1.2200000000000002,,,52.389999999999986,,,53.609999999999985
Anhui,安徽,2006,5,1.4499999999999997,,,50.370000000000005,,,51.82000000000001
Anhui,安徽,2006,6,1.3200000000000003,,,59.629999999999995,,,60.949999999999996
Anhui,安徽,2006,7,0.9399999999999995,,,74.40000000000003,,,75.34000000000003
Anhui,安徽,2006,8,1.08,,,76.58999999999997,,,77.66999999999997
Anhui,安徽,2006,9,0.870000000000001,,,58.21999999999997,,,59.089999999999975
Anhui,安徽,2006,10,0.6699999999999999,,,58.76999999999998,,,59.43999999999998
Anhui,安徽,2006,11,1.5899999999999999,,,59.80000000000007,,,61.39000000000007
Anhui,安徽,2006,12,0.7899999999999991,,,65.35000000000002,,,66.14000000000001
Anhui,安徽,2007,1,0.48,,,68.94,,,69.42
Anhui,安徽,2007,2,0.55,,,49.57000000000001,,,50.120000000000005
Anhui,安徽,2007,3,0.94,,,57.61999999999999,,,58.55999999999999
Anhui,安徽,2007,4,0.9000000000000001,,,61.45000000000002,,,62.350000000000016
Anhui,安徽,2007,5,0.9699999999999998,,,66.22999999999999,,,67.19999999999999
Anhui,安徽,2007,6,2.0700000000000003,,,65.76999999999998,,,67.83999999999997
Anhui,安徽,2007,7,1.3499999999999996,,,82.10000000000002,,,83.45000000000002
Anhui,安徽,2007,8,2.7699999999999996,,,86.60999999999996,,,89.37999999999995
Anhui,安徽,2007,9,0.9900000000000002,,,68.53000000000009,,,69.52000000000008
Anhui,安徽,2007,10,1.2200000000000006,,,66.30999999999995,,,67.52999999999994
Anhui,安徽,2007,11,1.58,,,74.86000000000001,,,76.44000000000001
Anhui,安徽,2007,12,0.8399999999999999,,,84.98000000000002,,,85.82000000000002
Anhui,安徽,2008,1,0.11,,,87.91,,,88.02
Anhui,安徽,2008,2,0.39,,,72.85,,,73.24
Anhui,安徽,2008,3,1.48,,,95.57999999999998,,,97.05999999999999
Anhui,安徽,2008,4,0.8300000000000001,,,81.33000000000004,,,82.16000000000004
Anhui,安徽,2008,5,0.81,,,87.09999999999997,,,87.90999999999997
Anhui,安徽,2008,6,1.5599999999999996,,,84.85000000000002,,,86.41000000000003
Anhui,安徽,2008,7,2.0,,,101.14999999999998,,,103.14999999999998
Anhui,安徽,2008,8,1.870000000000001,,,98.67000000000007,,,100.54000000000008
Anhui,安徽,2008,9,1.9499999999999993,,,90.3599999999999,,,92.3099999999999
Anhui,安徽,2008,10,1.0099999999999998,,,84.8900000000001,,,85.9000000000001
Anhui,安徽,2008,11,0.7400000000000002,,,90.71999999999991,,,91.45999999999991
Anhui,安徽,2008,12,2.1500000000000004,,,94.12,,,96.27000000000001
Anhui,安徽,2009,1,1.044848,,,96.77024,,,97.815088
Anhui,安徽,2009,2,1.0520520000000002,,,93.98596,,,95.03801200000001
Anhui,安徽,2009,3,0.9944959999999998,,,101.13938999999996,,,102.13388599999996
Anhui,安徽,2009,4,1.435508,,,93.24178700000004,,,94.67729500000004
Anhui,安徽,2009,5,1.053248,,,91.99461000000002,,,93.04785800000002
Anhui,安徽,2009,6,2.0365260000000003,,,111.10288899999995,,,113.13941499999994
Anhui,安徽,2009,7,1.7467639999999989,,,134.11970399999996,,,135.86646799999994
Anhui,安徽,2009,8,2.4019530000000007,,,128.8591500000001,,,131.2611030000001
Anhui,安徽,2009,9,1.866906000000002,,,107.85616800000003,,,109.72307400000003
Anhui,安徽,2009,10,1.248453999999997,,,106.27284999999995,,,107.52130399999994
Anhui,安徽,2009,11,0.7314820000000015,,,109.16402700000003,,,109.89550900000003
Anhui,安徽,2009,12,0.7777729999999998,,,125.73794099999986,,,126.51571399999986
Anhui,安徽,2010,1,0.982136,,,124.731349,,,125.71348499999999
Anhui,安徽,2010,2,0.927523,,,89.156812,,,90.084335
Anhui,安徽,2010,3,2.1434140000000004,,,108.70562400000003,,,110.84903800000004
Anhui,安徽,2010,4,1.9655489999999993,,,111.86943599999995,,,113.83498499999995
Anhui,安徽,2010,5,1.8437000000000001,,,114.54660999999999,,,116.39030999999999
Anhui,安徽,2010,6,1.5964600000000013,,,118.176691,,,119.77315100000001
Anhui,安徽,2010,7,2.620834999999998,,,134.134091,,,136.754926
Anhui,安徽,2010,8,2.3345930000000017,,,149.39220000000012,,,151.72679300000013
Anhui,安徽,2010,9,1.4861149999999999,,,117.62055599999985,,,119.10667099999985
Anhui,安徽,2010,10,1.3684059999999985,,,102.78894400000013,,,104.15735000000012
Anhui,安徽,2010,11,0.8246130000000029,,,115.89511599999992,,,116.71972899999992
Anhui,安徽,2010,12,0.7586079999999988,,,133.16268600000012,,,133.92129400000013
Anhui,安徽,2011,1,0.81605,,,143.78414899999999,,,144.60019899999998
Anhui,安徽,2011,2,0.8486919999999997,,,113.03587999999999,,,113.88457199999999
Anhui,安徽,2011,3,0.9507730000000005,,,135.64751800000005,,,136.59829100000005
Anhui,安徽,2011,4,1.3225119999999992,,,128.12571699999995,,,129.44822899999994
Anhui,安徽,2011,5,0.9490120000000002,,,122.45867300000009,,,123.40768500000009
