variable,nonmissing_observations,province_count,year_min,year_max
wind_resource_cf_0110,744,31,2000,2023
wind_technical_capacity_gw_lower,744,31,2000,2023
wind_technical_output_twh_lower,744,31,2000,2023
solar_resource_cf_0110,744,31,2000,2023
solar_technical_capacity_gw_lower,744,31,2000,2023
solar_technical_output_twh_lower,744,31,2000,2023
wind_resource_cf_z,744,31,2000,2023
solar_resource_cf_z,744,31,2000,2023
natural_wind_solar_endowment,744,31,2000,2023
clean_generation_billion_kwh,342,31,2011,2023
clean_generation_component_n,744,31,2000,2023
clean_generation_share_recalc,342,31,2011,2023
clean_generation_lq,342,31,2011,2023
clean_generation_kwh_per_cny_gdp,342,31,2011,2023
clean_capacity_10k_kw,307,31,2005,2023
clean_capacity_component_n,744,31,2000,2023
clean_capacity_share_recalc,307,31,2005,2023
clean_capacity_lq,307,31,2005,2023
clean_capacity_addition_10k_kw,261,31,2006,2023
clean_capacity_addition_component_n,744,31,2000,2023
clean_capacity_addition_per_gdp,261,31,2006,2023
clean_capacity_addition_data_break_flag,744,31,2000,2023
pre_clean_generation_lq_0811,24,1,2000,2023
pre_clean_generation_lq_0811_n,744,31,2000,2023
early_clean_generation_lq_1316,744,31,2000,2023
early_clean_generation_lq_1316_n,744,31,2000,2023
