province,wind_resource_cf_0110,wind_technical_capacity_gw_lower,wind_technical_output_twh_lower,solar_resource_cf_0110,solar_technical_capacity_gw_lower,solar_technical_output_twh_lower,wind_resource_cf_z,solar_resource_cf_z,natural_wind_solar_endowment,natural_endowment_source_period,natural_endowment_source
Anhui,0.105,3.31,3.04,0.1734,8.0,12.0,-0.8329987018715508,-0.6267307911631547,-0.7298647465173527,2001-2010,"He and Kammen (2014, 2016)"
Beijing,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,2001-2010,"He and Kammen (2014, 2016)"
Chongqing,0.169,1.46,2.16,0.1514,5.0,6.0,0.34924126164418784,-1.3396252391947718,-0.495191988775292,2001-2010,"He and Kammen (2014, 2016)"
Fujian,0.2562,2.84,6.37,0.1931,32.0,55.0,1.9600432119343807,0.011633782756066302,0.9858384973452234,2001-2010,"He and Kammen (2014, 2016)"
Gansu,0.1168,54.99,56.27,0.2143,287.0,540.0,-0.6150232085983364,0.6986047963138067,0.04179079385773515,2001-2010,"He and Kammen (2014, 2016)"
Guangdong,0.1742,6.88,10.5,0.192,163.0,274.0,0.44529825867984124,-0.024010939645514245,0.2106436595171635,2001-2010,"He and Kammen (2014, 2016)"
Guangxi,0.1629,13.85,19.76,0.1841,199.0,320.0,0.2365590151215936,-0.2800048550750493,-0.021722919976727845,2001-2010,"He and Kammen (2014, 2016)"
Guizhou,0.1342,8.87,10.42,0.1862,45.0,73.0,-0.29360171851749484,-0.2119558395811225,-0.2527787790493087,2001-2010,"He and Kammen (2014, 2016)"
Hainan,0.152,2.28,3.04,0.216,91.0,172.0,0.035208771335319564,0.7536920945707956,0.39445043295305754,2001-2010,"He and Kammen (2014, 2016)"
Hebei,0.2329,5.78,11.79,0.1877,63.0,104.0,1.5296339752169326,-0.16334939994260306,0.6831422876371648,2001-2010,"He and Kammen (2014, 2016)"
Heilongjiang,0.1797,37.54,59.1,0.1727,183.0,276.0,0.5468970055444751,-0.6494137963277973,-0.051258395391661105,2001-2010,"He and Kammen (2014, 2016)"
Henan,0.072,2.22,1.4,0.1732,11.0,16.0,-1.4425911830593534,-0.6332116497816241,-1.0379014164204887,2001-2010,"He and Kammen (2014, 2016)"
Hubei,0.1018,4.98,4.44,0.1682,10.0,15.0,-0.8921107000473376,-0.7952331152433555,-0.8436719076453465,2001-2010,"He and Kammen (2014, 2016)"
Hunan,0.1024,10.12,9.08,0.1642,1.0,2.0,-0.8810272003893774,-0.9248502876127397,-0.9029387440010586,2001-2010,"He and Kammen (2014, 2016)"
Jiangsu,0.1622,0.44,0.63,0.173,7.0,11.0,0.22362826552064063,-0.6396925084000935,-0.20803212143972644,2001-2010,"He and Kammen (2014, 2016)"
Jiangxi,0.0993,8.67,7.54,0.1754,56.0,86.0,-0.9382919486221711,-0.5619222049784621,-0.7501070768003166,2001-2010,"He and Kammen (2014, 2016)"
Jilin,0.1435,13.29,16.7,0.1784,252.0,393.0,-0.12180747381911457,-0.46470932570142326,-0.2932583997602689,2001-2010,"He and Kammen (2014, 2016)"
Liaoning,0.1362,5.58,6.66,0.1814,59.0,94.0,-0.2566567196576285,-0.36749644642438445,-0.3120765830410065,2001-2010,"He and Kammen (2014, 2016)"
Neimenggu,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,2001-2010,"He and Kammen (2014, 2016)"
Ningxia,0.0855,6.42,4.81,0.214,58.0,108.0,-1.193212440755252,0.688883508386103,-0.2521644661845745,2001-2010,"He and Kammen (2014, 2016)"
Qinghai,0.0852,28.47,21.24,0.2603,30.0,67.0,-1.1987541905842323,2.1892022785617336,0.49522404398875064,2001-2010,"He and Kammen (2014, 2016)"
Shaanxi,0.1177,13.55,13.97,0.1908,91.0,153.0,-0.5983979591113964,-0.06289609135632997,-0.3306470252338632,2001-2010,"He and Kammen (2014, 2016)"
Shandong,0.1551,4.23,5.75,0.1784,113.0,176.5,0.09247351956811298,-0.46470932570142326,-0.18611790306665515,2001-2010,"He and Kammen (2014, 2016)"
Shanghai,0.215,0.01,0.02,0.1682,0.6,0.9,1.1989762354211244,-0.7952331152433555,0.20187156008888446,2001-2010,"He and Kammen (2014, 2016)"
Shanxi,0.2149,7.21,13.57,0.197,51.0,88.0,1.1971289854781313,0.13801052581621714,0.6675697556471742,2001-2010,"He and Kammen (2014, 2016)"
Sichuan,0.0985,2.06,1.78,0.1924,3.0,6.0,-0.9530699481661178,-0.011049222408576274,-0.48205958528734705,2001-2010,"He and Kammen (2014, 2016)"
Tianjin,0.0964,0.09,0.08,0.1797,3.0,5.0,-0.991862196968978,-0.4225837446813733,-0.7072229708251756,2001-2010,"He and Kammen (2014, 2016)"
Xinjiang,0.1486,285.14,371.3,0.1928,1363.0,2302.0,-0.027597726726453782,0.0019124948283625975,-0.012842615949045592,2001-2010,"He and Kammen (2014, 2016)"
Xizang,0.2912,0.1,0.26,0.3087,1.0,3.0,2.606580691982051,3.757570064231292,3.1820753781066715,2001-2010,"He and Kammen (2014, 2016)"
Yunnan,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,2001-2010,"He and Kammen (2014, 2016)"
Zhejiang,0.1607,2.22,3.12,0.1764,13.0,21.0,0.19591951637574048,-0.5295179118861159,-0.1667991977551877,2001-2010,"He and Kammen (2014, 2016)"
