province,year,coal_unit_count,coal_unit_average_capacity_mw,coal_unit_utilization_hours,coal_unit_operating_hours,coal_unit_standby_hours,coal_unit_operating_factor,coal_unit_standby_factor,source_report,source_url
Anhui,2018,77,543.25,4856.73,6773.52,1401.76,0.7732328767123288,0.16001826484018264,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Anhui,2019,86,552.44,4850.94,6788.31,1247.55,0.7749212328767123,0.14241438356164382,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Anhui,2020,86,563.6,4507.66,6373.5,1800.02,0.7255806010928961,0.20492030965391622,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Anhui,2021,86,563.95,,7075.47,952.21,0.8077020547945206,0.10869977168949772,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Anhui,2022,86,563.95,,7182.46,758.81,0.8199155251141552,0.08662214611872146,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Anhui,2023,88,574.32,,7222.03,853.97,0.8244326484018265,0.0974851598173516,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Beijing,2018,4,192.5,2257.5,2995.79,5473.65,0.3419851598173516,0.6248458904109588,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Beijing,2019,4,192.5,1993.7,2543.1,4839.27,0.2903082191780822,0.5524280821917809,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Beijing,2020,4,192.5,1282.15,1626.93,5799.23,0.18521516393442625,0.6602037795992713,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Beijing,2021,4,192.5,,2321.43,5805.1,0.26500342465753424,0.6626826484018266,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Beijing,2022,4,192.5,,1572.66,6654.55,0.17952739726027397,0.7596518264840183,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Beijing,2023,4,192.5,,1051.29,6522.75,0.12001027397260274,0.7446061643835616,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Chongqing,2018,22,455.91,3185.08,4912.7,3169.95,0.560810502283105,0.3618664383561644,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Chongqing,2019,20,488.0,3060.18,4739.56,3566.51,0.5410456621004567,0.4071358447488585,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Chongqing,2020,20,488.0,2938.35,4517.91,3664.58,0.5143340163934426,0.4171880692167577,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Chongqing,2021,18,508.89,,6398.37,1849.17,0.7304075342465753,0.21109246575342466,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Chongqing,2022,20,488.0,,6539.82,1488.74,0.746554794520548,0.1699474885844749,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Chongqing,2023,21,496.19,,6609.76,1456.82,0.7545388127853881,0.16630365296803654,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Fujian,2018,36,516.78,4969.41,6645.14,1329.77,0.7585776255707763,0.15180022831050227,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Fujian,2019,43,530.33,4633.25,6417.97,1767.58,0.7326449771689498,0.20177853881278537,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Fujian,2020,49,545.02,4942.49,6654.59,1528.09,0.7575808287795993,0.17396288706739527,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Fujian,2021,49,545.02,,7301.06,698.44,0.8334543378995434,0.07973059360730594,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Fujian,2022,50,554.28,,6568.03,1322.75,0.7497751141552511,0.1509988584474886,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Fujian,2023,51,563.18,,7011.79,1008.65,0.8004326484018265,0.11514269406392694,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Gansu,2018,34,337.79,3569.22,5222.2,2952.1,0.5961415525114155,0.33699771689497715,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Gansu,2019,32,342.66,3880.65,5904.27,2246.72,0.6740034246575343,0.2564748858447488,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Gansu,2020,38,350.66,4433.19,6538.39,1737.08,0.7443522313296904,0.19775500910746813,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Gansu,2021,36,350.69,,6932.75,1021.98,0.7914098173515982,0.11666438356164384,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Gansu,2022,34,351.91,,7524.28,704.93,0.8589360730593607,0.08047146118721461,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Gansu,2023,32,371.41,,7145.4,920.86,0.8156849315068493,0.10512100456621004,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
