region_cn,year,wind_utilization_rate,wind_curtailment_rate,solar_utilization_rate,solar_curtailment_rate,wind_source_report_year,solar_source_report_year
上海,2020,1.0,0.0,1.0,0.0,2021,2021
云南,2020,0.9940000000000001,0.005999999999999894,0.995,0.0050000000000000044,2021,2021
北京,2020,0.997,0.0030000000000000027,1.0,0.0,2021,2021
吉林,2020,0.976,0.02400000000000002,0.988,0.01200000000000001,2021,2021
四川,2020,1.0,0.0,1.0,0.0,2021,2021
天津,2020,0.998,0.0020000000000000018,1.0,0.0,2021,2021
宁夏,2020,0.978,0.02200000000000002,0.975,0.025000000000000022,2021,2021
安徽,2020,1.0,0.0,1.0,0.0,2021,2021
山东,2020,0.968,0.03200000000000003,0.99,0.010000000000000009,2021,2021
山西,2020,0.97,0.030000000000000027,0.97,0.030000000000000027,2021,2021
广东,2020,1.0,0.0,1.0,0.0,2021,2021
广西,2020,1.0,0.0,1.0,0.0,2021,2021
新疆,2020,0.897,0.10299999999999998,0.9540000000000001,0.04599999999999993,2021,2021
江苏,2020,1.0,0.0,1.0,0.0,2021,2021
江西,2020,1.0,0.0,1.0,0.0,2021,2021
河北,2020,0.953,0.04700000000000004,0.987,0.013000000000000012,2021,2021
河南,2020,0.998,0.0020000000000000018,1.0,0.0,2021,2021
浙江,2020,1.0,0.0,1.0,0.0,2021,2021
海南,2020,1.0,0.0,1.0,0.0,2021,2021
湖北,2020,1.0,0.0,1.0,0.0,2021,2021
湖南,2020,0.945,0.05500000000000005,0.9990000000000001,0.0009999999999998899,2021,2021
甘肃,2020,0.9359999999999999,0.06400000000000006,0.978,0.02200000000000002,2021,2021
福建,2020,1.0,0.0,1.0,0.0,2021,2021
蒙东,2020,0.977,0.02300000000000002,0.996,0.0040000000000000036,2021,2021
蒙西,2020,0.93,0.06999999999999995,0.9640000000000001,0.03599999999999992,2021,2021
西藏,2020,1.0,0.0,0.746,0.254,2021,2021
贵州,2020,0.997,0.0030000000000000027,0.9940000000000001,0.005999999999999894,2021,2021
辽宁,2020,0.99,0.010000000000000009,1.0,0.0,2021,2021
重庆,2020,1.0,0.0,1.0,0.0,2021,2021
陕西,2020,0.9670000000000001,0.03299999999999992,0.971,0.029000000000000026,2021,2021
青海,2020,0.953,0.04700000000000004,0.92,0.07999999999999996,2021,2021
黑龙江,2020,0.995,0.0050000000000000044,1.0,0.0,2021,2021
上海,2021,1.0,0.0,1.0,0.0,2021,2021
云南,2021,0.9990000000000001,0.0009999999999998899,0.998,0.0020000000000000018,2021,2021
北京,2021,1.0,0.0,1.0,0.0,2021,2021
吉林,2021,0.971,0.029000000000000026,0.9890000000000001,0.010999999999999899,2021,2021
四川,2021,1.0,0.0,1.0,0.0,2021,2021
天津,2021,1.0,0.0,0.9990000000000001,0.0009999999999998899,2021,2021
宁夏,2021,0.976,0.02400000000000002,0.975,0.025000000000000022,2021,2021
安徽,2021,1.0,0.0,1.0,0.0,2021,2021
山东,2021,0.985,0.015000000000000013,0.991,0.009000000000000008,2021,2021
山西,2021,0.975,0.025000000000000022,0.991,0.009000000000000008,2021,2021
广东,2021,1.0,0.0,1.0,0.0,2021,2021
广西,2021,1.0,0.0,1.0,0.0,2021,2021
新疆,2021,0.927,0.07299999999999995,0.983,0.017000000000000015,2021,2021
江苏,2021,1.0,0.0,1.0,0.0,2021,2021
江西,2021,0.9990000000000001,0.0009999999999998899,1.0,0.0,2021,2021
河北,2021,0.9540000000000001,0.04599999999999993,0.982,0.018000000000000016,2021,2021
