year,national_mean_dln_thermal_capacity,national_mean_dln_total_generation,thermal_capacity_growth_coverage,national_thermal_capacity_wave_z,national_generation_demand_wave_z
2000,,,0,,
2001,0.06028087511627794,0.10333775942244862,31,-0.17101580089295476,0.42542944459551196
2002,0.03622957213462816,0.07192239437819348,31,-0.6943342770192986,-0.36377698131293934
2003,,0.174536334595533,0,,2.2140565371971155
2004,,0.13859497572773094,0,,1.3111495891354643
2005,,0.1204312655274813,1,,0.8548468599396662
2006,,0.1288484193955256,1,,1.0662998196987796
2007,0.07460781837107273,0.1340029619229762,31,0.1407159218069819,1.1957905348170592
2008,0.23086049090782326,0.08538316258007597,31,3.540528004544794,-0.02562000788211561
2009,0.10001935023920526,0.053951541707971624,31,0.6936308363716208,-0.8152348073294063
2010,0.11994848128667408,0.13785180451035353,31,1.1272573429372206,1.2924798872402858
2011,0.08951107708331604,0.11887028262747688,31,0.46498736126114687,0.8156323630308685
2012,0.0756167924904256,0.06311076158020731,31,0.162669609679673,-0.5851399104757836
2013,0.05332030642613454,0.09052161106014825,31,-0.3224668138662537,0.10346639789288713
2014,0.07238772123836522,0.05502636777100867,31,0.09241010447860744,-0.7882333819285628
2015,0.07881055819591727,0.01369788281902884,31,0.23216092178769712,-1.826473932411288
2016,0.05903759135568659,0.05014379919751098,31,-0.1980676975607446,-0.9108916571933824
2017,0.033173774099243235,0.0667308662369896,31,-0.7608236299016604,-0.49419683680565485
2018,0.03201785921534048,0.096922743210444,31,-0.785974517403983,0.26427352583763797
2019,0.0323398613545378,0.051984497690370696,31,-0.7789682579542254,-0.8646502375352481
2020,0.04438090693127943,0.037262753188721555,31,-0.5169740688245997,-1.2344850411390522
2021,0.037499334228858976,0.0910393120777722,31,-0.6667062535104331,0.1164719118900222
2022,0.030562387673295114,0.03176275653557354,31,-0.8176432860361678,-1.3726541407189772
2023,0.034067135169903805,0.07133473617818979,31,-0.7413854998974198,-0.3785399365428838
