variable,observations,provinces,first_year,last_year
dln_total_generation_billion_kwh,713,31,2001,2023
dln_thermal_generation_billion_kwh,711,31,2001,2023
dln_thermal_capacity_10k_kw,591,31,2001,2023
dln_total_capacity_10k_kw,713,31,2001,2023
dln_gdp,713,31,2001,2023
dln_sec_val,713,31,2001,2023
thermal_capacity_addition_10k_kw,591,31,2001,2023
total_capacity_addition_10k_kw,713,31,2001,2023
thermal_utilization_hours,683,31,2000,2023
thermal_utilization_hours_w,683,31,2000,2023
dln_thermal_utilization,591,31,2001,2023
thermal_capacity_addition_per_gdp,591,31,2001,2023
thermal_generation_per_gdp,743,31,2000,2023
pre_thermal_generation_share_0811,744,31,2000,2023
pre_thermal_capacity_share_0811,744,31,2000,2023
pre_thermal_generation_per_gdp_0811,744,31,2000,2023
pre_thermal_generation_share_0811_z,744,31,2000,2023
pre_thermal_capacity_share_0811_z,744,31,2000,2023
pre_thermal_generation_per_gdp_0811_z,744,31,2000,2023
national_mean_dln_thermal_capacity,589,31,2001,2023
national_mean_dln_total_generation,713,31,2001,2023
thermal_capacity_growth_coverage,744,31,2000,2023
national_thermal_capacity_wave_z,589,31,2001,2023
national_generation_demand_wave_z,713,31,2001,2023
post2016,744,31,2000,2023
post2012_prethermal_z,744,31,2000,2023
post2016_prethermal_z,744,31,2000,2023
post2016_natural_endowment,744,31,2000,2023
prethermal_x_natural_endowment,744,31,2000,2023
ddd_prethermal_natural_2016,744,31,2000,2023
thermal_tide_loading,589,31,2001,2023
demand_tide_loading,713,31,2001,2023
post2016_fiscal_lockin,744,31,2000,2023
fiscal_lockin_x_endowment,744,31,2000,2023
ddd_fiscal_endowment_2016,744,31,2000,2023
post2016_soe_lockin,720,30,2000,2023
soe_lockin_x_endowment,720,30,2000,2023
ddd_soe_endowment_2016,720,30,2000,2023
dln_totgen,713,31,2001,2023
dln_thermgen,711,31,2001,2023
dln_thermcap,591,31,2001,2023
dln_totcap,713,31,2001,2023
therm_cap_add,591,31,2001,2023
therm_util_h,683,31,2000,2023
therm_util_h_w,683,31,2000,2023
dln_therm_util,591,31,2001,2023
therm_cap_add_gdp,591,31,2001,2023
therm_gen_gdp,743,31,2000,2023
pretherm_gen,744,31,2000,2023
pretherm_gen_z,744,31,2000,2023
pretherm_cap,744,31,2000,2023
pretherm_cap_z,744,31,2000,2023
post12_pretherm_z,744,31,2000,2023
post16_pretherm_z,744,31,2000,2023
post16_endow,744,31,2000,2023
ddd_pretherm_endow,744,31,2000,2023
tide_loading,589,31,2001,2023
demand_loading,713,31,2001,2023
post16_fiscal,744,31,2000,2023
ddd_fiscal_endow,744,31,2000,2023
post16_soe,720,30,2000,2023
ddd_soe_endow,720,30,2000,2023
