province,year,policy_count,docs_with_content,content_coverage,content_chars,green_finance,green_finance_doc_count,green_finance_per_10k_chars,green_finance_doc_share,green_finance_per_policy,coal_clean,coal_clean_doc_count,coal_clean_per_10k_chars,coal_clean_doc_share,coal_clean_per_policy,pollution_control,pollution_control_doc_count,pollution_control_per_10k_chars,pollution_control_doc_share,pollution_control_per_policy,renewable,renewable_doc_count,renewable_per_10k_chars,renewable_doc_share,renewable_per_policy
内蒙古,2000,78,78,1.00000000,227383,1,1,0.04397866,0.01282051,0.01282051,13,6,0.57172260,0.07692308,0.16666667,7,3,0.30785063,0.03846154,0.08974359,3,3,0.13193598,0.03846154,0.03846154
内蒙古,2001,84,84,1.00000000,305363,1,1,0.03274791,0.01190476,0.01190476,100,5,3.27479099,0.05952381,1.19047619,2,2,0.06549582,0.02380952,0.02380952,2,2,0.06549582,0.02380952,0.02380952
内蒙古,2002,84,84,1.00000000,246402,8,2,0.32467269,0.02380952,0.09523810,16,4,0.64934538,0.04761905,0.19047619,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000
内蒙古,2003,2,2,1.00000000,1346,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000
内蒙古,2004,15,13,0.86666667,24949,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000
内蒙古,2005,178,178,1.00000000,406360,10,3,0.24608721,0.01685393,0.05617978,556,29,13.68244906,0.16292135,3.12359551,1,1,0.02460872,0.00561798,0.00561798,4,3,0.09843489,0.01685393,0.02247191
内蒙古,2006,139,139,1.00000000,424584,4,4,0.09420986,0.02877698,0.02877698,104,14,2.44945641,0.10071942,0.74820144,1,1,0.02355247,0.00719424,0.00719424,69,6,1.62512012,0.04316547,0.49640288
内蒙古,2007,98,98,1.00000000,274916,1,1,0.03637475,0.01020408,0.01020408,174,14,6.32920601,0.14285714,1.77551020,76,13,2.76448079,0.13265306,0.77551020,45,6,1.63686362,0.06122449,0.45918367
内蒙古,2008,93,93,1.00000000,289262,9,7,0.31113662,0.07526882,0.09677419,197,24,6.81043483,0.25806452,2.11827957,88,8,3.04222470,0.08602151,0.94623656,70,15,2.41995146,0.16129032,0.75268817
内蒙古,2009,89,89,1.00000000,254576,9,5,0.35352901,0.05617978,0.10112360,122,12,4.79228207,0.13483146,1.37078652,24,6,0.94274401,0.06741573,0.26966292,69,4,2.71038904,0.04494382,0.77528090
