province,year,policy_count,docs_with_content,content_chars,green_finance,coal_clean,pollution_control,renewable
山西,2002,4,0,0,0,0,0,0
山西,2003,60,0,0,0,4,0,0
山西,2004,93,0,0,1,6,0,0
山西,2005,96,0,0,0,20,0,0
山西,2006,112,0,0,0,8,1,0
山西,2007,138,0,0,0,13,0,0
山西,2008,116,0,0,1,14,4,0
山西,2009,168,0,0,1,15,2,0
山西,2010,101,0,0,0,6,0,0
山西,2011,99,0,0,0,11,0,0
山西,2012,117,0,0,0,5,2,0
山西,2013,152,0,0,0,3,1,0
山西,2014,144,0,0,0,4,1,2
山西,2015,185,0,0,0,5,2,0
山西,2016,260,0,0,0,14,1,2
山西,2017,288,0,0,1,5,4,0
山西,2018,204,0,0,1,5,0,0
山西,2019,177,0,0,0,3,1,0
山西,2020,324,0,0,0,7,2,1
山西,2021,333,0,0,0,6,1,0
山西,2022,369,0,0,0,14,2,3
山西,2023,334,0,0,0,9,1,1
