province,year,policy_count,docs_with_content,content_chars,green_finance,coal_clean,pollution_control,renewable
内蒙古,2000,78,78,227383,1,13,7,3
内蒙古,2001,84,84,305363,1,100,2,2
内蒙古,2002,84,84,246402,8,16,0,0
内蒙古,2003,2,2,1346,0,0,0,0
内蒙古,2004,15,13,24949,0,0,0,0
内蒙古,2005,178,178,406360,10,556,1,4
内蒙古,2006,139,139,424584,4,104,1,69
内蒙古,2007,98,98,274916,1,174,76,45
内蒙古,2008,93,93,289262,9,197,88,70
内蒙古,2009,89,89,254576,9,122,24,69
内蒙古,2010,64,64,293955,11,118,15,67
内蒙古,2011,70,70,277657,5,74,120,45
内蒙古,2012,52,52,222968,10,35,11,25
内蒙古,2013,96,96,440393,25,173,70,44
内蒙古,2014,201,201,818537,59,766,206,174
内蒙古,2015,262,262,1263702,59,163,108,200
内蒙古,2016,301,301,1380972,117,167,205,399
内蒙古,2017,258,258,1315814,264,220,241,157
内蒙古,2018,155,155,622038,37,130,102,172
内蒙古,2019,104,104,386175,8,28,53,28
内蒙古,2020,126,126,513491,11,317,50,20
内蒙古,2021,160,160,561608,28,27,61,490
内蒙古,2022,158,158,808855,57,201,137,762
内蒙古,2023,107,107,450983,8,414,186,914
