province,year,policy_count,docs_with_content,content_chars,green_finance,coal_clean,pollution_control,renewable
山西,2002,4,4,17209,0,0,0,0
山西,2003,60,60,214885,0,333,6,3
山西,2004,93,93,334992,13,462,17,4
山西,2005,96,96,315731,7,1177,38,6
山西,2006,112,112,807037,13,1205,295,71
山西,2007,138,138,841480,7,2354,141,73
山西,2008,116,116,524975,23,1165,256,80
山西,2009,168,168,739546,37,1622,159,85
山西,2010,101,101,456858,11,556,183,41
山西,2011,99,99,444232,7,534,46,89
山西,2012,117,117,634848,32,549,232,74
山西,2013,152,152,793461,7,896,186,256
山西,2014,144,144,611967,19,698,166,364
山西,2015,185,184,851503,24,775,234,111
山西,2016,260,260,1250343,33,1574,176,479
山西,2017,288,288,1315857,45,634,334,402
山西,2018,204,204,904944,38,474,228,128
山西,2019,177,176,597100,16,325,101,78
山西,2020,324,324,1122937,41,661,107,79
山西,2021,333,333,1855109,62,689,297,511
山西,2022,369,368,1560189,77,935,469,550
山西,2023,334,334,1407895,61,1055,321,488
