year,provinces,reports,mean_chars
2003,31,31,16909.967741935485
2004,31,31,15677.258064516129
2005,31,31,16488.870967741936
2006,31,31,16897.064516129034
2007,31,31,16185.064516129032
2008,31,31,19123.032258064515
2009,31,31,17989.225806451614
2010,31,31,18199.16129032258
2011,31,31,19303.0
2012,31,31,17292.58064516129
2013,31,31,16874.387096774193
2014,31,31,15500.645161290322
2015,31,31,16359.677419354839
2016,31,31,18647.064516129034
2017,31,31,16065.258064516129
2018,31,31,19198.90322580645
2019,31,31,17681.032258064515
2020,31,31,17303.290322580644
2021,31,31,18566.0
2022,31,31,17479.774193548386
2023,31,31,20630.41935483871
