province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Anhui,2000,1.0,0.0,许仲林,,1.0,0.0,1,,0.0
Anhui,2001,0.0,0.0,,,0.0,0.0,1,,1.0
Anhui,2002,1.0,0.0,王金山,,1.0,0.0,1,,0.0
Anhui,2003,0.0,0.0,,,0.0,0.0,1,,1.0
Anhui,2004,0.0,1.0,,郭金龙,1.0,0.0,1,0.0,2.0
Anhui,2005,0.0,0.0,,,0.0,0.0,1,1.0,3.0
Anhui,2006,0.0,0.0,,,0.0,0.0,1,2.0,4.0
Anhui,2007,1.0,1.0,王三运,王金山,1.0,1.0,1,0.0,0.0
Anhui,2008,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Anhui,2009,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Anhui,2010,0.0,1.0,,张宝顺,1.0,0.0,1,0.0,3.0
Anhui,2011,1.0,0.0,李斌,,1.0,0.0,1,1.0,0.0
Anhui,2012,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Anhui,2013,1.0,0.0,王学军,,1.0,0.0,1,3.0,0.0
Anhui,2014,0.0,0.0,,,0.0,0.0,1,4.0,1.0
Anhui,2015,1.0,1.0,李锦斌,王学军,1.0,1.0,1,0.0,0.0
Anhui,2016,1.0,1.0,李国英,李锦斌,1.0,1.0,1,0.0,0.0
Anhui,2017,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Anhui,2018,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Anhui,2019,,,,,,,0,,
Anhui,2020,,,,,,,0,,
Anhui,2021,,,,,,,0,,
Anhui,2022,,,,,,,0,,
Anhui,2023,,,,,,,0,,
Beijing,2000,0.0,0.0,,,0.0,0.0,1,,
Beijing,2001,0.0,0.0,,,0.0,0.0,1,,
Beijing,2002,0.0,1.0,,刘淇,1.0,0.0,1,0.0,
Beijing,2003,1.0,0.0,孟学农 / 王歧山,,1.0,0.0,1,1.0,0.0
Beijing,2004,0.0,0.0,,,0.0,0.0,1,2.0,1.0
