province,role,Name,start_year,source_terms
Anhui,government,曾希圣,1952,1952.08-1955.03
Anhui,government,黄岩,1955,1955.02-文革初
Anhui,government,李德生,1968,1968.04-1974.12
Anhui,government,宋佩璋,1974,1974.12-1978.01
Anhui,government,万里,1978,1978.01-1979.12
Anhui,government,张劲夫,1979,1979.12-1981.03
Anhui,government,周子健,1981,1981.03-1983.04
Anhui,government,王郁昭,1983,1983.04-1987.06
Anhui,government,卢荣景,1987,1987.06-1988.02 | 1988.02-1989.04
Anhui,government,傅锡寿,1989,1989.04-1994.12
Anhui,government,回良玉,1994,1994.12-1995.02 | 1995.02-1998.10
Anhui,government,王太华,1998,1998.10-1999.02 | 1999.02-2000.01
Anhui,government,许仲林,2000,2000.01-2002.10
Anhui,government,王金山,2002,2002.10-2003.01 | 2003.01-2007.12
Anhui,government,王三运,2007,2007.12-2008.01 | 2008.01-2011.12
Anhui,government,李斌,2011,2011.12-2012.02 | 2012.02-2013.03
Anhui,government,王学军,2013,2013.03-2013.06 | 2013.06-2015.06
Anhui,government,李锦斌,2015,2015.06-2015.07 | 2015.07-2016.08
Anhui,government,李国英,2016,2016.09-2017.01 | 2017.01-至今
Anhui,party,曾希圣,1952,1952.01-1962.02
Anhui,party,李葆华,1962,1962.02-文革初
Anhui,party,李德生,1971,1971.01-1974.12
Anhui,party,宋佩璋,1975,1975.05-1977.06
Anhui,party,万里,1977,1977.06-1980.03
Anhui,party,张劲夫,1980,1980.03-1982.04
Anhui,party,周子健,1982,1982.04-1983.03
Anhui,party,黄璜,1983,1983.03-1986.04
Anhui,party,李贵鲜,1986,1986.04-1988.04
Anhui,party,卢荣景,1988,1988.04-1998.08
Anhui,party,回良玉,1998,1998.09-1999.12
Anhui,party,王太华,1999,1999.12-2004.12
Anhui,party,郭金龙,2004,2004.12-2007.12
Anhui,party,王金山,2007,2007.12-2010.05
Anhui,party,张宝顺,2010,2010.05-2015.06
Anhui,party,王学军,2015,2015.06-2016.08
Anhui,party,李锦斌,2016,2016.08-至今
Beijing,government,聂荣臻,1949,1949.08-1951.02
Beijing,government,彭真,1951,1951.02-1966.05
Beijing,government,吴德,1966,1966.06-1967.04 | 1972.05-1978.10
Beijing,government,谢富治,1967,1967.04-1972.03
Beijing,government,林乎加,1978,1978.10-1981.01
Beijing,government,焦若愚,1981,1981.01-1983.03
