Prd,Mktty,Pst,Pstcd,Name,Term,Offcd,Gender,Bthp,Bthd
届数,市场类型,职位,职位代码,委员会成员姓名,任期期间,委员会成员代码,性别,籍贯,出生日期
9,主板,发审委委员（专职）,1,白维,2007.05-2008.04,0000040901,男,,1964.11
9,主板,发审委委员（专职）,1,白彦春,2007.05-2008.05,0000040902,男,,1967
9、10、11,主板,发审委委员（兼职）,2,白英姿,2007.05-2010.04,0000040903,女,,
10、11,主板,发审委委员（专职）,1,柏凌菁,2008.03-2010.04,0000041001,女,,
6、7、8,主板,发审委委员（专职）,1,鲍恩斯,,0000040601,男,,1968
7、8,主板,发审委委员（专职）,1,鲍卉芳,,0000040701,女,,1963.03
10、11,主板,发审委委员（专职）,1,蔡碧鹤,2008.03-2010.04,0000041002,女,,1962.02
12、13,主板,发审委委员（专职）,1,操舰,2010.05-2012.05,0000041201,男,,
16,主板,发审委委员（专职）,1,操舰,2014.04-,0000041201,男,,
16,主板,发审委委员（专职）,1,曹冠业,2014.04-,0000041416,男,,1976
16,主板,发审委委员（兼职）,2,曹茂喜,2014.04-,0000041417,,,
16,主板,发审委委员（专职）,1,陈朝晖,2014.04-,0000041418,,,
6,主板,发审委委员（兼职）,2,陈大刚,,0000040602,男,,
9、10、11,主板,发审委委员（兼职）,2,陈飞,2007.05-2010.04,0000040904,男,,
9,主板,发审委委员（兼职）,2,陈洪,2007.05-2008.04,0000040905,男,,
12,主板,发审委委员（兼职）,2,陈骞,2010.05-2011.05,0000041202,男,,
3,创业板,发审委委员（专职）,1,陈静茹,2011.08-2012.08,0000050301,女,,1964
10、11,主板,发审委委员（专职）,1,陈利民,2008.03-2010.04,0000041003,男,,
16,主板,发审委委员（兼职）,2,陈佩芬,2014.04-,0000041419,,,
6,创业板,发审委委员（兼职）,2,陈十一,2014.07-,0000050601,男,浙江天台,1956.10
14、15、16,主板,发审委委员（专职）,1,陈翔,2012.05-,0000041401,男,,
1、2、3,创业板,发审委委员（专职）,1,陈星辉,2009.08-2012.07,0000050101,男,,1968.12
7、8,主板,发审委委员（专职）,1,陈瑛明,,0000040702,男,,1964
