Name,Offcd,Degree,School,Major,Edu_S,Edu_E
委员会成员姓名,委员会成员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
鲍恩斯,0000040601,博士,中央财经大学,会计学,,
陈大刚,0000040602,博士,北京大学,法律,1978,
陈永民,0000040603,硕士,,经济,,
戴勇毅,0000040605,硕士,,国际金融,,
窦玉明,0000040606,硕士,,管理信息,,
贾小梁,0000040607,本科,,经济管理,,
刘勤,0000040608,硕士,,会计,,
罗玉成,0000040609,本科,湖南财经学院,会计,,
罗玉成,0000040609,硕士,清华大学五道口金融学院,EMBA,,
吕红兵,0000040610,本科,华东政法学院,法律,,
吕红兵,0000040610,硕士,华东政法学院,法律,,
吕红兵,0000040610,博士,中国科技大学,管理学,,
马季华,0000040611,硕士,,财政金融,,
邱家赐,0000040612,本科,,会计,,
权忠光,0000040613,博士,,资产评估,,
邵蓓兰,0000040614,硕士,,工商管理,,
史多丽,0000040615,硕士,,会计,,
唐金龙,0000040616,博士,,法学、金融,,
王俊峰,0000040617,本科,吉林大学,法学,,
王俊峰,0000040617,硕士,吉林大学,法学,,
王俊峰,0000040617,硕士,美国加州大学伯克莱分校,法学,,
王俊峰,0000040617,博士,美国加州大学伯克莱分校,法学,,
吴晓东,0000040618,博士,,法学,,
袁淑琴,0000040619,硕士,哈佛大学,法学,,
张桂庆,0000040620,本科,天津财经学院,金融学,1988,
张桂庆,0000040620,硕士,中国人民银行总行研究生院,货币银行学,1990,1993
张守文,0000040621,本科,北京大学,法学,,1989
张守文,0000040621,硕士,北京大学,法学,,1994
张守文,0000040621,博士,北京大学,经济法,,1999
张为国,0000040622,本科,上海财经大学,会计,,1982
张为国,0000040622,硕士,上海财经大学,会计,1982,1985
张为国,0000040622,博士,上海财经大学,会计,,1989
张为国,0000040622,进修,新南威尔士大学,,1986,1987
赵燕士,0000040623,本科,中国政法大学,法律,,1983
赵燕士,0000040623,硕士,中国政法大学,法律,,1986
郑启华,0000040624,本科,,会计,,
周忠惠,0000040625,博士,,会计,,
鲍卉芳,0000040701,硕士,中国人民大学,法律,,
陈瑛明,0000040702,本科,吉林大学,法律,,1984
陈瑛明,0000040702,硕士,复旦大学,法律,,1990
邓建新,0000040703,本科,,会计,,
邓召明,0000040704,博士,,金融,,
封和平,0000040705,硕士,,会计,,
冯小树,0000040706,硕士,,工商管理,,
韩炯,0000040707,本科,华东政法学院,法律,,1992
韩炯,0000040707,硕士,复旦大学,法律,,
黄宏彬,0000040708,硕士,,工商管理,,
江作良,0000040709,硕士,,财务管理,,
焦津洪,0000040710,本科,北京大学,法律,,1984
焦津洪,0000040710,硕士,中国人民大学,法律,,1986
焦津洪,0000040710,博士,对外经济贸易大学,法律,,1998
廖理,0000040711,本科,清华大学,,,
廖理,0000040711,硕士,清华大学,,,
廖理,0000040711,博士,清华大学,公司财务,,
廖理,0000040711,硕士,麻省理工学院,工商管理,,
沈国权,0000040712,本科,华东政法大学,经济法,,1986
沈国权,0000040712,硕士,华东政法大学,经济法,,1993
王立华,0000040713,硕士,北京大学,法学,,
王珠林,0000040714,博士,,经济学,,
谢卫,0000040715,博士,,经济学,,
白维,0000040901,本科,北京大学,法律,,1986
白维,0000040901,硕士,外交学院,法律,,1989
白维,0000040901,硕士,美国纽约大学,比较法,,1997
白彦春,0000040902,本科,中国政法大学,法学,,1988
白彦春,0000040902,硕士,美国斯坦福大学,法律,,2003
白英姿,0000040903,硕士,北京大学,经济法、管理,,1984
陈洪,0000040905,硕士,清华大学,管理学,,
高忻,0000040907,博士,,经济管理,,
韩厚军,0000040910,博士,,会计,,
金黎明,0000040912,硕士,,法律,,
李旭利,0000040913,本科,中国人民大学,投资经济系,1991,1995
李旭利,0000040913,硕士,中国人民大学,货币银行学,1995,1998
梁烽,0000040914,本科,,会计,,
陆军,0000040915,硕士,,会计,,
吕苏阳,0000040916,硕士,,会计,,
孙勇,0000040917,硕士,,会计,,
