Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
阿勒布斯拜·拉合木,0000000015,大专,,,,
阿木冬·尼牙孜,0000000016,中专,中共中央新疆分局党校,,1950.10,1951.09
艾文礼,0000000023,学习,华北煤炭医学院,党政,1985.09,1987.08
艾文礼,0000000023,本科,中央党校,经济管理,1993.08,1995.12
艾文礼,0000000023,研究生,省委党校,经济管理,1999.09,2001.12
艾学峰,0000000024,本科,东北工学院,计算机科学,1983.09,1987.07
艾学峰,0000000024,研究生,中国人民银行,货币银行学,1989.09,1992.02
安桂武,0000000027,本科,哈尔滨工业大学,工业管理,1986.09,1990.09
安桂武,0000000027,研究生,哈尔滨工业大学,系统工程,1990.09,1993.07
安桂武,0000000027,研究生,长江商学院,工商管理,2003.10,2005.08
安桂武,0000000027,培训,中央党校,,2008.09,2008.11
安启元,0000000034,本科,西北大学,地质,,
安世银,0000000036,大专,,,,
安世银,0000000036,培训,山东大学,经济系干修,1980.08,1982.08
巴风,0000000046,学习,中共中央高级党校,,,
巴特尔,0000000047,大专,内蒙古自治区海拉尔蒙古族师范学校,蒙文,1978.11,1980.08
巴特尔,0000000047,培训,内蒙古自治区委党校,,1982.02,1983.07
巴特尔,0000000047,培训,中央党校,,1988.02,1988.07
巴特尔,0000000047,研究生,复旦大学,政治经济学,1995.09,1998.07
巴特尔,0000000047,研究生,中央党校,政治学,2006.09,2009.07
巴图巴根,0000000048,高中,内蒙古乌兰浩特育成学院,,1942.00,1945.00
巴音朝鲁,0000000049,学习,内蒙古师范大学,政治理论,1980.11,1982.11
巴音朝鲁,0000000049,研究生,吉林大学,国民经济计划与管理,1994.03,1997.03
巴音朝鲁,0000000049,进修,中央党校,,1995.09,1995.11
白栋材,0000000051,学习,中共中央党校,,1936.00,1938.00
白恩培,0000000052,本科,西北工业大学,航海设备与自动控制,1965.08,1970.08
白恩培,0000000052,培训,中央党校,,1987.09,1988.07
白加扎西,0000000054,研究生,省委党校,,,
白介夫,0000000056,本科,绥德简易师范学校,,,1938.00
白介夫,0000000056,学习,北京大学,化工,,1952.00
白立忱,0000000060,本科,沈阳农学院,农业机械化,1960.00,1964.00
白录堂,0000000062,本科,西安矿业学院,采矿专业,,1968.09
白玛赤林,0000000063,本科,西藏民族学院,,1965.09,1969.12
白玛赤林,0000000063,培训,中央党校,,1989.09,1991.07
白玛赤林,0000000063,培训,中央党校,,2000.03,2001.01
白玛赤林,0000000063,研究生,中央党校,党的学说与党的建设,2000.03,2002.01
白润璋,0000000067,本科,天津工学院,化学工学,1963.00,1968.00
白尚成,0000000068,研究生,中央党校,,,
白希,0000000070,本科,中国政法大学,法律,1979.09,1983.07
白希,0000000070,博士,吉林大学,政治学理论,2002.09,2007.12
白向群,0000000073,本科,内蒙古民族师范学院,物理,1980.09,1984.07
白向群,0000000073,研究生,中国社会科学院,市场经济,1996.12,1998.11
白向群,0000000073,博士,中国人民大学,政治经济学,2003.09,2006.07
白雪山,0000000075,本科,中央党校,经济管理,,
白音,0000000076,本科,内蒙古师范学院,数学,,1962.00
白云,0000000077,培训,雁北师范专科学校,,1984.09,1986.07
白云,0000000077,研究生,中国人民大学,工商管理,1994.09,1997.07
白云,0000000077,进修,中央党校,,1996.09,1997.01
白云腾,0000000078,本科,陕西师范大学,中文,,
包钢,0000000087,本科,内蒙古大学,国民经济管理,1987.09,1991.07
包钢,0000000087,培训,内蒙古党校,,2001.09,2002.01
包钢,0000000087,进修,第十九期盟市厅局,,2005.11,2006.01
包钢,0000000087,研究生,内蒙古党校,公共管理,2003.09,2005.12
包钢,0000000087,研究生,清华大学,工商管理,2007.09,2009.07
包惠,0000000088,本科,西南交通大学,桥梁,1980.09,1984.07
包惠,0000000088,培训,铁道部党校,,1994.02,1994.04
包惠,0000000088,培训,成都市赴美高级管理人员培训班,,1999.09,1999.12
包惠,0000000088,研究生,西南交通大学,管理科学与工程,1997.09,2006.06
包惠,0000000088,博士,西南交通大学,管理科学与工程,1997.09,2006.06
包俊臣,0000000090,本科,内蒙古大学,汉语言文学,1965.09,1969.09
包俊臣,0000000090,培训,内蒙古自治区在香港、深圳举办的领导干部培训班,,1996.09,1996.10
包俊臣,0000000090,培训,中央组织部组织部长培训班,,1999.07,1999.08
包满达,0000000091,研究生,中央党校,,,
包振玉,0000000093,,内蒙古财经学院,财政,1982.09,1986.07
薄绍铨,0000000094,本科,,,,
薄熙来,0000000095,本科,北京大学,世界史,1978.02,1979.09
薄熙来,0000000095,研究生,中国社会科学院,国际新闻,1979.09,1982.08
保永康,0000000097,初中,,,,
鲍常青,0000000099,大专,日本国立富山医科药科大学,中文,,
鲍常勇,0000000100,本科,郑州大学,哲学,1985.09,1989.07
鲍常勇,0000000100,研究生,河南省委党校,经济管理,1998.08,2001.06
鲍常勇,0000000100,培训,国家行政学院,,2007.03,2007.06
鲍常勇,0000000100,博士,武汉大学,政治与公共管理学院科学社会主义与国际共产主义运动专业,2007.09,2010.06
鲍常勇,0000000100,博士后,中国社会科学院,理论经济学,2010.10,2012.12
鲍鸿光,0000000101,小学,滑县桑村小学,,1932.05,
鲍志强,0000000103,培训,辽宁省委党校,,1983.09,1984.07
鲍志强,0000000103,本科,辽宁大学,政治,1980.09,1984.09
鲍志强,0000000103,进修,辽宁省委党校,行政管理,1989.05,1991.12
鲍志强,0000000103,培训,中央党校,,1995.09,1996.07
鲍志强,0000000103,研究生,中央党校,科学社会主义,1995.09,1998.07
毕力夫,0000000106,本科,内蒙古医学院,医学,1980.09,1985.08
毕力夫,0000000106,进修,内蒙古政法干校,法律,1987.09,1988.09
毕力夫,0000000106,博士,日本国立富山医科药科大学,预防医学,1990.03,1995.03
毕力夫,0000000106,博士后,英国威尔士医学院卫生研究所,,1997.11,1999.03
毕力夫,0000000106,培训,中央党校,,2006.03,2007.01
边巴扎西,0000000108,预科,西藏民族学院,,1976.10,1984.09
边巴扎西,0000000108,本科,中国人民大学,法学,1984.09,1988.07
边巴扎西,0000000108,培训,中央党校,,2005.03,2005.07
卞翠屏,0000000114,本科,焦作矿业学院,采煤,,1968.00
别必雄,0000000117,大专,湖北农学院,农学,1979.07,1982.08
别必雄,0000000117,函授,湖北农学院,农经,1993.09,1996.07
别必雄,0000000117,研究生,武汉大学,岩土工程,1998.09,2001.06
别必雄,0000000117,研究生,华中师范大学,政治经济学,2003.09,2006.06
布和朝鲁,0000000120,大专,内蒙古自治区锡林郭勒盟师范学校,,1977.09,1979.07
布和朝鲁,0000000120,本科,内蒙古师范大学,教育管理,,
布赫,0000000121,学习,延安陕北公学,,1939.00,
布赫,0000000121,学习,延安民族学院,,,
布赫,0000000121,本科,延安大学,,,1946.00
布小林,0000000122,本科,北京大学,经济法,1980.09,1984.07
布小林,0000000122,博士,吉林大学,法学,1998.09,2001.06
布小林,0000000122,进修,中央党校,,2000.09,2001.01
布小林,0000000122,博士后,中国社会科学院,社会学,2003.09,2006.01
布小林,0000000122,培训,国务院发展研究中心、哈佛大学肯尼迪政府学院、清华大学公共管理学院合作举办的第四期公共管理高级培训班,,2005.06,2005.09
才让太,0000000125,,青海省委党校,民族干部班文秘,1993.09,1995.06
才旺班典,0000000126,培训,中央党校,,1991.09,1992.07
蔡力峰,0000000139,本科,同济大学,工程地质和水文地质,1973.09,1977.01
蔡力峰,0000000139,本科,中央党校,经济管理,1992.08,1994.12
蔡奇,0000000141,本科,福建师范大学,政治经济学,1975.09,1978.08
蔡奇,0000000141,培训,中央党校,,1996.03,1996.07
蔡奇,0000000141,研究生,福建师范大学,经济法律,1994.09,1997.07
蔡奇,0000000141,博士,福建师范大学,政治经济学,1998.09,2001.07
蔡晓明,0000000149,学习,中央党校,政法,1996.07,1998.12
蔡晓明,0000000149,进修,国家行政学院,,2001.03,2001.06
蔡长松,0000000153,本科,湖南师范学院,政治教育,1962.09,1966.09
曹伯纯,0000000158,大专,株洲航空工业学校,,1958.09,1960.08
曹伯纯,0000000158,大专,株洲航空工业专科学校,工具制造,1960.08,1963.12
曹伯纯,0000000158,培训,湖南省委党校,,1981.03,1981.07
曹伯纯,0000000158,进修,北京航空学院,,1982.03,1982.07
曹伯纯,0000000158,培训,中央党校,,1986.09,1987.07
曹存正,0000000160,本科,郑州大学,政治经济,1978.02,1982.01
曹存正,0000000160,研究生,郑州大学,行政管理,1998.09,2000.06
