Name,Offcd ,Wk_S,Wk_E,Jbt
官员姓名,官员代码,任期起始时间,任期结束时间,职位名称
阿勒布斯拜·拉合木,0000000015,1966.10,1972.11,参加工作，任托里县中学教师
阿勒布斯拜·拉合木,0000000015,1972.11,1973.06,加入中国共产党
阿勒布斯拜·拉合木,0000000015,1973.06,1975.08,任托里县团委书记
阿勒布斯拜·拉合木,0000000015,1975.08,1980.04,任塔城地区团委副书记
阿勒布斯拜·拉合木,0000000015,1980.04,1983.06,任塔城地区种牛场党委书记
阿勒布斯拜·拉合木,0000000015,1983.06,1986.00,任塔城地委副书记
阿勒布斯拜·拉合木,0000000015,1986.00,1993.06,兼任塔城地委党校校长、地委政法委书记
阿勒布斯拜·拉合木,0000000015,1993.06,1997.01,任塔城地委副书记、行署专员
阿勒布斯拜·拉合木,0000000015,1997.01,1998.01,任自治区化工厅党委副书记、厅长
阿勒布斯拜·拉合木,0000000015,1998.01,1998.03,任伊犁哈萨克自治州党委副书记、副州长、代理州长
阿勒布斯拜·拉合木,0000000015,1998.03,2001.06,任伊犁哈萨克自治州党委副书记、州长
阿勒布斯拜·拉合木,0000000015,2001.06,2008.01,任自治区党委委员，新疆生产建设兵团党委常委、副司令员
阿勒布斯拜·拉合木,0000000015,2008.01,2012.01,当选为新疆维吾尔自治区人大常委会副主任
阿勒布斯拜·拉合木,0000000015,2012.01,,接受阿勒布斯拜·拉合木辞去自治区第十一届人民代表大会常务委员会副主任和财政经济委员会主任委员职务
阿木冬·尼牙孜,0000000016,1949.10,1960.12,任新疆省、新疆维吾尔自治区轮台县塔尔拉克小学教员
阿木冬·尼牙孜,0000000016,1960.12,1962.12,任中共轮台县委书记处书记
阿木冬·尼牙孜,0000000016,1962.12,1966.01,任新疆维吾尔自治区商业厅副厅长、供销社副主任
阿木冬·尼牙孜,0000000016,1966.01,1967.03,任新疆维吾尔自治区乌鲁木齐市市长
阿木冬·尼牙孜,0000000016,1967.03,1977.11,任乌鲁木齐市革委会副主任、主任，中共乌鲁木齐市委副书记、书记，乌鲁木齐市军区生产办公室主任
阿木冬·尼牙孜,0000000016,1977.11,1978.03,任中共新疆维吾尔自治区委常委
阿木冬·尼牙孜,0000000016,1978.03,1979.09,任中共新疆维吾尔自治区委常委、新疆维吾尔自治区革委会副主任、共青团新疆维吾尔自治区委书记
阿木冬·尼牙孜,0000000016,1979.09,1983.04,任中共新疆维吾尔自治区委常委、新疆维吾尔自治区人民政府副主席
阿木冬·尼牙孜,0000000016,1983.04,1985.12,任中共新疆维吾尔自治区委常委、自治区委政法委书记
阿木冬·尼牙孜,0000000016,1985.12,1993.01,任中共新疆维吾尔自治区委副书记、新疆维吾尔自治区人大常委会主任
阿木冬·尼牙孜,0000000016,1993.01,2003.01,任新疆维吾尔自治区人大常委会主任
艾学峰,0000000024,1983.09,1987.07,东北工学院计算机科学与工程系计算机科学专业学生
艾学峰,0000000024,1987.07,1989.09,辽宁印刷研究所助理工程师
艾学峰,0000000024,1989.09,1992.02,中国人民银行研究生部货币银行学专业研究生
艾学峰,0000000024,1992.02,1992.05,建设银行总行干部
艾学峰,0000000024,1992.05,1995.12,国务院港澳办一司副主任科员
艾学峰,0000000024,1995.12,1998.10,国务院港澳办香港经济司副处长
艾学峰,0000000024,1998.10,2001.12,国务院港澳办香港经济司副司长
艾学峰,0000000024,2001.12,2004.03,国务院港澳办政研司副司长
艾学峰,0000000024,2004.03,2010.11,国务院港澳办政研司司长
艾学峰,0000000024,2010.11,2011.02,中共韶关市委副书记，副市长、代市长、市政府党组书记
艾学峰,0000000024,2011.02,2015.04,中共韶关市委副书记，市长、市政府党组书记
艾学峰,0000000024,2015.04,,深圳市人民政府副市长、党组成员
安桂武,0000000027,1986.09,1990.09,哈尔滨工业大学管理学院工业管理工程专业学生
安桂武,0000000027,1990.09,1993.07,哈尔滨工业大学管理学院系统工程专业研究生（其间：1991.09-1992.09任全国学联驻会执行主席）
安桂武,0000000027,1993.07,1994.09,共青团中央实业发展部干部（其间：1993.08－1994.09挂职任共青团中央高新技术产业发展中心廊坊科技园区总经理助理）
安桂武,0000000027,1994.09,1998.11,共青团中央办公厅副主任科员、主任科员、副处级干事
安桂武,0000000027,1998.11,2001.12,共青团中央统战部青联办公室主任
安桂武,0000000027,2001.12,2005.01,共青团中央统战部副部长
安桂武,0000000027,2005.01,2009.06,共青团中央统战部部长（其间：2003.10－2005.08在长江商学院工商管理专业在职学习，获工商管理硕士学位）
安桂武,0000000027,2008.09,2008.11,在中央党校地厅干部进修班学习
安桂武,0000000027,2009.06,2010.04,吉林省吉林市委副书记（正厅长级）
安桂武,0000000027,2010.04,2011.12,吉林省旅游局长、党组书记
安桂武,0000000027,2011.12,2012.01,吉林省白城市委副书记、副市长、代市长
安桂武,0000000027,2012.01,2015.10,吉林省白城市委副书记、市长
安桂武,0000000027,2015.10,2015.11,吉林省发展和改革委员会党组书记
安桂武,0000000027,2015.11,,吉林省发展和改革委员会主任、党组书记
安启元,0000000034,1956.00,1973.05,参加工作后，历任石油部西安地质调查处助理技术员、技术员、松辽石油勘探局地质队队长、大庆石油会战指挥部第一采油指挥部计划科副科长、科长、油矿矿长、井下作业处处长、党委书记。
安启元,0000000034,1973.05,1977.08,历任石油部地球物理勘探局局长、党委第一副书记
安启元,0000000034,1977.08,1988.06,任国家地震局副局长、党组副书记、局长、党组书记
安启元,0000000034,1988.06,1992.10,历任中共陕西省委常委、西安市委书记、中共陕西省委副书记
安启元,0000000034,1992.10,1994.11,当选为中共中央纪律检查委员会委员、常委
安启元,0000000034,1994.11,1997.01,任中共陕西省委书记、省军区党委第一书记
安启元,0000000034,1997.01,  ,任陕西省政协主席
安世银,0000000036,1971.10,1975.09,东阿县牛角店公社牛角店片长、三圈管理区书记
安世银,0000000036,1975.09,1976.06,东阿县牛店公社革委会副主
安世银,0000000036,1976.06,1976.10,中共东阿县牛店公社党委副书记
安世银,0000000036,1976.10,1979.09,中共东阿县委常委、高集乡党委书记、革委会主任
安世银,0000000036,1979.09,1980.08,中共东阿县委常委、姜楼乡党委副书记兼管委会主任
安世银,0000000036,1980.08,1982.08,山东大学经济系干修科学员
安世银,0000000036,1982.08,1983.12,山东省东阿县经委主任
安世银,0000000036,1983.12,1987.02,中共东阿县委常委、宣传部长
安世银,0000000036,1987.02,1991.08,中共东阿县委委员、副县长
安世银,0000000036,1991.08,1993.01,中共东阿县委常委、副县长
安世银,0000000036,1993.01,1993.02,中共阳谷县委副书记、副县长、代县长
安世银,0000000036,1993.02,1995.02,中共阳谷县委副书记、县长
安世银,0000000036,1995.02,1997.12,中共阳谷县委书记
