Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Term,Offcd,Gender,Eth,Bthp,Bprvn,Bpftn,Bcont,Bthd,Jnpdt ,Edu_h
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,任期期间,官员代码,性别,民族,籍贯,出生省,出生市,出生县,出生日期,入党时间,最高学历
110101,北京市,,东城区,区长,18,,陈平,2000.08-2003.01,0000000460,男,汉族,河北三河,河北省,廊坊市,三河市,1954.01,1986.04,研究生
110101,北京市,,东城区,区长,18,代,卢彦,2003.07-2006.07,0000012611,男,汉族,江苏宝应,江苏省,扬州市,宝应县,1963.03,1994.06,博士
110101,北京市,,东城区,区长,18,,卢彦,2006.07-2009.03,0000012611,男,汉族,江苏宝应,江苏省,扬州市,宝应县,1963.03,1994.06,博士
110101,北京市,,东城区,区长,18,,杨艺文,2006.07-2010.06,0000006872,女,汉族,山东荣成,山东省,威海市,荣成市,1961.04,1983.06,博士
110101,北京市,,东城区,区长,18,,牛青山,2010.08-2013.11,0000004008,男,汉族,河北定县（今河北省定州市）,河北省,保定市,定州市,1960.12,1979.07,研究生
110101,北京市,,东城区,区长,18,代,张家明,2013.11-2014.01,0000007404,男,汉族,安徽肥东,安徽省,合肥市,肥东县,1963.12,1985.05,研究生
110101,北京市,,东城区,区长,18,,张家明,2014.01-2015.11,0000007404,男,汉族,安徽肥东,安徽省,合肥市,肥东县,1963.12,1985.05,研究生
110101,北京市,,东城区,区长,18,代,李先忠,2015.12-2016.01,0000011600,男,汉族,山东黄县,山东省,烟台市,龙口市,1971.06,1993.06,博士
110101,北京市,,东城区,区长,18,,李先忠,2016.01-至今,0000011600,男,汉族,山东黄县,山东省,烟台市,龙口市,1971.06,1993.06,博士
110101,北京市,,东城区,区委书记,17,,连廉,-2001.02,0000011796,,,,,,,,,
110101,北京市,,东城区,区委书记,17,,赵久合,2001.02-2003.01,0000017571,男,,,,,,,,
110101,北京市,,东城区,区委书记,17,,陈平,2003.01-2007.02,0000000460,男,汉族,河北三河,河北省,廊坊市,三河市,1954.01,1986.04,研究生
110101,北京市,,东城区,区委书记,17,,王学勤,2007.02-2009.11,0000015002,男,汉族,江苏省苏州市,江苏省,苏州市,,1960.02,1987.11,博士
110101,北京市,,东城区,区委书记,17,,杨柳荫,2010.07-2015.11,0000016261,男,汉族,山西天镇,山西省,大同市,天镇县,1955.08,1974.03,本科
110101,北京市,,东城区,区委书记,17,,张家明,2015.11-至今,0000007404,男,汉族,安徽肥东,安徽省,合肥市,肥东县,1963.12,1985.05,研究生
110102,北京市,,西城区,区长,18,,王长连,1998.04-1999.01,0000015111,男,汉族,河北吴桥,河北省,沧州市,吴桥县,1946.08,,大专
110102,北京市,,西城区,区长,18,,吕锡文,1999.01-2003.04,0000003734,女,汉族,浙江宁波,浙江省,宁波市,,1955.07,1982.08,本科
110102,北京市,,西城区,区长,18,代,林铎,2003.04-2003.08,0000002976,男,汉族,山东菏泽,山东省,菏泽市,,1956.03,1975.10,研究生
110102,北京市,,西城区,区长,18,,林铎,2003.08-2006.10,0000002976,男,汉族,山东菏泽,山东省,菏泽市,,1956.03,1975.10,研究生
110102,北京市,,西城区,区长,18,,张建东,2006.10-2011.07,0000007408,男,汉族,河北乐亭,河北省,唐山市,乐亭县,1962.07,1982.12,博士
110102,北京市,,西城区,区长,18,,王少峰,2011.07-至今,0000014837,男,汉族,山东日照,山东省,日照市,,1970.11,1990.07,研究生
110102,北京市,,西城区,区委书记,17,,王长连,1998.04-2003.01,0000015111,男,汉族,河北吴桥,河北省,沧州市,吴桥县,1946.08,,大专
110102,北京市,,西城区,区委书记,17,,吕锡文,2003.01-2006.10,0000003734,女,汉族,浙江宁波,浙江省,宁波市,,1955.07,1982.08,本科
