Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
魏明,0000000001,研究生,省委党校,,,
章长胜,0000000002,研究生,省委党校,,,
徐国龙,0000000004,研究生,省委党校,,,
邵全卯,0000000005,本科,,,,
李宁,0000000006,本科,中国科学技术大学,编辑出版,1997.09,2001.08
李宁,0000000006,研究生,清华大学,工商管理,2001.09,2007.07
李宁,0000000006,博士,清华大学,,2007.07,2007.08
陶关锋,0000000008,本科,中央党校,,,
孙云耀,0000000009,大专,中央党校,经济管理,1989.08,1992.06
孙云耀,0000000009,培训,绍兴市委党校中青年干部培训班,,1994.04,1994.07
孙云耀,0000000009,研究生,浙江大学人文学院,行政管理,1996.05,1998.06
孙云耀,0000000009,本科,中央党校,政工,1999.08,2001.12
孙云耀,0000000009,研究生,香港公开大学,工商管理,2000.12,2002.12
孙云耀,0000000009,研修,清华大学,公共管理,2006.03,2006.10
张晓强,0000000012,本科,浙江农林大学,林学,1992.09,1996.08
张晓强,0000000012,研究生,美国新泽西肯恩大学,公共管理,2001.03,2002.08
张晓强,0000000012,培训,省委党校,,2008.03,2008.06
艾文金,0000000022,学习,老河口市光化师范学校,,1979.09,1981.09
艾文金,0000000022,学习,省委党校中青班,,2000.04,2001.01
艾文金,0000000022,学习,省委组织部县市区党委副书记班,,2006.03,2006.05
安路生,0000000030,本科,上海铁道大学,工学,,
安路生,0000000030,研究生,上海铁道大学,工程学,,
安启洪,0000000033,培训,中纪委监察部杭州培训中心,,2003.08,2003.09
安启洪,0000000033,本科,贵州省委党校,法律,2001.09,2004.01
安孝荣,0000000039,研究生,省委党校,,,
安孝荣,0000000039,本科,中央政法管理干部学院,经济法,1988.09,
巴登,0000000043,,甘孜州工业学校,,1979.12,1981.08
巴登,0000000043,本科,四川省党校,经济管理,2004.12,2006.04
白龙,0000000061,研究生,,,,
白祥和,0000000072,研究生,东北农业大学,农业经济管理,,
白祥和,0000000072,博士,东北农业大学,,,
白晓玲,0000000074,研究生,,,,
白振海,0000000080,研究生,中央党校,经济社会发展与党的领导,2007.06,2010.06
白志家,0000000082,本科,中央党校函授学院,经济管理专业,,
白志家,0000000082,学习,石家庄高级步校,,1979.09,1981.01
摆向阳,0000000083,中专,中原机械工业学校,,1987.09,1989.07
摆向阳,0000000083,大专,河南财经学院,经济管理,,1997.06
摆向阳,0000000083,函授,中央党校,法律,1999.08,2001.12
包江苏,0000000089,本科,,,,
包信宝,0000000092,本科,复旦大学,放射化学,1963.09,1965.04
包信宝,0000000092,培训,复旦大学,,1965.04,1968.08
包信宝,0000000092,培训,中央党校马列主义培训部,,1983.09,1985.08
包信宝,0000000092,培训,中央党校,,1998.09,1998.11
薄学斌,0000000096,本科,河南师范大学,,,
薄学斌,0000000096,研究生,上海财经大学,公共管理,,
鲍炳章,0000000098,本科,,,,
鲍炳章,0000000098,研究生,,工商管理,,
贝冰,0000000104,本科,华南师范大学,中文,1981.09,1985.07
毕建华,0000000105,大专,承德民族师范专科学校,,1979.11,1981.08
边巴扎西,0000000109,本科,西藏农牧学院农学系,农学专业,1989.09,1993.07
边飞,0000000110,本科,,,,
卞百平,0000000113,本科,华东师范大学,法学,,
卞百平,0000000113,研究生,华东师范大学,经济学,,
卞建秋,0000000115,本科,安徽大学,汉语言文学,1980.09,1984.07
卞建秋,0000000115,研究生,南京大学,行政管理,1999.09,2001.01
卞建秋,0000000115,进修,省委党校,,2000.09,2000.11
别必雄,0000000117,大专,湖北农学院,农学,1979.07,1982.08
别必雄,0000000117,函授,湖北农学院,农经,1993.09,1996.07
别必雄,0000000117,研究生,武汉大学,岩土工程,1998.09,2001.06
别必雄,0000000117,研究生,华中师范大学,政治经济学,2003.09,2006.06
宾正迎,0000000118,研究生,广西大学,哲学,,1989.07
布和朝鲁,0000000120,大专,内蒙古自治区锡林郭勒盟师范学校,,1977.09,1979.07
布和朝鲁,0000000120,本科,内蒙古师范大学,教育管理,,
布泽文,0000000123,本科,河北大学,中文,1980.09,1984.07
布泽文,0000000123,研究生,省委党校,经济管理,1999.09,
才让当智,0000000124,本科,无锡纺织工业大学,,1987.09,1989.06
才让当智,0000000124,函授,中央党校,经济管理,1998.09,2000.12
才让当智,0000000124,学习,甘肃省委党校,社会学,2004.09,2007.07
才智,0000000127,大专,甘肃省委党校,党政管理,1988.09,1990.08
才智,0000000127,本科,甘肃农业大学,动物食品卫生检验,2001.01,2003.12
才智,0000000127,研究生,甘肃省委党校,文化和社会发展,2006.06,2009.06
蔡光信,0000000130,本科,,,,
蔡洪魁,0000000131,,唐山地区农业学校,农学,1979.09,1982.08
蔡洪魁,0000000131,函授,中央党校,经济管理,1994.08,1996.12
蔡洪生,0000000132,研究生,哈尔滨师范大学,科技经济管理,1994.12,1996.07
蔡洪生,0000000132,研究生,,工商管理,2004.04,2005.10
蔡全法,0000000142,学习,中国青年政治学院,经济,1985.09,1987.10
蔡全法,0000000142,学习,中央党校,经济管理,1995.09,1997.11
蔡全法,0000000142,研究生,河南大学,政治经济学,1996.09,1998.12
蔡澍,0000000145,本科,西北轻工业学院,皮革,,1994.07
蔡澍,0000000145,研究生,华南理工大学,行政管理,2006.09,2009.07
蔡松贵,0000000146,本科,华南师范大学行政管理干部学院,,1986.09,1988.07
蔡松贵,0000000146,研究生,省社科院,政治经济学,1995.09,1998.07
蔡松涛,0000000147,本科,,,,
操隆山,0000000157,本科,安徽大学,法律,1985.09,1989.06
操隆山,0000000157,研究生,江苏省委党校,,2002.01,2004.07
操隆山,0000000157,培训,省委党校,,2003.03,
曹伯章,0000000159,培训,中央党校,,1995.03,1995.05
曹法英,0000000162,研究生,河南省委党校,政管理,,
曹鉴燎,0000000165,培训,广州市农业财贸干部学校,,1978.07,1978.09
曹鉴燎,0000000165,培训,广州市农校,,1979.10,1979.12
曹鉴燎,0000000165,大专,广州市委党校,,1982.04,1984.07
曹鉴燎,0000000165,培训,美国圣玛利学院,工商管理,1992.09,1992.10
曹鉴燎,0000000165,培训,广东省委党校,,1996.09,1997.01
曹鉴燎,0000000165,研究生,广东省委党校,经济学,1996.09,1999.07
曹鉴燎,0000000165,博士,暨南大学,国际关系,1999.09,2002.06
曹金华,0000000166,本科,,,,
曹立明,0000000169,本科,中央党校,经济管理,,
