Name,Offcd ,Wk_S,Wk_E,Jbt
官员姓名,官员代码,任期起始时间,任期结束时间,职位名称
章长胜,0000000002,2006.12,2007.03,绍兴市越城区委副书记、代区长
章长胜,0000000002,2007.03,  ,绍兴市越城区委副书记、区长
章长胜,0000000002,2011.02,,绍兴市越城区委书记
章长胜,0000000002,2017.06,,任绍兴市人民政府秘书长
徐国龙,0000000004,2014.06,2015.01,绍兴市柯桥区委书记，区政府区长
徐国龙,0000000004,2015.01,2017.04,绍兴市柯桥区委书记
徐国龙,0000000004,2017.04,,绍兴市副市长
邵全卯,0000000005,1989.08,,参加工作，历任绍兴市水电工程质监站副站长、站长，绍兴市用水管理处主任，上虞市水利局副局长（挂职），绍兴市水利局规划建设处处长、党组成员，绍兴市曹娥江大闸建设管理委员会副主任、党工委委员，绍兴市交通局副局长、党委委员，绍诸高速工程建设指挥部总指挥、党工委书记，绍兴市人力社保局局长、党组书记，兼绍兴市委组织部副部长，新昌县委副书记、代理县长、县长等职
邵全卯,0000000005,2016.01,  ,任浙江省新昌县委书记
邵全卯,0000000005,2016.12,,当选为新昌县县委书记
陶关锋,0000000008,1984.09,1987.07,宁波林业学校学生
陶关锋,0000000008,1987.08,1990.02,绍兴县马海乡团委书记
陶关锋,0000000008,1990.02,1991.03,绍兴县越北区公所青年干事、民政助理员
陶关锋,0000000008,1991.03,1992.05,任绍兴县新围镇副镇长
陶关锋,0000000008,1992.05,1992.08,任绍兴县马鞍镇农经技术服务公司副经理
陶关锋,0000000008,1992.08,1998.11,任绍兴县马鞍镇副镇长
陶关锋,0000000008,1998.11,1999.02,任绍兴县富盛镇党委副书记
陶关锋,0000000008,1999.02,2000.05,任绍兴县富盛镇党委副书记、副镇长
陶关锋,0000000008,2000.05,2000.06,任绍兴县富盛镇党委书记
陶关锋,0000000008,2000.06,2001.08,任绍兴县富盛镇党委书记、人大主席
陶关锋,0000000008,2001.08,2002.01,任绍兴县水平镇党委书记
陶关锋,0000000008,2002.01,2002.12,任绍兴县水平镇党委书记、人大主席
陶关锋,0000000008,2002.12,2006.09,任绍兴县钱清镇党委书记
陶关锋,0000000008,2006.09,2006.12,任绍兴县钱清镇党委书记兼任绍兴县钱清镇纺织服务产业集聚区管委会主任、轻纺城钱清原料市场建设管委会办公室主任
陶关锋,0000000008,2006.12,2007.02,任绍兴县发改局局长、党组副书记、物价局局长
陶关锋,0000000008,2007.02,2007.03,任绍兴县发改局局长、党组书记、物价局局长
陶关锋,0000000008,2007.03,2010.02,任绍兴县人民政府副县长（其间赴湖南挂职任安乡县委常委、副县长，2007年03月任安乡县人民政府副县长，2008年08月任中共安乡县委常委）
陶关锋,0000000008,2010.02,2015.09,任中共嵊州市委常委、组织部长
陶关锋,0000000008,2015.09,2016.11,任绍兴市上虞区委副书记、代区长、区长
陶关锋,0000000008,2016.11,,任绍兴市上虞区委书记
陶关锋,0000000008,2016.12,,当选为中共绍兴市上虞区第一届委员会常务委员会委员、书记
孙云耀,0000000009,1985.04,1986.02,绍兴县加会乡副乡长
孙云耀,0000000009,1986.02,1987.01,绍兴县陶里乡党委副书记
孙云耀,0000000009,1987.01,1990.04,绍兴县齐贤镇党委副书记、镇长
孙云耀,0000000009,1990.04,1992.01,绍兴县马鞍镇党委副书记、镇长
孙云耀,0000000009,1992.01,1997.11,绍兴县马鞍镇党委书记
孙云耀,0000000009,1997.11,2001.05,绍兴县副县长
孙云耀,0000000009,2001.05,2004.12,绍兴县委常委、副县长
