Arcd,Prvn,Pst,Pstcd,Pstrm,Name,Term,Offcd,Gender,Eth,Bthp,Bprvn,Bpftn,Bcont,Bthd,Jnpdt,Edu_h
区域代码,省级名称,职位,职位代码,职位备注,官员姓名,任职期间,官员代码,性别,民族,籍贯,出生省,出生市,出生县,出生日期,入党时间,最高学历
110000,北京市,市长,6,,聂荣臻,1949.08-1951.02,0000013205,男,汉族,四川江津,重庆市,,江津区,1899.12,,
110000,北京市,市长,6,,彭真,1951.02-1966.05,0000004117,男,汉族,山西省曲沃县,山西省,临汾市,曲沃县,1902.10,,
110000,北京市,市长,6,代,吴德,1966.06-1967.04,0000006078,男,汉族,河北丰润,河北省,唐山市,丰润区,1913.00,,
110000,北京市,市长,6,,谢富治,1967.04-1972.03,0000006328,男,汉族,湖北省黄安（今红安）县城关镇丰岗谢家垱村,湖北省,黄冈市,红安县,1909.00,,
110000,北京市,市长,6,,吴德,1972.05-1978.10,0000006078,男,汉族,河北丰润,河北省,唐山市,丰润区,1913.00,,
110000,北京市,市长,6,,林乎加,1978.10-1981.01,0000002991,,,,,,,,,高中
110000,北京市,市长,6,,焦若愚,1981.01-1983.03,0000002086,男,汉族,河南省叶县,河南省,平顶山市,叶县,1915.12,,
110000,北京市,市长,6,,陈希同,1983.04-1993.02,0000000542,男,汉族,四川安岳,四川省,资阳市,安岳县,1930.06,1949.12,本科
110000,北京市,市长,6,,李其炎,1993.02-1996.10,0000011460,男,汉族,山东齐河,山东省,德州市,齐河县,1938.10,,
110000,北京市,市长,6,代,贾庆林,1996.10-1997.02,0000001961,男,汉族,河北泊头,河北省,沧州市,泊头市,1940.03,1959.12,本科
110000,北京市,市长,6,,贾庆林,1997.02-1999.02,0000001961,男,汉族,河北泊头,河北省,沧州市,泊头市,1940.03,1959.12,本科
110000,北京市,市长,6,,刘淇,1999.02-2003.01,0000003296,男,汉族,江苏武进,江苏省,常州市,武进区,1942.11,1975.09,研究生
110000,北京市,市长,6,,孟学农,2003.01-2003.04,0000003923,男,,山东蓬莱,山东省,烟台市,蓬莱市,1949.08,1972.07,研究生
110000,北京市,市长,6,代,王歧山,2003.04-2004.02,0000004693,男,汉族,山西天镇,山西省,大同市,天镇县,1948.07,1983.02,大专
110000,北京市,市长,6,,王歧山,2004.02-2007.11,0000004693,男,汉族,山西天镇,山西省,大同市,天镇县,1948.07,1983.02,大专
110000,北京市,市长,6,代,郭金龙,2007.11-2008.01,0000001353,男,汉族,江苏南京,江苏省,南京市,,1947.07,1979.04,本科
110000,北京市,市长,6,,郭金龙,2008.01-2012.07,0000001353,男,汉族,江苏南京,江苏省,南京市,,1947.07,1979.04,本科
110000,北京市,市长,6,,王安顺,2012.07-2013.01,0000005856,男,汉族,河南辉县,河南省,新乡市,辉县,1957.12,1984.03,研究生
110000,北京市,市长,6,,王安顺,2013.01-2016.10,0000005856,男,汉族,河南辉县,河南省,新乡市,辉县,1957.12,1984.03,研究生
110000,北京市,市长,6,,蔡奇,2016.-2017.,0000000141,男,汉族,福建尤溪,福建省,三明市,尤溪县,1955.12,1975.08,博士
110000,北京市,市长,6,代,陈吉宁,2017.05-2018.01,0000018930,男,汉族,吉林梨树,吉林省,四平市,梨树县,1964.02,1984.00,博士
