windcode,bank,year,green_loan_100m_cny,total_loan_100m_cny,green_loan_share,green_loan_share_change,report_period,report_period_total
601988.SH,中国银行,2012,2274.8,68647.0,0.03313764621906275,,Q4 FY2012,Q4 FY2012
601988.SH,中国银行,2013,2587.59,76078.0,0.03401232945135256,0.0008746832322898135,Q4 FY2013,Q4 FY2013
601988.SH,中国银行,2014,3010.43,84833.0,0.03548654415145049,0.0014742147000979325,Q4 FY2014,Q4 FY2014
601988.SH,中国银行,2015,4123.15,91359.0,0.04513129521995643,0.009644751068505937,Q4 FY2015,Q4 FY2015
601988.SH,中国银行,2016,4673.42,99734.0,0.04685884452644033,0.0017275493064839026,Q4 FY2016,Q4 FY2016
601988.SH,中国银行,2017,5387.99,108966.0,0.049446524604004914,0.0025876800775645817,Q4 FY2017,Q4 FY2017
601988.SH,中国银行,2018,6326.67,118193.0,0.05352829693805894,0.004081772334054025,Q4 FY2018,Q4 FY2018
601988.SH,中国银行,2019,7375.7,130342.0,0.056587285755934386,0.0030589888178754465,Q4 FY2019,Q4 FY2019
601988.SH,中国银行,2020,8967.98,141834.0,0.06322870397788964,0.006641418221955256,Q4 FY2020,Q4 FY2020
601988.SH,中国银行,2021,14086.0,156750.0,0.08986283891547049,0.02663413493758085,Q4 FY2021,Q4 FY2021
601988.SH,中国银行,2022,19872.0,175073.0,0.11350693710623569,0.023644098190765198,Q4 FY2022,Q4 FY2022
601328.SH,交通银行,2012,1440.28,29472.999999999996,0.04886777728768704,,Q4 FY2012,Q4 FY2012
601328.SH,交通银行,2013,1658.36,32664.0,0.05077026696056821,0.0019024896728811677,Q4 FY2013,Q4 FY2013
601328.SH,交通银行,2014,1524.31,34317.0,0.04441850977649561,-0.006351757184072597,Q4 FY2014,Q4 FY2014
601328.SH,交通银行,2015,2047.95,37220.0,0.05502283718430951,0.010604327407813897,Q4 FY2015,Q4 FY2015
601328.SH,交通银行,2016,1611.05,41030.0,0.03926517182549354,-0.015757665358815967,Q4 FY2016,Q4 FY2016
601328.SH,交通银行,2017,2771.08,44569.0,0.06217505441001593,0.02290988258452239,Q4 FY2017,Q4 FY2017
601328.SH,交通银行,2018,2830.54,48541.99999999999,0.058311153228132344,-0.0038639011818835875,Q4 FY2018,Q4 FY2018
601328.SH,交通银行,2019,3283.52,53042.99999999999,0.06190298437117057,0.003591831143038224,Q4 FY2019,Q4 FY2019
601328.SH,交通银行,2020,3872.8,58484.0,0.06621982080569044,0.004316836434519876,Q4 FY2020,Q4 FY2020
601328.SH,交通银行,2021,4767.63,65604.0,0.07267285531370038,0.006453034508009936,Q4 FY2021,Q4 FY2021
601328.SH,交通银行,2022,6354.32,72962.0,0.08709081439653518,0.014417959082834803,Q4 FY2022,Q4 FY2022
601288.SH,农业银行,2012,1522.0,64334.0,0.023657785929679487,,Q4 FY2012,Q4 FY2012
601288.SH,农业银行,2013,3304.21,72247.0,0.0457349094080031,0.022077123478323614,Q4 FY2013,Q4 FY2013
601288.SH,农业银行,2014,4724.47,80981.0,0.058340474926217266,0.012605565518214165,Q4 FY2014,Q4 FY2014
601288.SH,农业银行,2015,5431.31,89099.0,0.060958147678425126,0.00261767275220786,Q4 FY2015,Q4 FY2015
601288.SH,农业银行,2016,6494.32,97196.0,0.06681674142968846,0.0058585937512633385,Q4 FY2016,Q4 FY2016
601288.SH,农业银行,2017,7476.25,107205.99999999999,0.06973723485625806,0.0029204934265695953,Q4 FY2017,Q4 FY2017
601288.SH,农业银行,2018,10504.0,119136.0,0.08816814396991673,0.018430909113658675,Q4 FY2018,Q4 FY2018
601288.SH,农业银行,2019,11910.0,133295.0,0.08935068832289284,0.0011825443529761004,Q4 FY2019,Q4 FY2019
601288.SH,农业银行,2020,15149.0,151361.0,0.1000852267096544,0.010734538386761569,Q4 FY2020,Q4 FY2020
601288.SH,农业银行,2021,19778.0,171358.0,0.11541918089613558,0.015333954186481175,Q4 FY2021,Q4 FY2021
601288.SH,农业银行,2022,26975.0,197227.0,0.13677133455358545,0.02135215365744987,Q4 FY2022,Q4 FY2022
601398.SH,工商银行,2012,5934.0,88036.99999999999,0.06740347808307871,,Q4 FY2012,Q4 FY2012
601398.SH,工商银行,2013,5980.0,99224.0,0.06026767717487705,-0.007135800908201664,Q4 FY2013,Q4 FY2013
601398.SH,工商银行,2014,6552.81,110263.00000000001,0.059428910876722016,-0.0008387662981550331,Q4 FY2014,Q4 FY2014
601398.SH,工商银行,2015,7028.43,119335.0,0.05889663552185025,-0.0005322753548717626,Q4 FY2015,Q4 FY2015
601398.SH,工商银行,2016,9785.6,130568.00000000001,0.07494638808896513,0.016049752567114876,Q4 FY2016,Q4 FY2016
601398.SH,工商银行,2017,10991.99,142334.0,0.07722673430101029,0.0022803462120451617,Q4 FY2017,Q4 FY2017
601398.SH,工商银行,2018,12377.58,154199.0,0.08027017036426955,0.0030434360632592555,Q4 FY2018,Q4 FY2018
601398.SH,工商银行,2019,13508.38,167612.99999999997,0.08059267479252803,0.00032250442825848546,Q4 FY2019,Q4 FY2019
601398.SH,工商银行,2020,18457.19,186243.00000000003,0.09910273137782358,0.018510056585295545,Q4 FY2020,Q4 FY2020
601398.SH,工商银行,2021,24806.21,206672.0,0.12002695091739568,0.020924219539572103,Q4 FY2021,Q4 FY2021
601398.SH,工商银行,2022,39784.58,232123.0,0.17139439004320986,0.05136743912581418,Q4 FY2022,Q4 FY2022
601939.SH,建设银行,2012,2396.37,75123.0,0.031899285172317396,,Q4 FY2012,Q4 FY2012
601939.SH,建设银行,2013,4883.9,85901.0,0.05685498422602763,0.024955699053710236,Q4 FY2013,Q4 FY2013
601939.SH,建设银行,2014,4870.77,94745.00000000001,0.051409256425141166,-0.005445727800886466,Q4 FY2014,Q4 FY2014
601939.SH,建设银行,2015,7335.63,104850.99999999999,0.06996242286673471,0.018553166441593542,Q4 FY2015,Q4 FY2015
601939.SH,建设银行,2016,8892.21,117570.0,0.07563332482776218,0.005670901961027472,Q4 FY2016,Q4 FY2016
601939.SH,建设银行,2017,10025.21,129034.0,0.07769432862656353,0.00206100379880135,Q4 FY2017,Q4 FY2017
601939.SH,建设银行,2018,10422.6,137463.0,0.07582113004954061,-0.001873198577022922,Q4 FY2018,Q4 FY2018
601939.SH,建设银行,2019,11758.02,149879.0,0.07845008306700739,0.0026289530174667813,Q4 FY2019,Q4 FY2019
601939.SH,建设银行,2020,13427.07,167458.0,0.08018171720670257,0.0017316341396951818,Q4 FY2020,Q4 FY2020
601939.SH,建设银行,2021,19600.0,187641.0,0.10445478333626446,0.024273066129561885,Q4 FY2021,Q4 FY2021
601939.SH,建设银行,2022,27500.0,211502.00000000003,0.13002241113559207,0.025567627799327614,Q4 FY2022,Q4 FY2022
601658.SH,邮储银行,2012,,12313.0,,,,Q4 FY2012
601658.SH,邮储银行,2013,,14926.0,,,,Q4 FY2013
601658.SH,邮储银行,2014,,18754.0,,,,Q4 FY2014
601658.SH,邮储银行,2015,,24719.000000000004,,,,Q4 FY2015
601658.SH,邮储银行,2016,752.31,30106.0,0.02498870657011891,,Q4 FY2016,Q4 FY2016
601658.SH,邮储银行,2017,1648.98,36301.0,0.04542519489821217,0.020436488328093264,Q4 FY2017,Q4 FY2017
601658.SH,邮储银行,2018,1904.05,42769.00000000001,0.04451939488882133,-0.0009058000093908405,Q4 FY2018,Q4 FY2018
601658.SH,邮储银行,2019,2433.01,49742.0,0.04891258895902859,0.00439319407020726,Q4 FY2019,Q4 FY2019
601658.SH,邮储银行,2020,2809.36,57163.00000000001,0.04914647586725679,0.00023388690822819663,Q4 FY2020,Q4 FY2020
601658.SH,邮储银行,2021,3722.94,64541.00000000001,0.05768333307509954,0.008536857207842752,Q4 FY2021,Q4 FY2021
601658.SH,邮储银行,2022,4965.49,72104.0,0.06886566625984689,0.011182333184747345,Q4 FY2022,Q4 FY2022
