edb_code,indicator,unit,freq,date,value
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090228,-20.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090331,-22.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090430,-23.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090531,-22.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090630,-17.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090731,-14.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090831,-11.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090930,-8.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091031,-5.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091130,-1.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091231,2.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100228,36.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100331,39.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100430,39.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100531,37.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100630,30.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100731,25.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100831,23.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100930,23.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101031,24
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101130,23.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101231,23.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110228,16.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110331,16.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110430,18.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110531,18.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110630,19.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110731,19.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110831,19.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110930,19.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111031,18.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111130,18.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111231,17.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120229,13.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120331,12.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120430,11.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120531,11.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120630,11.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120731,11.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120831,11.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120930,11.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20121031,11.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20121130,11.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20121231,11.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130228,11
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130331,10.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130430,11
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130531,11
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130630,10.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130731,10.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130831,10.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20130930,10.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20131031,10.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20131130,10.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20131231,10.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140228,5.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140331,4.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140430,3.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140531,3.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140630,4.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140731,5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140831,4.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20140930,4.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20141031,3.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20141130,3.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20141231,3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150228,-2.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150331,-2.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150430,-2.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150531,-3.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150630,-3.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150731,-4.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150831,-3.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20150930,-3.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20151031,-3.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20151130,-2.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20151231,-2.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160229,-4.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160331,-2.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160430,-2.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160531,-2.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160630,-2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160731,-1.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160831,-0.6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20160930,-0.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20161031,0.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20161130,0.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20161231,1.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170228,4.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170331,5.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170430,8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170531,8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170630,8.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170731,8.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170831,7.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20170930,7.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20171031,7.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20171130,7.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20171231,7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180228,7.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180331,5.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180430,5.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180531,5.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180630,5.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180731,5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180831,4.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20180930,3.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20181031,3.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20181130,4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20181231,4.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190228,6.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190331,8.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190430,6.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190531,6.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190630,6.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190731,6.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190831,6.4
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20190930,6
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20191031,5.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20191130,5.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20191231,5.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200229,-11.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200331,-3.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200430,-2.2
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200531,-1.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200630,-0.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200731,0.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200831,1.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20200930,3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20201031,4.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20201130,4.8
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20201231,5.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210228,36.1
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210331,23.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210430,20.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210531,17.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210630,15.9
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210731,15
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210831,14.3
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20210930,14
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20211031,13.5
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20211130,12.98
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20211231,12.7
M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20220228,10.1
