edb_code,indicator,unit,freq,date,value
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090228,19.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090331,19.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090430,19.4
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090531,19.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090630,18.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090731,18.4
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090831,19
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20090930,19.4
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091031,20.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091130,23.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20091231,24.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100228,23.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100331,24.3
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100430,24.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100531,23.9
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100630,21.3
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100731,18.5
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100831,17.5
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20100930,17.1
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101031,17.5
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101130,18.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20101231,19
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110228,15.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110331,16.5
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110430,18.1
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110531,18.9
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110630,19.5
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110731,19.3
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110831,19.1
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20110930,19.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111031,19
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111130,18.7
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20111231,19
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120229,12.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120331,12.2
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120430,13.6
M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比,%,月,20120531,13.8
