edb_code,indicator,unit,freq,date,value
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090131,6282.23
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090228,6426.59
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090331,6736.35
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090430,6863.98
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090531,6934.33
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090630,7360.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090731,7457.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090831,7624.71
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20090930,7752.66
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20091031,7872.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20091130,7904.92
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20091231,7915.41
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100131,8147
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100228,8394.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100331,8511.2
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100430,8630.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100531,8748
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100630,8923.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100731,9051
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100831,9212.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20100930,9373.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20101031,9520.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20101130,9621.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20101231,9728.7
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110131,9881.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110228,9972.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110331,10158.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110430,10273.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110531,10384.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110630,10552.1
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110731,10676.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110831,10821.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20110930,10879.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20111031,11039.7
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20111130,11134
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20111231,11265.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120131,11480.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120229,11678.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120331,12071.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120430,12286.2
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120531,12488.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120630,12623.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120731,12738.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120831,12837.7
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20120930,12963
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20121031,13068.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20121130,13131.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20121231,13211.3
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130131,13449.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130228,13546.2
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130331,13704.9
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130430,13902.7
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130531,14077
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130630,14271.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130731,14421
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130831,14522.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20130930,14719.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20131031,14818
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20131130,14977.1
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20131231,15025.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140131,15390.56
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140228,15481.81
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140331,15648.72
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140430,15701.14
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140531,15872.46
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140630,15993.85
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140731,16034.56
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140831,16147.19
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20140930,16304.35
