edb_code,indicator,unit,freq,date,value
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090131,4745.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090228,4906.4
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090331,5233.6
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090430,5454.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090531,5615.9
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090630,5875.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090731,6057.9
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090831,6220.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20090930,6254.2
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20091031,6253.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20091130,6327.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20091231,6292.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100131,6525.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100228,6768.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100331,6975.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100430,7145.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100531,7265.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100630,7322.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100731,7438.2
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100831,7544.1
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20100930,7637.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20101031,7783
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20101130,7839.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20101231,7919.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110131,8194.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110228,8323
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110331,8497.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110430,8709.3
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110531,8779
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110630,8861.4
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110731,8990.1
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110831,9064.6
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20110930,9150.6
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20111031,9238.5
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20111130,9572.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20111231,9727.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120131,9907
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120229,10121.3
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120331,10380.8
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120430,10539.4
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120531,10706.7
M0059313,内蒙古:金融机构各项贷款余额:人民币,亿元,月,20120630,10811.5
