edb_code,indicator,unit,freq,date,value
M6013703,山西:发电量,亿千瓦时,年,20091231,1862.04
M6013703,山西:发电量,亿千瓦时,年,20101231,2121.28
M6013703,山西:发电量,亿千瓦时,年,20111231,2299.73
M6013703,山西:发电量,亿千瓦时,年,20121231,2454.85
M6013703,山西:发电量,亿千瓦时,年,20131231,2603.72
M6013703,山西:发电量,亿千瓦时,年,20141231,2630.22
M6013703,山西:发电量,亿千瓦时,年,20151231,2434.72
M6013703,山西:发电量,亿千瓦时,年,20161231,2498.68
M6013703,山西:发电量,亿千瓦时,年,20171231,2762.82
M6013703,山西:发电量,亿千瓦时,年,20181231,3041.7
M6013703,山西:发电量,亿千瓦时,年,20191231,3228.7
M6013703,山西:发电量,亿千瓦时,年,20201231,3366.87
M6013703,山西:发电量,亿千瓦时,年,20211231,3734.45
M6013703,山西:发电量,亿千瓦时,年,20221231,4153.28
M6013703,山西:发电量,亿千瓦时,年,20231231,4376.1
