edb_code,indicator,unit,freq,date,value
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20181231,82300
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20190331,92300
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20190630,94700
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20190930,98500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20191231,102200
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20200331,104600
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20200630,110100
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20200930,115500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20201231,119500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20210331,130300
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20210630,139200
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20210930,147800
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20211231,159000
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20220331,180700
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20220630,195500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20220930,209000
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20221231,220300
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20230331,249900
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20230630,270500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20230930,285800
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20231231,300800
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20240331,337700
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20240630,347600
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20240930,357500
M6194125,中国:金融机构:绿色贷款余额:本外币,亿元,季,20241231,366000
