province,edb_code,indicator
北京,M0059149,北京:金融机构各项贷款余额:人民币
天津,M0059190,天津:金融机构各项贷款余额:人民币
河北,M0059231,河北:金融机构各项贷款余额:人民币
山西,M0059249,山西:金融机构各项贷款余额:本外币
内蒙古,M0059313,内蒙古:金融机构各项贷款余额:人民币
辽宁,M0059354,辽宁:金融机构各项贷款余额:人民币
吉林,M0059395,吉林:金融机构各项贷款余额:人民币
黑龙江,M0059436,黑龙江:金融机构各项贷款余额:人民币
上海,M0059477,上海:金融机构各项贷款余额:人民币
江苏,M0059518,江苏:金融机构各项贷款余额:人民币
浙江,M0059559,浙江:金融机构各项贷款余额:人民币
安徽,M0059600,安徽:金融机构各项贷款余额:人民币
福建,M0059641,福建:金融机构各项贷款余额:人民币
江西,M0059682,江西:金融机构各项贷款余额:人民币
山东,M0059723,山东:金融机构各项贷款余额:人民币
河南,M0059764,河南:金融机构各项贷款余额:人民币
湖北,M0059805,湖北:金融机构各项贷款余额:人民币
湖南,M0059846,湖南:金融机构各项贷款余额:人民币
广东,M0059887,广东:金融机构各项贷款余额:人民币
广西,M0059928,广西:金融机构各项贷款余额:人民币
海南,M0059969,海南:金融机构各项贷款余额:人民币
重庆,M0060010,重庆:金融机构各项贷款余额:人民币
四川,M0060028,四川:金融机构各项贷款余额:本外币
贵州,M0060092,贵州:金融机构各项贷款余额:人民币
云南,M0060133,云南:金融机构各项贷款余额:人民币
北京,M0004408,北京:工业增加值:可比价:规模以上工业企业:当月同比
天津,M0004411,天津:工业增加值:可比价:规模以上工业企业:当月同比
河北,M0004414,河北:工业增加值:可比价:规模以上工业企业:当月同比
山西,M0004418,山西:工业增加值:可比价:规模以上工业企业:累计同比
内蒙古,M0004421,内蒙古:工业增加值:可比价:规模以上工业企业:累计同比
辽宁,M0004423,辽宁:工业增加值:可比价:规模以上工业企业:当月同比
吉林,M0004427,吉林:工业增加值:可比价:规模以上工业企业:累计同比
黑龙江,M0004430,黑龙江:工业增加值:可比价:规模以上工业企业:累计同比
上海,M0004433,上海:工业增加值:可比价:规模以上工业企业:累计同比
江苏,M0004436,江苏:工业增加值:可比价:规模以上工业企业:累计同比
浙江,M0004439,浙江:工业增加值:可比价:规模以上工业企业:累计同比
安徽,M0004442,安徽:工业增加值:可比价:规模以上工业企业:累计同比
福建,M0004445,福建:工业增加值:可比价:规模以上工业企业:累计同比
江西,M0004447,江西:工业增加值:可比价:规模以上工业企业:当月同比
山东,M0004451,山东:工业增加值:可比价:规模以上工业企业:累计同比
河南,M0004454,河南:工业增加值:可比价:规模以上工业企业:累计同比
湖北,M0004457,湖北:工业增加值:可比价:规模以上工业企业:累计同比
湖南,M0004460,湖南:工业增加值:可比价:规模以上工业企业:累计同比
广东,M0004463,广东:工业增加值:可比价:规模以上工业企业:累计同比
广西,M0004466,广西:工业增加值:可比价:规模以上工业企业:累计同比
海南,M0004469,海南:工业增加值:可比价:规模以上工业企业:累计同比
四川,M0004475,四川:工业增加值:可比价:规模以上工业企业:累计同比
贵州,M0004478,贵州:工业增加值:可比价:规模以上工业企业:累计同比
西藏,M0060174,西藏:金融机构各项贷款余额:人民币
陕西,M0060215,陕西:金融机构各项贷款余额:人民币
甘肃,M0060233,甘肃:金融机构各项贷款余额:本外币
青海,M0060297,青海:金融机构各项贷款余额:人民币
宁夏,M0060338,宁夏:金融机构各项贷款余额:人民币
新疆,M0060379,新疆:金融机构各项贷款余额:人民币
云南,M0004481,云南:工业增加值:可比价:规模以上工业企业:累计同比
重庆,M0004472,重庆:工业增加值:可比价:规模以上工业企业:累计同比
西藏,M0004484,西藏:工业增加值:可比价:规模以上工业企业:累计同比
陕西,M0004487,陕西:工业增加值:可比价:规模以上工业企业:累计同比
甘肃,M0004490,甘肃:工业增加值:可比价:规模以上工业企业:累计同比
青海,M0004492,青海:工业增加值:可比价:规模以上工业企业:当月同比
宁夏,M0004496,宁夏:工业增加值:可比价:规模以上工业企业:累计同比
新疆,M0004499,新疆:工业增加值:可比价:规模以上工业企业:累计同比
