province,date,value
北京,20090131,20922.6
北京,20090228,21467.7
北京,20090331,22567.2
北京,20090430,22592.4
北京,20090531,23028.6
北京,20090630,24574.4
北京,20090731,24352
北京,20090831,24619.8
北京,20090930,24816.5
北京,20091031,25034.6
北京,20091130,25204.8
北京,20091231,25421.8
北京,20100131,26251.5
北京,20100228,26690
北京,20100331,26760.3
北京,20100430,26923
北京,20100531,27171.2
北京,20100630,27489.6
北京,20100731,27654.4
北京,20100831,27998.8
北京,20100930,28261
北京,20101031,28801.5
北京,20101130,29203.4
北京,20101231,29563.8
北京,20110131,29874.3
北京,20110228,30236.4
北京,20110331,30641.6
北京,20110430,31053.5
北京,20110531,31195.7
北京,20110630,31551.5
北京,20110731,31697.5
北京,20110831,31966.1
北京,20110930,32315
北京,20111031,33070.8
北京,20111130,33160.3
北京,20111231,33367
北京,20120131,33630.5
北京,20120229,34014.8
北京,20120331,34570.1
北京,20120430,34842.6
北京,20120531,35124.1
北京,20120630,35452.3
北京,20120731,35534.1
北京,20120831,35764.4
北京,20120930,35965.9
北京,20121031,36369.8
北京,20121130,36534.2
北京,20121231,36441.3
北京,20130131,36979.2
北京,20130228,37290.9
北京,20130331,37731.7
北京,20130430,38092.1
北京,20130531,38278.1
北京,20130630,38667
北京,20130731,39129
北京,20130831,39414.8
北京,20130930,39796.6
北京,20131031,39984.7
北京,20131130,40243.6
北京,20131231,40506.7
北京,20140131,41122.67
北京,20140228,41548.62
北京,20140331,42025.19
北京,20140430,42374.69
北京,20140531,42869.06
北京,20140630,43339.66
北京,20140731,43481.96
北京,20140831,43768.31
北京,20140930,44309.48
北京,20141031,44545.89
北京,20141130,45116.25
北京,20141231,45458.71
北京,20150131,46334.71
北京,20150228,46449.2
北京,20150331,46774.2
北京,20150430,47233.62
北京,20150531,47633.7
北京,20150630,48023.74
北京,20150731,51158.23
北京,20150831,51894.57
北京,20150930,50872.08
北京,20151031,52388.27
北京,20151130,51220.96
北京,20151231,50559.52
北京,20160131,52831.94
北京,20160229,53862.49
北京,20160331,52736.65
北京,20160430,54011.22
北京,20160531,54392.67
北京,20160630,54065.72
北京,20160731,54368.56
北京,20160831,55206.38
北京,20160930,55771.13
北京,20161031,56365.22
北京,20161130,56777.94
北京,20161231,56618.87
北京,20170131,57566.73
北京,20170228,58214.64
北京,20170331,58269.46
北京,20170430,59220.95
北京,20170531,59873.53
北京,20170630,60653.7
北京,20170731,60950.21
北京,20170831,61668.16
北京,20170930,62363.4
北京,20171031,62402.13
北京,20171130,62719.69
北京,20171231,63382.55
北京,20180131,60970.95
北京,20180228,61554.85
北京,20180331,62052.33
北京,20180430,63039.1
北京,20180531,63500
北京,20180630,64100
北京,20180731,64933.42
北京,20180831,65243.14
北京,20180930,66311.55
北京,20181031,66511.51
北京,20181130,66830.8
北京,20181231,66766.98
北京,20190131,68482.22
北京,20190228,68825.78
北京,20190331,69696.9
北京,20190430,69819.74
北京,20190531,70364.38
北京,20190630,70640.94
北京,20190731,70663.27
北京,20190831,71073.62
北京,20190930,71796.27
北京,20191031,72072.54
北京,20191130,73053.41
北京,20191231,73575.94
北京,20200131,75015.9
北京,20200229,75862.37
北京,20200331,76899.15
北京,20200430,76709.72
北京,20200531,76483.45
北京,20200630,76955.61
北京,20200731,76897.14
北京,20200831,78143.55
北京,20200930,79509.11
北京,20201031,80166.5
北京,20201130,80691.09
北京,20201231,81035.19
北京,20210131,82551.87
北京,20210228,83603.48
北京,20210331,84531.61
北京,20210430,84618.95
北京,20210531,85157.18
北京,20210630,85706.09
北京,20210731,85262.36
北京,20210831,85389.59
北京,20210930,86073.08
北京,20211031,86244.76
北京,20211130,87070.36
北京,20211231,86077.5
北京,20220131,87774.21
北京,20220228,88629.54
北京,20220331,91495.83
