province,year,electricity_transfer_in_100m_kwh,electricity_transfer_in_100m_kwh_wind_code,coal_transfer_in_10k_ton,coal_transfer_in_10k_ton_wind_code,coal_transfer_out_raw_10k_ton,coal_transfer_out_raw_10k_ton_wind_code,electricity_transfer_out_raw_100m_kwh,electricity_transfer_out_raw_100m_kwh_wind_code,coal_transfer_out_abs_10k_ton,electricity_transfer_out_abs_100m_kwh
Anhui,2000,,,,,,,,,,
Anhui,2001,,,,,,,,,,
Anhui,2002,,,,,,,,,,
Anhui,2003,,,,,,,,,,
Anhui,2004,,,,,,,,,,
Anhui,2005,,,,,,,,,,
Anhui,2006,,,,,,,,,,
Anhui,2007,,,,,,,,,,
Anhui,2008,,,,,,,,,,
Anhui,2009,,,,,,,,,,
Anhui,2010,1.71,B3501363,3851.0,C0135827,-3857.19,F7760639,-387.11,K7535452,3857.19,387.11
Anhui,2011,1.22,B3501363,4747.24,C0135827,-4144.87,F7760639,-435.09,K7535452,4144.87,435.09
Anhui,2012,6.99,B3501363,3798.78,C0135827,4002.0,F7760639,453.73,K7535452,4002.0,453.73
Anhui,2013,10.72,B3501363,6035.9,C0135827,-3892.67,F7760639,-460.38,K7535452,3892.67,460.38
Anhui,2014,6.18,B3501363,6478.79,C0135827,3703.0,F7760639,454.91,K7535452,3703.0,454.91
Anhui,2015,4.51,B3501363,6512.06,C0135827,4033.21,F7760639,426.61,K7535452,4033.21,426.61
Anhui,2016,42.42,B3501363,11478.63,C0135827,8115.46,F7760639,500.13,K7535452,8115.46,500.13
Anhui,2017,35.67,B3501363,10815.19,C0135827,-6624.6,F7760639,-584.45,K7535452,6624.6,584.45
Anhui,2018,83.71,B3501363,11454.12,C0135827,-6065.59,F7760639,-689.86,K7535452,6065.59,689.86
Anhui,2019,177.84,B3501363,9650.07,C0135827,-4006.26,F7760639,-763.83,K7535452,4006.26,763.83
Anhui,2020,425.1,B3501363,10398.99,C0135827,-4638.82,F7760639,-806.58,K7535452,4638.82,806.58
Anhui,2021,537.24,B3501363,11925.4,C0135827,5397.06,F7760639,904.99,K7535452,5397.06,904.99
Anhui,2022,586.45,B3501363,12060.62,C0135827,-4560.08,F7760639,-891.99,K7535452,4560.08,891.99
Anhui,2023,,,,,,,,,,
Beijing,2000,,,,,,,,,,
Beijing,2001,,,,,,,,,,
Beijing,2002,,,,,,,,,,
Beijing,2003,,,,,,,,,,
Beijing,2004,,,,,,,,,,
Beijing,2005,,,,,,,,,,
Beijing,2006,,,,,,,,,,
Beijing,2007,,,,,,,,,,
Beijing,2008,,,,,,,,,,
Beijing,2009,,,,,,,,,,
Beijing,2010,565.64,O5701675,,,-305.89,L2945627,-10.76,L5183648,305.89,10.76
Beijing,2011,594.48,O5701675,,,-295.97,L2945627,-1.54,L5183648,295.97,1.54
Beijing,2012,624.58,O5701675,,,356.55,L2945627,2.45,L5183648,356.55,2.45
Beijing,2013,579.82,O5701675,,,-357.29,L2945627,-3.02,L5183648,357.29,3.02
Beijing,2014,573.35,O5701675,,,262.72,L2945627,5.33,L5183648,262.72,5.33
Beijing,2015,536.98,O5701675,,,246.19,L2945627,5.26,L5183648,246.19,5.26
Beijing,2016,594.91,O5701675,,,186.51,L2945627,10.26,L5183648,186.51,10.26
Beijing,2017,678.53,O5701675,,,-77.66,L2945627,-5.35,L5183648,77.66,5.35
Beijing,2018,700.29,O5701675,,,-24.69,L2945627,-6.84,L5183648,24.69,6.84
Beijing,2019,708.87,O5701675,,,-33.11,L2945627,-3.86,L5183648,33.11,3.86
Beijing,2020,689.02,O5701675,,,21.74,L2945627,4.75,L5183648,21.74,4.75
Beijing,2021,764.84,O5701675,,,,,2.64,L5183648,,2.64
Beijing,2022,817.09,O5701675,,,,,-1.72,L5183648,,1.72
Beijing,2023,,,,,,,,,,
Chongqing,2000,,,,,,,,,,
Chongqing,2001,,,,,,,,,,
Chongqing,2002,,,,,,,,,,
Chongqing,2003,,,,,,,,,,
Chongqing,2004,,,,,,,,,,
Chongqing,2005,,,,,,,,,,
Chongqing,2006,,,,,,,,,,
Chongqing,2007,,,,,,,,,,
Chongqing,2008,,,,,,,,,,
Chongqing,2009,,,,,,,,,,
Chongqing,2010,216.77,R2528261,3158.66,K7662993,-1372.48,J9733060,,,1372.48,
Chongqing,2011,224.75,R2528261,4004.07,K7662993,-1047.73,J9733060,,,1047.73,
Chongqing,2012,231.55,R2528261,4105.94,K7662993,982.23,J9733060,,,982.23,
Chongqing,2013,256.03,R2528261,2964.81,K7662993,-1064.45,J9733060,,,1064.45,
Chongqing,2014,228.65,R2528261,3273.61,K7662993,1072.72,J9733060,,,1072.72,
Chongqing,2015,236.35,R2528261,2781.54,K7662993,481.18,J9733060,,,481.18,
Chongqing,2016,249.9,R2528261,4456.66,K7662993,958.72,J9733060,,,958.72,
Chongqing,2017,292.16,R2528261,4764.8,K7662993,-341.18,J9733060,,,341.18,
Chongqing,2018,373.79,R2528261,4369.85,K7662993,-343.52,J9733060,,,343.52,
Chongqing,2019,408.06,R2528261,4095.55,K7662993,-244.37,J9733060,,,244.37,
Chongqing,2020,409.15,R2528261,4268.82,K7662993,340.56,J9733060,,,340.56,
Chongqing,2021,172.28,R2528261,6904.7,K7662993,1530.22,J9733060,,,1530.22,
