variable,module,province,province_cn,wind_code,wind_name,wind_source,wind_unit,wind_frequency,output_unit,annual_method,update_date
electricity_transfer_out_raw_100m_kwh,flows,Qinghai,青海,A0064679,中国:青海:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_10k_kw,capacity,Xinjiang,新疆,A4151918,中国:新疆:装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
wind_capacity_addition_10k_kw,capacity,Qinghai,青海,A4323598,中国:青海:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Hebei,河北,A5539555,中国:河北:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
wind_capacity_10k_kw,capacity,Shaanxi,陕西,A6318141,中国:陕西:装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_in_10k_ton,flows,Sichuan,四川,A9605792,中国:四川:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_out_raw_100m_kwh,flows,Hebei,河北,B2712911,中国:河北:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Anhui,安徽,B3501363,中国:安徽:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_10k_kw,capacity,Zhejiang,浙江,B3846591,中国:浙江:装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Liaoning,辽宁,B5211491,中国:辽宁:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Shaanxi,陕西,B6555749,中国:陕西:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Anhui,安徽,C0135827,中国:安徽:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Hubei,湖北,C0385409,中国:湖北:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_out_raw_100m_kwh,flows,Henan,河南,C4632010,中国:河南:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Jiangsu,江苏,C5025877,中国:江苏:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Zhejiang,浙江,C6285517,中国:浙江:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Hainan,海南,C6513957,中国:海南:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Jiangsu,江苏,C6625577,中国:江苏:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_10k_kw,capacity,Gansu,甘肃,C8541763,中国:甘肃:装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Ningxia,宁夏,C9082582,中国:宁夏:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Ningxia,宁夏,C9167454,中国:宁夏:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
coal_transfer_out_raw_10k_ton,flows,Neimenggu,内蒙古,C9908965,中国:内蒙古:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Shanxi,山西,D1873829,中国:山西:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
