variable,nonmissing_observations,province_count,first_year,last_year
coal_transfer_in_10k_ton,201,16,2010,2022
coal_transfer_out_abs_10k_ton,200,16,2010,2022
coal_transfer_out_raw_10k_ton,200,16,2010,2022
electricity_transfer_in_100m_kwh,201,16,2010,2022
electricity_transfer_out_abs_100m_kwh,169,14,2010,2022
electricity_transfer_out_raw_100m_kwh,169,14,2010,2022
nbs_hydro_generation_billion_kwh,704,30,2000,2023
nbs_nuclear_generation_billion_kwh,122,8,2000,2023
nbs_solar_generation_billion_kwh,160,20,2016,2023
nbs_thermal_generation_billion_kwh,742,31,2000,2023
nbs_wind_generation_billion_kwh,330,30,2013,2023
solar_capacity_10k_kw,40,4,2014,2023
solar_capacity_addition_10k_kw,139,14,2014,2023
solar_capacity_addition_from_stock_10k_kw,36,4,2015,2023
wind_capacity_10k_kw,60,6,2014,2023
wind_capacity_addition_10k_kw,149,15,2014,2023
wind_capacity_addition_from_stock_10k_kw,54,6,2015,2023
