stage,query,variable,error,codes
search_missing,国家能源局北京风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局北京风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局北京风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局北京风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,国家能源局山西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局山西风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局内蒙古风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局内蒙古风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局内蒙古风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局内蒙古风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,国家能源局吉林风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局吉林风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局上海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_10k_kw,,
search_missing,国家能源局上海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_10k_kw,,
search_missing,国家能源局上海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,wind_capacity_addition_10k_kw,,
search_missing,国家能源局上海风电装机容量太阳能装机容量当年新增风电装机容量当年新增太阳能装机容量,solar_capacity_addition_10k_kw,,
search_missing,中国能源统计年鉴上海煤炭调入量煤炭调出量电力调入量电力调出量,coal_transfer_in_10k_ton,,
