province,year,nbs_thermal_generation_billion_kwh,nbs_thermal_generation_billion_kwh_wind_code,nbs_hydro_generation_billion_kwh,nbs_hydro_generation_billion_kwh_wind_code,electricity_transfer_in_100m_kwh,electricity_transfer_in_100m_kwh_wind_code,coal_transfer_in_10k_ton,coal_transfer_in_10k_ton_wind_code,coal_transfer_out_raw_10k_ton,coal_transfer_out_raw_10k_ton_wind_code,electricity_transfer_out_raw_100m_kwh,electricity_transfer_out_raw_100m_kwh_wind_code,coal_transfer_out_abs_10k_ton,electricity_transfer_out_abs_100m_kwh,nbs_wind_generation_billion_kwh,nbs_wind_generation_billion_kwh_wind_code,solar_capacity_addition_10k_kw,solar_capacity_addition_10k_kw_wind_code,nbs_solar_generation_billion_kwh,nbs_solar_generation_billion_kwh_wind_code,wind_capacity_addition_10k_kw,wind_capacity_addition_10k_kw_wind_code,nbs_nuclear_generation_billion_kwh,nbs_nuclear_generation_billion_kwh_wind_code,wind_capacity_10k_kw,wind_capacity_10k_kw_wind_code,wind_capacity_addition_from_stock_10k_kw,solar_capacity_10k_kw,solar_capacity_10k_kw_wind_code,solar_capacity_addition_from_stock_10k_kw
Anhui,2000,35.087,S0075799,0.458,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2001,38.122,S0075799,0.627,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2002,45.515,S0075799,1.051,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2003,53.633,S0075799,1.151,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2004,59.811,S0075799,0.875,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2005,63.486,S0075799,1.087,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2006,71.645,S0075799,1.227,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2007,83.297,S0075799,1.466,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2008,106.953,S0075799,1.49,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2009,130.0244716,S0075799,1.6390010000000002,S0075920,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,2010,142.0180115,S0075799,1.8851951999999998,S0075920,1.71,B3501363,3851.0,C0135827,-3857.19,F7760639,-387.11,K7535452,3857.19,387.11,,,,,,,,,,,,,,,,
Anhui,2011,160.7345339,S0075799,1.7890367999999999,S0075920,1.22,B3501363,4747.24,C0135827,-4144.87,F7760639,-435.09,K7535452,4144.87,435.09,,,,,,,,,,,,,,,,
Anhui,2012,164.9476031,S0075799,1.9621537,S0075920,6.99,B3501363,3798.78,C0135827,4002.0,F7760639,453.73,K7535452,4002.0,453.73,,,,,,,,,,,,,,,,
Anhui,2013,192.672,S0075799,2.576,S0075920,10.72,B3501363,6035.9,C0135827,-3892.67,F7760639,-460.38,K7535452,3892.67,460.38,0.59,M6456599,,,,,,,,,,,,,,
Anhui,2014,193.318,S0075799,2.811,S0075920,6.18,B3501363,6478.79,C0135827,3703.0,F7760639,454.91,K7535452,3703.0,454.91,1.0,M6456599,34.97,N3493692,,,,,,,,,,,,
Anhui,2015,195.47285,S0075799,3.09114,S0075920,4.51,B3501363,6512.06,C0135827,4033.21,F7760639,426.61,K7535452,4033.21,426.61,1.52,M6456599,80.87,N3493692,,,,,,,,,,,,
Anhui,2016,212.99,S0075799,4.3,S0075920,42.42,B3501363,11478.63,C0135827,8115.46,F7760639,500.13,K7535452,8115.46,500.13,2.5,M6456599,224.52,N3493692,0.83187,S0253210,,,,,,,,,,
Anhui,2017,230.57,S0075799,4.16,S0075920,35.67,B3501363,10815.19,C0135827,-6624.6,F7760639,-584.45,K7535452,6624.6,584.45,3.83,M6456599,542.49,N3493692,3.41794,S0253210,,,,,,,,,,
Anhui,2018,249.13,S0075799,3.52,S0075920,83.71,B3501363,11454.12,C0135827,-6065.59,F7760639,-689.86,K7535452,6065.59,689.86,4.52,M6456599,229.82,N3493692,5.10746,S0253210,,,,,,,,,,
Anhui,2019,263.72,S0075799,3.0,S0075920,177.84,B3501363,9650.07,C0135827,-4006.26,F7760639,-763.83,K7535452,4006.26,763.83,4.24,M6456599,136.1,N3493692,5.98068,S0253210,,,,,,,,,,
Anhui,2020,252.73,S0075799,4.07,S0075920,425.1,B3501363,10398.99,C0135827,-4638.82,F7760639,-806.58,K7535452,4638.82,806.58,4.7,M6456599,123.35,N3493692,6.67143,S0253210,,,,,,,,,,
Anhui,2021,269.03,S0075799,5.57,S0075920,537.24,B3501363,11925.4,C0135827,5397.06,F7760639,904.99,K7535452,5397.06,904.99,8.56,M6456599,329.73,N3493692,8.02762,S0253210,,,,,,,,,,
Anhui,2022,288.29,S0075799,5.28,S0075920,586.45,B3501363,12060.62,C0135827,-4560.08,F7760639,-891.99,K7535452,4560.08,891.99,10.19,M6456599,447.09,N3493692,9.7317,S0253210,,,,,,,,,,
Anhui,2023,303.3,S0075799,6.8,S0075920,,,,,,,,,,,12.34,M6456599,1069.13,N3493692,11.11912,S0253210,,,,,,,,,,
Beijing,2000,13.662,S0075788,0.864,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2001,13.035,S0075788,0.149,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2002,13.618,S0075788,0.41,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2003,13.636,S0075788,0.633,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2004,14.493,S0075788,0.346,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2005,20.085,S0075788,0.457,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2006,19.15,S0075788,0.433,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2007,22.304,S0075788,0.483,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2008,24.268,S0075788,0.01,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2009,24.100720499999998,S0075788,0.023158699999999997,S0075910,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2010,26.1795392,S0075788,0.4234786,S0075910,565.64,O5701675,,,-305.89,L2945627,-10.76,L5183648,305.89,10.76,,,,,,,,,,,,,,,,
Beijing,2011,25.553327799999998,S0075788,0.4320421,S0075910,594.48,O5701675,,,-295.97,L2945627,-1.54,L5183648,295.97,1.54,,,,,,,,,,,,,,,,
Beijing,2012,28.3188203,S0075788,0.42132580000000003,S0075910,624.58,O5701675,,,356.55,L2945627,2.45,L5183648,356.55,2.45,,,,,,,,,,,,,,,,
Beijing,2013,32.779,S0075788,0.452,S0075910,579.82,O5701675,,,-357.29,L2945627,-3.02,L5183648,357.29,3.02,0.33,M6456588,,,,,,,,,,,,,,
