province,year,nbs_thermal_generation_billion_kwh,nbs_thermal_generation_billion_kwh_wind_code,nbs_hydro_generation_billion_kwh,nbs_hydro_generation_billion_kwh_wind_code,nbs_wind_generation_billion_kwh,nbs_wind_generation_billion_kwh_wind_code,nbs_solar_generation_billion_kwh,nbs_solar_generation_billion_kwh_wind_code,nbs_nuclear_generation_billion_kwh,nbs_nuclear_generation_billion_kwh_wind_code
Anhui,2000,35.087,S0075799,0.458,S0075920,,,,,,
Anhui,2001,38.122,S0075799,0.627,S0075920,,,,,,
Anhui,2002,45.515,S0075799,1.051,S0075920,,,,,,
Anhui,2003,53.633,S0075799,1.151,S0075920,,,,,,
Anhui,2004,59.811,S0075799,0.875,S0075920,,,,,,
Anhui,2005,63.486,S0075799,1.087,S0075920,,,,,,
Anhui,2006,71.645,S0075799,1.227,S0075920,,,,,,
Anhui,2007,83.297,S0075799,1.466,S0075920,,,,,,
Anhui,2008,106.953,S0075799,1.49,S0075920,,,,,,
Anhui,2009,130.0244716,S0075799,1.6390010000000002,S0075920,,,,,,
Anhui,2010,142.0180115,S0075799,1.8851951999999998,S0075920,,,,,,
Anhui,2011,160.7345339,S0075799,1.7890367999999999,S0075920,,,,,,
Anhui,2012,164.9476031,S0075799,1.9621537,S0075920,,,,,,
Anhui,2013,192.672,S0075799,2.576,S0075920,0.59,M6456599,,,,
Anhui,2014,193.318,S0075799,2.811,S0075920,1.0,M6456599,,,,
Anhui,2015,195.47285,S0075799,3.09114,S0075920,1.52,M6456599,,,,
Anhui,2016,212.99,S0075799,4.3,S0075920,2.5,M6456599,0.83187,S0253210,,
Anhui,2017,230.57,S0075799,4.16,S0075920,3.83,M6456599,3.41794,S0253210,,
Anhui,2018,249.13,S0075799,3.52,S0075920,4.52,M6456599,5.10746,S0253210,,
Anhui,2019,263.72,S0075799,3.0,S0075920,4.24,M6456599,5.98068,S0253210,,
Anhui,2020,252.73,S0075799,4.07,S0075920,4.7,M6456599,6.67143,S0253210,,
Anhui,2021,269.03,S0075799,5.57,S0075920,8.56,M6456599,8.02762,S0253210,,
Anhui,2022,288.29,S0075799,5.28,S0075920,10.19,M6456599,9.7317,S0253210,,
Anhui,2023,303.3,S0075799,6.8,S0075920,12.34,M6456599,11.11912,S0253210,,
Beijing,2000,13.662,S0075788,0.864,S0075910,,,,,,
Beijing,2001,13.035,S0075788,0.149,S0075910,,,,,,
Beijing,2002,13.618,S0075788,0.41,S0075910,,,,,,
Beijing,2003,13.636,S0075788,0.633,S0075910,,,,,,
Beijing,2004,14.493,S0075788,0.346,S0075910,,,,,,
Beijing,2005,20.085,S0075788,0.457,S0075910,,,,,,
Beijing,2006,19.15,S0075788,0.433,S0075910,,,,,,
Beijing,2007,22.304,S0075788,0.483,S0075910,,,,,,
Beijing,2008,24.268,S0075788,0.01,S0075910,,,,,,
Beijing,2009,24.100720499999998,S0075788,0.023158699999999997,S0075910,,,,,,
Beijing,2010,26.1795392,S0075788,0.4234786,S0075910,,,,,,
Beijing,2011,25.553327799999998,S0075788,0.4320421,S0075910,,,,,,
Beijing,2012,28.3188203,S0075788,0.42132580000000003,S0075910,,,,,,
Beijing,2013,32.779,S0075788,0.452,S0075910,0.33,M6456588,,,,
Beijing,2014,32.885,S0075788,0.67,S0075910,0.28,M6456588,,,,
Beijing,2015,40.79184,S0075788,0.65245,S0075910,0.26,M6456588,,,,
Beijing,2016,41.75,S0075788,1.21,S0075910,0.33,M6456588,0.07458,S0253199,,
Beijing,2017,37.23,S0075788,1.12,S0075910,0.35,M6456588,0.09471,S0253199,,
Beijing,2018,42.28,S0075788,0.98,S0075910,0.35,M6456588,0.09027,S0253199,,
Beijing,2019,42.05,S0075788,1.01,S0075910,0.0,M6456588,0.05482,S0253199,,
Beijing,2020,42.91,S0075788,1.1,S0075910,0.0,M6456588,0.12245,S0253199,,
Beijing,2021,44.46,S0075788,1.28,S0075910,0.01,M6456588,0.14573,S0253199,,
Beijing,2022,43.96,S0075788,0.85,S0075910,0.01,M6456588,0.17663,S0253199,,
Beijing,2023,44.38,S0075788,0.77,S0075910,0.14,M6456588,0.19196,S0253199,,
Chongqing,2000,12.968,S0075809,3.822,S0075930,,,,,,
Chongqing,2001,13.687,S0075809,3.354,S0075930,,,,,,
Chongqing,2002,14.727,S0075809,3.748,S0075930,,,,,,
Chongqing,2003,15.67,S0075809,3.194,S0075930,,,,,,
Chongqing,2004,16.949,S0075809,4.936,S0075930,,,,,,
Chongqing,2005,18.16,S0075809,5.243,S0075930,,,,,,
Chongqing,2006,23.444,S0075809,4.1,S0075930,,,,,,
Chongqing,2007,29.069,S0075809,6.116,S0075930,,,,,,
Chongqing,2008,28.354,S0075809,10.488,S0075930,,,,,,
Chongqing,2009,30.724668700000002,S0075809,12.0170051,S0075930,,,,,,
Chongqing,2010,33.3111431,S0075809,12.231355800000001,S0075930,,,,,,
Chongqing,2011,39.3466969,S0075809,13.1729954,S0075930,,,,,,
Chongqing,2012,33.877096200000004,S0075809,18.3598744,S0075930,,,,,,
Chongqing,2013,43.163,S0075809,15.087,S0075930,0.1,M6456609,,,,
Chongqing,2014,42.965,S0075809,21.027,S0075930,0.18,M6456609,,,,
Chongqing,2015,43.99623,S0075809,19.51009,S0075930,0.21,M6456609,,,,
Chongqing,2016,44.86,S0075809,21.76,S0075930,0.46,M6456609,,,,
Chongqing,2017,46.85,S0075809,21.55,S0075930,0.59,M6456609,,,,
Chongqing,2018,53.91,S0075809,20.96,S0075930,0.72,M6456609,,,,
Chongqing,2019,55.26,S0075809,19.78,S0075930,0.81,M6456609,,,,
Chongqing,2020,53.5,S0075809,22.29,S0075930,1.31,M6456609,,,,
Chongqing,2021,67.38,S0075809,23.23,S0075930,2.07,M6456609,,,,
Chongqing,2022,75.16,S0075809,17.18,S0075930,2.81,M6456609,,,,
Chongqing,2023,84.34,S0075809,16.84,S0075930,3.82,M6456609,,,,
Fujian,2000,20.845,S0075800,19.522,S0075921,,,,,0.0,S0248470
Fujian,2001,21.17,S0075800,23.436,S0075921,,,,,0.0,S0248470
Fujian,2002,30.85,S0075800,22.435,S0075921,,,,,,
Fujian,2003,42.146,S0075800,18.899,S0075921,,,,,,
Fujian,2004,50.488,S0075800,15.457,S0075921,,,,,,
Fujian,2005,48.688,S0075800,29.1,S0075921,,,,,,
Fujian,2006,55.58,S0075800,34.682,S0075921,,,,,,
Fujian,2007,72.363,S0075800,31.159,S0075921,,,,,,
Fujian,2008,74.576,S0075800,33.16,S0075921,,,,,,
Fujian,2009,88.23,S0075800,27.592,S0075921,,,,,,
Fujian,2010,89.043,S0075800,45.369,S0075921,,,,,,
Fujian,2011,127.174,S0075800,28.522,S0075921,,,,,,
Fujian,2012,111.829,S0075800,47.621,S0075921,,,,,,
Fujian,2013,125.684,S0075800,27.871,S0075921,3.24,M6456600,,,7.52,S0248470
Fujian,2014,124.613,S0075800,31.056,S0075921,3.68,M6456600,,,14.101,S0248470
