province,province_cn,year,power_output_jan_nov_10k_kwh,wind_utilization_hours,solar_utilization_hours_jan_nov
Anhui,安徽,2015,3732192.0,,
Anhui,安徽,2016,4097878.0,,
Anhui,安徽,2017,4856957.0,,
Anhui,安徽,2018,5744556.0,2150.0,1026.0
Anhui,安徽,2019,6382470.0,1809.0,1042.0
Anhui,安徽,2020,6839966.0,1819.0,990.0
Anhui,安徽,2021,7779861.0,2259.0,1050.0
Anhui,安徽,2022,7991151.0,2142.0,1162.35
Anhui,安徽,2023,8236314.0,2139.0,1090.0
Beijing,北京,2015,49810.0,,
Beijing,北京,2016,100139.0,,
Beijing,北京,2017,53466.0,,
Beijing,北京,2018,68404.0,1866.0,1177.0
Beijing,北京,2019,38418.0,1816.0,1230.0
Beijing,北京,2020,47517.0,2005.0,1148.0
Beijing,北京,2021,26389.0,2057.0,1102.0
Beijing,北京,2022,17193.0,1864.0,1253.0
Beijing,北京,2023,0.22,1464.0,1199.0
Chongqing,重庆,2015,367817.38,,
Chongqing,重庆,2016,403707.0,,
Chongqing,重庆,2017,646003.0,,
Chongqing,重庆,2018,601644.0,1968.0,477.0
Chongqing,重庆,2019,579335.0,1996.0,583.0
Chongqing,重庆,2020,583288.0,2108.0,633.0
Chongqing,重庆,2021,834795.0,2144.0,675.0
Chongqing,重庆,2022,619458.0,1942.0,793.26
Chongqing,重庆,2023,806375.95,2109.0,750.0
Fujian,福建,2015,294828.0,,
Fujian,福建,2016,380769.0,,
Fujian,福建,2017,583128.0,,
Fujian,福建,2018,1314156.0,2587.0,1043.0
Fujian,福建,2019,1476564.0,2639.0,964.0
Fujian,福建,2020,1357403.0,2880.0,1001.0
Fujian,福建,2021,949543.0,2703.0,1017.0
Fujian,福建,2022,1496945.0,3132.0,970.0
Fujian,福建,2023,1721048.92,2880.0,942.0
Gansu,甘肃,2015,2136074.0,,
Gansu,甘肃,2016,2331828.0,,
Gansu,甘肃,2017,3241318.0,,
Gansu,甘肃,2018,5544318.0,1772.0,1254.0
Gansu,甘肃,2019,6792015.0,1787.0,1313.0
Gansu,甘肃,2020,7244080.0,1904.0,1405.0
Gansu,甘肃,2021,7225232.0,2022.0,1427.0
Gansu,甘肃,2022,7528154.0,1898.0,1415.43
Gansu,甘肃,2023,8085766.73,2023.0,1360.0
Guangdong,广东,2015,1607221.86,,
Guangdong,广东,2016,1516944.91,,
Guangdong,广东,2017,1581760.02,,
Guangdong,广东,2018,1663711.0,1770.0,717.0
Guangdong,广东,2019,1648694.0,1612.0,752.0
Guangdong,广东,2020,1669371.0,1826.0,943.0
Guangdong,广东,2021,1673237.0,1877.0,1064.0
Guangdong,广东,2022,1645645.0,2180.0,895.33
Guangdong,广东,2023,1890636.5,2184.0,913.0
Guangxi,广西,2015,1126374.0,,
Guangxi,广西,2016,1012494.0,,
Guangxi,广西,2017,927653.0,,
Guangxi,广西,2018,1126605.0,2294.0,955.0
Guangxi,广西,2019,1015670.0,2385.0,1009.0
Guangxi,广西,2020,975897.0,2745.0,1031.0
Guangxi,广西,2021,891323.0,2327.0,1081.0
Guangxi,广西,2022,1239277.0,2367.0,1036.9
Guangxi,广西,2023,861281.1,2337.0,1090.0
Guizhou,贵州,2015,7062101.85,,
Guizhou,贵州,2016,6828453.3,,
Guizhou,贵州,2017,5801354.8,,
Guizhou,贵州,2018,5900006.0,1821.0,806.0
Guizhou,贵州,2019,6677526.0,1861.0,1015.0
Guizhou,贵州,2020,6577220.0,2049.0,917.0
Guizhou,贵州,2021,6265155.0,1861.0,861.0
Guizhou,贵州,2022,5543899.0,1921.0,999.85
Guizhou,贵州,2023,5743171.05,2069.0,1053.0
Hainan,海南,2015,2094.51,,
Hainan,海南,2016,8659.32,,
Hainan,海南,2017,6785.46,,
Hainan,海南,2018,8170.0,1524.0,821.0
Hainan,海南,2019,3783.0,1645.0,981.0
Hainan,海南,2020,5550.0,1984.0,998.0
Hainan,海南,2021,8688.0,1743.0,1075.0
Hainan,海南,2022,18167.0,1699.0,1091.4
Hainan,海南,2023,29669.04,1653.0,1180.0
Hebei,河北,2015,3145358.0,,
Hebei,河北,2016,3689910.0,,
Hebei,河北,2017,3873572.0,,
Hebei,河北,2018,3883419.0,2276.0,1195.0
Hebei,河北,2019,4349420.0,2144.0,1283.0
Hebei,河北,2020,4937613.0,2145.0,1268.0
Hebei,河北,2021,5504512.0,2208.0,1029.0
Hebei,河北,2022,6618747.0,2238.0,1234.17
Hebei,河北,2023,7467406.55,2243.0,1291.0
Heilongjiang,黑龙江,2015,1321624.0,,
Heilongjiang,黑龙江,2016,1157012.0,,
Heilongjiang,黑龙江,2017,1203264.0,,
Heilongjiang,黑龙江,2018,1454694.0,2144.0,1348.0
Heilongjiang,黑龙江,2019,1915840.0,2323.0,1519.0
Heilongjiang,黑龙江,2020,2054802.0,2266.0,1493.0
Heilongjiang,黑龙江,2021,1867067.0,2209.0,1487.0
Heilongjiang,黑龙江,2022,1632507.0,2559.0,1621.61
Heilongjiang,黑龙江,2023,2238231.72,2538.0,1516.0
Henan,河南,2015,376877.0,,
Henan,河南,2016,315050.0,,
Henan,河南,2017,257546.0,,
Henan,河南,2018,200734.0,1746.0,947.0
