series_type,variable,reference_month,province,province_cn,code,name,unit,frequency,source,update_date
power_output,power_output_jan_nov_10k_kwh,11,Anhui,安徽,S5151466,中国:安徽:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Beijing,北京,S5151455,中国:北京:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Chongqing,重庆,S5151476,中国:重庆:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Fujian,福建,S5151467,中国:福建:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Gansu,甘肃,S5151482,中国:甘肃:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Guangdong,广东,S5151473,中国:广东:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Guangxi,广西,S5151474,中国:广西:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Guizhou,贵州,S5151478,中国:贵州:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Hainan,海南,S5151475,中国:海南:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Hebei,河北,S5151457,中国:河北:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Heilongjiang,黑龙江,S5151462,中国:黑龙江:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Henan,河南,S5151470,中国:河南:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Hubei,湖北,S5151471,中国:湖北:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Hunan,湖南,S5151472,中国:湖南:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Jiangsu,江苏,S5151464,中国:江苏:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Jiangxi,江西,S5151468,中国:江西:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Jilin,吉林,S5151461,中国:吉林:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Liaoning,辽宁,S5151460,中国:辽宁:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Neimenggu,内蒙古,S5151459,中国:内蒙古:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Ningxia,宁夏,S5151484,中国:宁夏:输出电量:累计值,万千瓦时,月,Wind,20260702
power_output,power_output_jan_nov_10k_kwh,11,Qinghai,青海,S5151483,中国:青海:输出电量:累计值,万千瓦时,月,Wind,20260702
