province,province_cn,year,month,series_type,variable,value,unit,code
Anhui,安徽,2014,2,wind_utilization_hours,wind_utilization_hours,418.0,小时,S5132520
Anhui,安徽,2014,3,wind_utilization_hours,wind_utilization_hours,606.0,小时,S5132520
Anhui,安徽,2014,4,wind_utilization_hours,wind_utilization_hours,778.0,小时,S5132520
Anhui,安徽,2014,5,wind_utilization_hours,wind_utilization_hours,966.0,小时,S5132520
Anhui,安徽,2014,6,wind_utilization_hours,wind_utilization_hours,982.0,小时,S5132520
Anhui,安徽,2014,7,wind_utilization_hours,wind_utilization_hours,1051.0,小时,S5132520
Anhui,安徽,2014,8,wind_utilization_hours,wind_utilization_hours,1167.0,小时,S5132520
Anhui,安徽,2014,9,wind_utilization_hours,wind_utilization_hours,1353.0,小时,S5132520
Anhui,安徽,2014,10,wind_utilization_hours,wind_utilization_hours,1424.0,小时,S5132520
Anhui,安徽,2014,11,wind_utilization_hours,wind_utilization_hours,1584.0,小时,S5132520
Anhui,安徽,2015,2,wind_utilization_hours,wind_utilization_hours,361.0,小时,S5132520
Anhui,安徽,2015,3,wind_utilization_hours,wind_utilization_hours,558.0,小时,S5132520
Anhui,安徽,2015,4,wind_utilization_hours,wind_utilization_hours,747.0,小时,S5132520
Anhui,安徽,2015,5,wind_utilization_hours,wind_utilization_hours,895.0,小时,S5132520
Anhui,安徽,2015,6,power_output,power_output_jan_nov_10k_kwh,2017457.0,万千瓦时,S5151466
Anhui,安徽,2015,6,wind_utilization_hours,wind_utilization_hours,1039.0,小时,S5132520
Anhui,安徽,2015,7,power_output,power_output_jan_nov_10k_kwh,2370028.0,万千瓦时,S5151466
Anhui,安徽,2015,7,wind_utilization_hours,wind_utilization_hours,1138.0,小时,S5132520
Anhui,安徽,2015,8,power_output,power_output_jan_nov_10k_kwh,2837458.0,万千瓦时,S5151466
Anhui,安徽,2015,8,wind_utilization_hours,wind_utilization_hours,1286.0,小时,S5132520
Anhui,安徽,2015,9,power_output,power_output_jan_nov_10k_kwh,3085613.0,万千瓦时,S5151466
Anhui,安徽,2015,9,wind_utilization_hours,wind_utilization_hours,1351.0,小时,S5132520
Anhui,安徽,2015,10,power_output,power_output_jan_nov_10k_kwh,3364969.0,万千瓦时,S5151466
Anhui,安徽,2015,10,wind_utilization_hours,wind_utilization_hours,1512.0,小时,S5132520
Anhui,安徽,2015,11,power_output,power_output_jan_nov_10k_kwh,3732192.0,万千瓦时,S5151466
Anhui,安徽,2015,11,wind_utilization_hours,wind_utilization_hours,1607.0,小时,S5132520
Anhui,安徽,2016,2,power_output,power_output_jan_nov_10k_kwh,938084.0,万千瓦时,S5151466
Anhui,安徽,2016,2,wind_utilization_hours,wind_utilization_hours,380.0,小时,S5132520
Anhui,安徽,2016,3,power_output,power_output_jan_nov_10k_kwh,1424077.0,万千瓦时,S5151466
Anhui,安徽,2016,3,wind_utilization_hours,wind_utilization_hours,588.0,小时,S5132520
Anhui,安徽,2016,4,power_output,power_output_jan_nov_10k_kwh,1834946.0,万千瓦时,S5151466
Anhui,安徽,2016,4,wind_utilization_hours,wind_utilization_hours,778.0,小时,S5132520
Anhui,安徽,2016,5,power_output,power_output_jan_nov_10k_kwh,2164552.0,万千瓦时,S5151466
Anhui,安徽,2016,5,wind_utilization_hours,wind_utilization_hours,985.0,小时,S5132520
Anhui,安徽,2016,6,power_output,power_output_jan_nov_10k_kwh,2438927.0,万千瓦时,S5151466
