province,year,wind_loan_balance_100m_cny,wind_deposit_balance_100m_cny,wind_loan_deposit_ratio
Anhui,2003,3370.6,4194.6,0.8035569541791827
Anhui,2004,3900.6,5045.3,0.7731155729094404
Anhui,2005,4313.6,5993.8,0.7196769995662184
Anhui,2006,5132.0,7100.4,0.7227761816235705
Anhui,2007,6042.5,8406.6,0.7187804820022363
Anhui,2008,6948.7,10305.4,0.6742775632192831
Anhui,2009,9289.4,13306.5,0.6981099462668621
Anhui,2010,11452.3,16366.1,0.699757425409841
Anhui,2011,13729.8,19404.3,0.7075648181073267
Anhui,2012,16294.3,22977.3,0.7091477240580921
Anhui,2013,19088.8,26739.3,0.7138855542216886
Anhui,2014,22088.3,29817.7,0.7407781284270751
Anhui,2015,25489.0,34482.9,0.7391779693703255
Anhui,2016,30180.7,40856.2,0.7387055085886598
Anhui,2017,34481.2,45608.8,0.7560207679219798
Anhui,2018,38815.3,50677.3,0.7659307027012094
Anhui,2019,44289.3,54377.9,0.81447242353971
Anhui,2020,51520.5,59897.8,0.8601401053127159
Anhui,2021,58151.0,66271.9,0.8774608846283267
Anhui,2022,67048.4,74492.7,0.9000667179468592
Anhui,2023,77706.7,82561.4,0.9411989137781094
Beijing,2003,11314.7,18321.9,0.6175505815444905
Beijing,2004,12600.2,21625.9,0.5826439593265482
Beijing,2005,13834.5,26785.9,0.5164844190413613
Beijing,2006,15695.5,31352.8,0.500609195988875
Beijing,2007,17841.5,35379.9,0.5042835056062905
Beijing,2008,19933.4,41994.3,0.47466918129365177
Beijing,2009,25421.8,54275.5,0.4683844460207644
Beijing,2010,29563.8,64453.9,0.45868132106823634
Beijing,2011,33367.0,72655.4,0.4592501039151942
Beijing,2012,36441.3,81389.6,0.44773902316757913
Beijing,2013,40506.7,87990.6,0.46035258311683286
Beijing,2014,45458.71,95370.53,0.47665363713507725
Beijing,2015,50559.52,123767.37,0.40850443860930385
Beijing,2016,56618.87,132791.91,0.426372886721789
Beijing,2017,63382.55,137952.12,0.45945325088153777
Beijing,2018,66766.98,150430.42,0.4438396170136332
Beijing,2019,73575.94,164349.49,0.4476797585438203
Beijing,2020,81035.19,181105.56,0.44744727881352736
Beijing,2021,86077.5,192104.31,0.44807688073213975
Beijing,2022,95496.89,212446.73,0.4495098135895054
Beijing,2023,108601.16,240438.61,0.45167937046383694
Chongqing,2003,2883.2,3438.6,0.8384807770604316
Chongqing,2004,3246.3,4039.6,0.8036191702148728
Chongqing,2005,3719.5,4727.7,0.7867461979398016
Chongqing,2006,4143.6,5468.0,0.7577907827359182
Chongqing,2007,4991.2,6531.7,0.7641502212287766
Chongqing,2008,6189.2,8021.9,0.771537914957803
Chongqing,2009,8766.1,10933.0,0.8018018842037867
Chongqing,2010,10888.2,13455.0,0.8092307692307693
Chongqing,2011,13001.4,15832.8,0.8211687130513871
Chongqing,2012,15131.2,18934.8,0.7991211948370197
Chongqing,2013,17381.6,22202.1,0.7828808986537309
Chongqing,2014,20011.5,24501.54,0.8167445801365955
Chongqing,2015,22393.93,28094.37,0.7970967136832042
Chongqing,2016,24785.19,31216.45,0.7939784953125675
Chongqing,2017,27871.89,33718.98,0.8265935090563237
Chongqing,2018,31425.87,35651.57,0.8814722605484134
Chongqing,2019,36233.2,37953.11,0.9546832920938494
Chongqing,2020,40960.64,41270.2,0.9924991882762866
Chongqing,2021,46043.22,44270.21,1.0400497309590355
Chongqing,2022,49365.86,48218.18,1.0238018108522553
Chongqing,2023,55909.32,52613.04,1.0626513883250235
Fujian,2003,3799.2,5178.1,0.7337054131824413
Fujian,2004,4367.0,5992.8,0.7287077826725403
Fujian,2005,5068.7,7248.4,0.6992853595276199
Fujian,2006,6447.7,8836.3,0.7296832384595363
Fujian,2007,8065.7,10040.2,0.803340570904962
Fujian,2008,9585.92,11804.4,0.8120632984310935
Fujian,2009,12360.3,14705.0,0.8405508330499829
Fujian,2010,15231.4,18309.5,0.831885086976706
Fujian,2011,18165.2,21055.5,0.8627294531120135
Fujian,2012,21209.8,24283.7,0.8734171481281682
Fujian,2013,24487.5,28043.8,0.8731876564516935
Fujian,2014,28417.7,30747.61,0.9242246795767216
Fujian,2015,32132.96,35576.06,0.9032186251091324
Fujian,2016,36356.06,39275.82,0.9256601135253191
Fujian,2017,40484.93,42794.79,0.9460247380580673
Fujian,2018,45173.87,44677.7,1.0111055403478695
Fujian,2019,51396.64,48754.92,1.05418365982346
Fujian,2020,58589.49,55160.49,1.062164059818903
Fujian,2021,65920.32,60557.26,1.0885618008476605
Fujian,2022,74128.73,70859.0,1.04614417364061
Fujian,2023,81378.8,78471.93,1.03704343706087
Gansu,2003,1733.0,2130.0,0.8136150234741784
Gansu,2004,1907.4,2482.4,0.7683693200128907
Gansu,2005,1923.5,2895.9,0.6642149245484996
Gansu,2006,2112.08,3317.0,0.6367440458245403
Gansu,2007,2403.6,3747.1,0.641456059352566
Gansu,2008,2731.9,4728.8,0.5777152766029436
Gansu,2009,3649.6,5881.8,0.6204903260906525
Gansu,2010,4433.1,7115.4,0.6230289231807067
Gansu,2011,5468.8,8394.0,0.6515129854658089
Gansu,2012,6829.4,10033.4,0.6806665736440289
Gansu,2013,8430.1,12029.7,0.7007739178865641
Gansu,2014,10681.6,13921.4,0.7672791529587542
Gansu,2015,13292.2,16141.2,0.8234951552548757
Gansu,2016,15650.5,17411.7,0.8988496241033328
Gansu,2017,17404.56,17660.82,0.9854899149643109
Gansu,2018,19094.39,18568.68,1.0283116516629076
Gansu,2019,20424.3,19717.01,1.0358720718810814
Gansu,2020,21935.6,20938.3,1.0476304188974273
Gansu,2021,23730.4,22546.4,1.0525139268353263
Gansu,2022,25281.0,24826.5,1.0183070509334784
Gansu,2023,27407.3,26488.3,1.0346945632600053
Guangdong,2003,18301.6,27229.1,0.6721338567929164
Guangdong,2004,19671.5,30869.6,0.6372450566252883
Guangdong,2005,20880.3,35908.11,0.5814925931774186
Guangdong,2006,23617.5,41146.6,0.5739842417113443
Guangdong,2007,27497.9,47016.5,0.5848563802069486
Guangdong,2008,31044.9,54309.6,0.5716282204251183
Guangdong,2009,39683.6,67742.6,0.5857997773926598
Guangdong,2010,47191.6,79958.0,0.5902048575502138
Guangdong,2011,53411.8,89169.6,0.5989911359925356
Guangdong,2012,59967.3,99934.6,0.600065442799591
Guangdong,2013,68491.9,114855.0,0.5963336380653868
Guangdong,2014,77889.5,121964.85,0.6386225211608099
Guangdong,2015,89289.27,153551.79,0.58149286309199
Guangdong,2016,103649.79,171024.47,0.6060523970634143
Guangdong,2017,118978.62,184779.6,0.6438947805926628
Guangdong,2018,139100.04,199576.08,0.6969775135376945
Guangdong,2019,162378.43,222962.37,0.728277287328799
Guangdong,2020,189802.41,257851.63,0.7360915655254923
Guangdong,2021,215784.19,282489.3,0.7638667730069777
Guangdong,2022,239605.98,312286.48,0.7672633794456937
Guangdong,2023,265275.42,341361.26,0.7771105016427464
Guangxi,2003,2299.7,3164.8,0.7266493933265924
Guangxi,2004,2759.7,3673.2,0.7513067624959163
Guangxi,2005,3056.9,4202.8,0.727348434377082
Guangxi,2006,3595.3,4971.9,0.723123956636296
Guangxi,2007,4287.8,5749.9,0.7457173168229013
Guangxi,2008,5066.6,7024.1,0.7213166099571475
Guangxi,2009,7268.4,9583.1,0.758460205987624
Guangxi,2010,8867.5,11746.8,0.7548864371573535
Guangxi,2011,10408.5,13453.2,0.7736820979395237
Guangxi,2012,11941.4,15856.0,0.7531155398587286
Guangxi,2013,13653.4,18267.3,0.7474229908087129
Guangxi,2014,15585.46,20078.97,0.7762081421507178
Guangxi,2015,17656.76,22566.96,0.7824164176300219
Guangxi,2016,20175.77,25257.56,0.7988012302059264
Guangxi,2017,22781.81,27714.24,0.8220254280831804
Guangxi,2018,26143.38,29620.03,0.8826250344783582
Guangxi,2019,29988.52,31504.98,0.9518660224510538
Guangxi,2020,34738.99,34515.57,1.006473020726588
Guangxi,2021,39325.29,36706.23,1.071351920368831
Guangxi,2022,44197.23,40032.65,1.1040295858505496
Guangxi,2023,49388.57,43886.89,1.125360443631344
Guizhou,2003,1715.0,1898.2,0.903487514487409
Guizhou,2004,2020.0,2322.3,0.8698273263574904
Guizhou,2005,2303.9,2777.5,0.8294869486948695
Guizhou,2006,2696.1,3300.1,0.8169752431744493
Guizhou,2007,3128.6,3826.4,0.8176353752874764
Guizhou,2008,3569.3,4736.9,0.7535096793261417
Guizhou,2009,4656.5,5898.3,0.7894647610328399
Guizhou,2010,5747.5,7363.9,0.7804967476473065
Guizhou,2011,6841.9,8742.8,0.7825753763096491
Guizhou,2012,8274.8,10540.1,0.7850779404369976
Guizhou,2013,10104.3,13265.0,0.7617263475310968
Guizhou,2014,12368.3,15263.26,0.8103314757135762
Guizhou,2015,15051.94,19438.64,0.7743309202701424
Guizhou,2016,17857.8,23770.93,0.7512453235948278
Guizhou,2017,20860.34,26088.89,0.7995871039358133
Guizhou,2018,24715.05,26473.34,0.9335826155672083
Guizhou,2019,28448.73,27170.6,1.0470409192288723
Guizhou,2020,32235.75,28276.31,1.140026757381002
Guizhou,2021,35829.38,30048.12,1.1924000569752782
Guizhou,2022,40223.09,32761.05,1.2277716984040499
