kind,province,wind_code,wind_name,source,unit,frequency,update_date,first_year,last_year,observation_n
loan,Shanghai,M0059477,上海:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260624,2003,2023,21
loan,Beijing,M0059149,北京:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260630,2003,2023,21
loan,Chongqing,M0060010,重庆:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260617,2003,2023,21
loan,Guangdong,M0059887,广东:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260616,2003,2023,21
loan,Zhejiang,M0059559,浙江:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20251027,2003,2023,21
loan,Tianjin,M0059190,天津:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260629,2003,2023,21
loan,Shandong,M0059723,山东:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260626,2003,2023,21
loan,Henan,M0059764,河南:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260618,2003,2023,21
loan,Anhui,M0059600,安徽:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260708,2003,2023,21
loan,Jilin,M0059395,吉林:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260618,2003,2023,21
loan,Sichuan,M0060051,四川:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260616,2003,2023,21
loan,Fujian,M0059641,福建:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260630,2003,2023,21
loan,Shanxi,M0059272,山西:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260618,2003,2023,21
loan,Xinjiang,M0060379,新疆:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260622,2003,2023,21
loan,Guizhou,M0060092,贵州:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260623,2003,2023,21
loan,Hebei,M0059231,河北:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260716,2003,2023,21
loan,Guangxi,M0059928,广西:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260629,2003,2023,21
loan,Shaanxi,M0060215,陕西:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260624,2003,2023,21
loan,Hainan,M0059969,海南:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260623,2003,2023,21
loan,Hunan,M0059846,湖南:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260626,2003,2023,21
loan,Yunnan,M0060133,云南:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260617,2003,2023,21
loan,Hubei,M0059805,湖北:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260701,2003,2023,21
loan,Ningxia,M0060338,宁夏:金融机构各项贷款余额:人民币,中国人民银行,亿元,月,20260716,2003,2023,21
