province,pre_wind_loan_deposit_ratio_0811,pre_wind_loan_balance_0811_100m_cny,pre_wind_credit_0811_n,pre_wind_loan_deposit_ratio_0811_z
Anhui,0.6949274382508283,10355.05,4,0.165995122362775
Beijing,0.4652462630744617,27071.5,4,-1.5381830332254094
Chongqing,0.8009348203609366,9711.225,4,0.9525439755041581
Fujian,0.836807167892449,13835.705,4,1.2187080222786875
Gansu,0.6181868778350279,4070.8500000000004,4,-0.40340107045877355
Guangdong,0.5866559978401319,42832.975,4,-0.6373524897360088
Guangxi,0.7520863377604121,7902.75,4,0.5901001795878394
Guizhou,0.7765116410789843,5203.8,4,0.771329957462162
Hainan,0.5645350781892406,2003.5,4,-0.8014843042899135
Hebei,0.5845304817440762,14119.2,4,-0.6531232994136752
Heilongjiang,0.5517958426815888,6575.05,4,-0.8960063166157524
Henan,0.6807539353392651,14295.75,4,0.06083119662308791
Hubei,0.6517378952539546,12489.625,4,-0.15446072548192083
Hunan,0.6695338774242793,10212.425,4,-0.02241888945153533
Jiangsu,0.7179237713355968,37861.675,4,0.3366222905301248
Jiangxi,0.6531267145728938,6956.025000000001,4,-0.14415602574508943
Jilin,0.7517474205832306,6600.6725,4,0.5875854970089873
Liaoning,0.6825462297922582,16937.925,4,0.07412958319232829
Neimenggu,0.7605912884170933,7116.9,4,0.6532048337343622
Ningxia,0.9273681573360137,2144.825,4,1.8906484189597275
Qinghai,0.7750264565677657,1619.7075,4,0.7603102515629165
Shaanxi,0.5968601125655824,9079.325,4,-0.5616404536978994
Shandong,0.7498381817578622,27979.2,4,0.5734194117932735
Shanghai,0.6168774343168993,27841.3675,4,-0.41311682116345233
Shanxi,0.5043038368423091,8644.685,4,-1.248385386664567
Sichuan,0.6229260039940886,17001.675,4,-0.36823791322289573
Tianjin,0.8132069241503445,11595.6,4,1.0435999847089208
Xinjiang,0.5601893793080549,4464.38,4,-0.8337283273292155
Xizang,0.24619339123716782,294.325,4,-3.1635017769897713
Yunnan,0.787441324773978,9514.425,4,0.8524255378300092
Zhejiang,0.848806828587817,40882.6225,4,1.3077425703465186
