year,national_raw_coal_output_10k_ton,national_wind_code,national_wind_name,national_wind_original_unit,national_wind_source,national_wind_update_date
2000,88009.94,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2001,96417.91,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2002,111293.48,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2003,132669.58,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2004,160610.86,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2005,182424.49,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2006,206598.67,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2007,229467.58,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2008,262183.23,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2009,296477.25,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2010,323500.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2011,352000.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2012,365000.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2013,368000.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2014,387400.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2015,368484.65,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2016,336398.6,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2017,344545.6,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2018,354590.8,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2019,374552.5,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2020,384374.1,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2021,407136.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2022,449583.9,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
2023,465838.0,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715
